timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
33341942,332.716,35.33,97392.0,1.15718
33363079,332.457,35.33,97395.0,1.15721
33373732,332.628,35.33,97393.0,1.15719
33384971,332.887,35.33,97390.0,1.15715
33406129,332.198,35.34,97398.0,1.15725
33416539,332.8,35.34,97391.0,1.15717
33427072,332.198,35.34,97398.0,1.15725
33450470,332.285,35.34,97397.0,1.15724
33460543,332.628,35.34,97393.0,1.15719
33471073,332.285,35.34,97397.0,1.15724
33494526,332.285,35.34,97397.0,1.15724
33504527,332.372,35.34,97396.0,1.15723
33514978,332.887,35.34,97390.0,1.15715
33535908,332.544,35.34,97394.0,1.1572
33547888,332.8,35.34,97391.0,1.15717
33558548,332.628,35.34,97393.0,1.15719
33580049,332.457,35.34,97395.0,1.15721
33590553,332.457,35.34,97395.0,1.15721
33601605,332.972,35.34,97389.0,1.15714
33623527,332.544,35.35,97394.0,1.1572
33634550,332.8,35.35,97391.0,1.15717
33644961,332.544,35.35,97394.0,1.1572
33668069,332.628,35.35,97393.0,1.15719
33680382,332.8,35.35,97391.0,1.15717
33689934,332.8,35.35,97391.0,1.15717
33712512,332.198,35.34,97398.0,1.15725
33722572,332.716,35.34,97392.0,1.15718
33733472,332.026,35.34,97400.0,1.15727
33753943,332.457,35.34,97395.0,1.15721
33765537,332.628,35.34,97393.0,1.15719
33776497,332.716,35.34,97392.0,1.15718
33797591,332.285,35.35,97397.0,1.15724
33808915,332.887,35.35,97390.0,1.15715
33819591,332.285,35.35,97397.0,1.15724
33841597,332.628,35.35,97393.0,1.15719
33851602,332.198,35.35,97398.0,1.15725
33861936,333.231,35.35,97386.0,1.15711
33883115,332.457,35.35,97395.0,1.15721
33894726,332.198,35.35,97398.0,1.15725
33906108,332.972,35.35,97389.0,1.15714
33929725,332.544,35.35,97394.0,1.1572
33940451,332.8,35.35,97391.0,1.15717
33950752,332.544,35.35,97394.0,1.1572
33972954,332.628,35.35,97393.0,1.15719
33984450,332.628,35.35,97393.0,1.15719
33994128,332.628,35.35,97393.0,1.15719
34015900,333.059,35.35,97388.0,1.15713
34027638,332.887,35.35,97390.0,1.15715
34039559,332.372,35.35,97396.0,1.15723
34061113,332.198,35.35,97398.0,1.15725
34071876,332.716,35.35,97392.0,1.15718
34082519,332.544,35.35,97394.0,1.1572
34103908,332.887,35.35,97390.0,1.15715
34114801,332.887,35.35,97390.0,1.15715
34124972,333.059,35.35,97388.0,1.15713
34147537,332.628,35.35,97393.0,1.15719
34158573,332.544,35.35,97394.0,1.1572
34168959,332.372,35.35,97396.0,1.15723
34189910,332.544,35.35,97394.0,1.1572
34200536,332.887,35.35,97390.0,1.15715
34211528,332.628,35.35,97393.0,1.15719
34233148,332.285,35.36,97397.0,1.15724
34244127,332.457,35.36,97395.0,1.15721
34253938,332.8,35.36,97391.0,1.15717
34276518,332.372,35.36,97396.0,1.15723
34288766,332.8,35.36,97391.0,1.15717
34299078,332.372,35.36,97396.0,1.15723
34321131,332.628,35.36,97393.0,1.15719
34332945,332.628,35.36,97393.0,1.15719
34343902,332.8,35.36,97391.0,1.15717
34367113,332.887,35.35,97390.0,1.15715
34378718,332.457,35.35,97395.0,1.15721
34389939,332.8,35.35,97391.0,1.15717
34413331,332.716,35.35,97392.0,1.15718
34423632,332.372,35.35,97396.0,1.15723
34435073,332.544,35.35,97394.0,1.1572
34458760,332.8,35.35,97391.0,1.15717
34469751,332.716,35.35,97392.0,1.15718
34480976,332.972,35.35,97389.0,1.15714
34502116,332.285,35.36,97397.0,1.15724
34512511,332.972,35.36,97389.0,1.15714
34522739,332.628,35.36,97393.0,1.15719
34543895,332.716,35.35,97392.0,1.15718
34554937,332.628,35.35,97393.0,1.15719
34564968,332.8,35.35,97391.0,1.15717
34587133,332.544,35.36,97394.0,1.1572
34597516,332.972,35.36,97389.0,1.15714
