timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
59323117,0,1200.0,0.25787,0.0168301,0.571233,0.0,0,0,0,0,1,0,1,1,0,1,36
60004520,60004135,800000.0,1.0,0.227785,22.7465,0.0,255,0,6,4,4,5,0,0,1,1,41
60323753,0,1200.0,0.25787,0.0169866,0.487616,0.0,0,0,0,0,1,0,1,1,0,1,36
61006499,61003685,800000.0,1.0,0.138845,22.0244,0.0,255,0,6,4,4,5,0,0,1,1,41
61329707,0,1200.0,0.25787,0.0168993,0.299217,0.0,0,0,0,0,1,0,1,1,0,1,36
62007126,61003685,800000.0,1.0,0.229541,22.8813,0.0,255,0,6,4,4,5,0,0,1,1,41
62018485,62018012,800000.0,1.0,0.229541,22.8813,0.0,255,0,6,4,4,5,0,0,1,1,41
62337128,0,1200.0,0.25787,0.016877,0.418948,0.0,0,0,0,0,1,0,1,1,0,1,36
63009750,63007669,800000.0,1.0,0.138943,22.037,0.0,255,0,6,4,4,5,0,0,1,1,41
63344686,0,1200.0,0.25787,0.0168713,0.700654,0.0,0,0,0,0,1,0,1,1,0,1,36
64013198,64012570,800000.0,1.0,0.161381,21.9637,0.0,255,0,6,4,4,5,0,0,1,1,41
64345752,0,1200.0,0.25787,0.0169809,0.336621,0.0,0,0,0,0,1,0,1,1,0,1,36
65003990,65000798,800000.0,1.0,0.138626,22.3228,0.0,255,0,6,4,4,5,0,0,1,1,41
65346938,0,1200.0,0.25787,0.0169799,0.381549,0.0,0,0,0,0,1,0,1,1,0,1,36
66004928,66003163,800000.0,1.0,0.138496,21.9691,0.0,255,0,6,4,4,5,0,0,1,1,41
66353707,0,1200.0,0.25787,0.0168856,0.443992,0.0,0,0,0,0,1,0,1,1,0,1,36
67007929,66003163,800000.0,1.0,0.13855,21.9786,0.0,255,0,6,4,4,5,0,0,1,1,41
67011348,67010407,800000.0,1.0,0.13855,21.9786,0.0,255,0,6,4,4,5,0,0,1,1,41
67354843,0,1200.0,0.25787,0.0169807,0.581339,0.0,0,0,0,0,1,0,1,1,0,1,36
68006074,68003543,800000.0,1.0,0.138635,21.991,0.0,255,0,6,4,4,5,0,0,1,1,41
68359120,0,1200.0,0.25787,0.0169289,0.391357,0.0,0,0,0,0,1,0,1,1,0,1,36
69008001,68003543,800000.0,1.0,0.138783,22.0156,0.0,255,0,6,4,4,5,0,0,1,1,41
69011172,69008070,800000.0,1.0,0.138783,22.0156,0.0,255,0,6,4,4,5,0,0,1,1,41
69365719,0,1200.0,0.25787,0.0168875,0.419207,0.0,0,0,0,0,1,0,1,1,0,1,36
70004906,70004712,800000.0,1.0,0.161799,22.0217,0.0,255,0,6,4,4,5,0,0,1,1,41
70375863,0,1200.0,0.25787,0.0168303,0.297995,0.0,0,0,0,0,1,0,1,1,0,1,36
71008067,70004712,800000.0,1.0,0.13877,22.1692,0.0,255,0,6,4,4,5,0,0,1,1,41
71012425,71011973,800000.0,1.0,0.13877,22.1692,0.0,255,0,6,4,4,5,0,0,1,1,41
71382427,0,1200.0,0.25787,0.0168921,0.773062,0.0,0,0,0,0,1,0,1,1,0,1,36
72005705,72003930,800000.0,1.0,0.138875,22.0301,0.0,255,0,6,4,4,5,0,0,1,1,41
73007215,73004552,800000.0,1.0,0.138975,22.0441,0.0,255,0,6,4,4,5,0,0,1,1,41
73393331,0,1200.0,0.25787,0.0168396,0.412075,0.0,0,0,0,0,1,0,1,1,0,1,36
74009459,74007173,800000.0,1.0,0.138589,21.9848,0.0,255,0,6,4,4,5,0,0,1,1,41
74397704,0,1200.0,0.25787,0.0169256,0.299683,0.0,0,0,0,0,1,0,1,1,0,1,36
75013229,74007173,800000.0,1.0,0.1386,21.9846,0.0,255,0,6,4,4,5,0,0,1,1,41
75017178,75013974,800000.0,1.0,0.1386,21.9846,0.0,255,0,6,4,4,5,0,0,1,1,41
75404770,0,1200.0,0.25787,0.0168808,0.577919,0.0,0,0,0,0,1,0,1,1,0,1,36
76007959,76005514,800000.0,1.0,0.161483,21.9797,0.0,255,0,6,4,4,5,0,0,1,1,41
76411264,0,1200.0,0.25787,0.016891,0.479904,0.0,0,0,0,0,1,0,1,1,0,1,36
77007316,77004828,800000.0,1.0,0.138741,22.0089,0.0,255,0,6,4,4,5,0,0,1,1,41
77415881,0,1200.0,0.25787,0.0169221,0.344415,0.0,0,0,0,0,1,0,1,1,0,1,36
78008414,77004828,800000.0,1.0,0.138849,22.0261,0.0,255,0,6,4,4,5,0,0,1,1,41
78018156,78015127,800000.0,1.0,0.138849,22.0261,0.0,255,0,6,4,4,5,0,0,1,1,41
78419758,0,1200.0,0.25787,0.0169333,0.618565,0.0,0,0,0,0,1,0,1,1,0,1,36
79003941,79003190,800000.0,1.0,0.13888,22.0299,0.0,255,0,6,4,4,5,0,0,1,1,41
