timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
16804707,0.000697427,0.00036609,-0.000999655,0.0,0.0,0.0,0.0
16836716,7.67107e-05,-0.000677364,-0.000743149,0.0,0.0,0.0,0.0
16869524,0.000520699,0.000638252,0.000538557,0.0,0.0,0.0,0.0
16897521,0.000583169,-0.000245323,-0.000628257,0.0,0.0,0.0,0.0
16929510,0.000190933,0.000498857,-0.000138729,0.0,0.0,0.0,0.0
16961510,0.000266724,0.000478036,-0.000183188,0.0,0.0,0.0,0.0
16994318,-0.000450461,-0.000300199,-0.000748772,0.0,0.0,0.0,0.0
17026315,0.000546984,-0.00103951,-0.000274698,0.0,0.0,0.0,0.0
17058358,-0.000283572,-0.000431996,-0.00108899,0.0,0.0,0.0,0.0
17087113,0.000539746,0.000260689,-0.000251175,0.0,0.0,0.0,0.0
17119134,0.000268172,-0.000820986,-0.000392422,0.0,0.0,0.0,0.0
17151265,-4.15575e-05,5.01636e-05,-0.000244134,0.0,0.0,0.0,0.0
17183115,-0.000789573,0.00044622,-0.000511494,0.0,0.0,0.0,0.0
17215915,0.000745967,0.000501115,-0.000423784,0.0,0.0,0.0,0.0
17243912,0.000602845,0.000110767,-0.00104555,0.0,0.0,0.0,0.0
17275912,-0.000355468,-0.000403541,-0.000468679,0.0,0.0,0.0,0.0
17308708,0.000457117,0.000232897,-0.000803996,0.0,0.0,0.0,0.0
17340714,-0.000320632,0.000251482,0.000276432,0.0,0.0,0.0,0.0
17372710,-0.000543653,0.0010014,8.11566e-06,0.0,0.0,0.0,0.0
17400712,-0.000154892,-0.000139529,0.00019942,0.0,0.0,0.0,0.0
17433516,0.00022249,-5.64881e-05,0.000313554,0.0,0.0,0.0,0.0
17465501,-0.00112913,0.000109658,-0.000761577,0.0,0.0,0.0,0.0
17497504,9.96054e-05,-0.00063777,0.000736101,0.0,0.0,0.0,0.0
17530308,0.000166379,-0.00134917,-0.00023465,0.0,0.0,0.0,0.0
17562304,-1.61887e-05,4.79239e-05,0.000478079,0.0,0.0,0.0,0.0
17590331,-0.000575056,5.58359e-05,-0.000179605,0.0,0.0,0.0,0.0
17622294,-0.000200509,-0.000191826,0.000421121,0.0,0.0,0.0,0.0
17655151,0.000242432,0.000713249,0.000691628,0.0,0.0,0.0,0.0
17687103,0.000366469,-0.00087789,-2.5376e-05,0.0,0.0,0.0,0.0
17719112,0.000422707,-0.000605297,0.000210783,0.0,0.0,0.0,0.0
17747919,0.00013795,-0.000100023,-0.000392522,0.0,0.0,0.0,0.0
17779894,5.56633e-05,0.000702418,0.000874405,0.0,0.0,0.0,0.0
17811901,-0.000365012,0.000131352,0.000103858,0.0,0.0,0.0,0.0
17844714,0.000237613,1.40568e-05,0.00026268,0.0,0.0,0.0,0.0
17876700,-0.000310041,0.000738126,-0.000143284,0.0,0.0,0.0,0.0
17908699,-0.000147586,0.000289981,-5.45307e-05,0.0,0.0,0.0,0.0
17940732,7.48928e-05,0.000455493,-0.000292774,0.0,0.0,0.0,0.0
17969517,-0.000849029,0.000405959,0.000433025,0.0,0.0,0.0,0.0
18001492,-0.000369248,0.000768609,-0.000208517,0.0,0.0,0.0,0.0
18033492,-0.000598371,0.00025106,0.000293531,0.0,0.0,0.0,0.0
18066295,8.56444e-06,0.000325398,0.000377277,0.0,0.0,0.0,0.0
18094304,0.000358074,7.55562e-05,0.000108518,0.0,0.0,0.0,0.0
18126316,0.000732404,-0.000415431,8.65103e-05,0.0,0.0,0.0,0.0
18158305,0.000800884,-0.000720209,0.000353267,0.0,0.0,0.0,0.0
18191252,-0.000153627,-5.8295e-05,0.000164496,0.0,0.0,0.0,0.0
18223123,0.00121576,-0.000786645,0.00109117,0.0,0.0,0.0,0.0
18255130,-0.000181091,-0.000466039,0.000483746,0.0,0.0,0.0,0.0
18283893,-0.000616217,0.000488328,0.000209766,0.0,0.0,0.0,0.0
18315898,0.000279506,0.000160796,0.000309465,0.0,0.0,0.0,0.0
18347899,0.000139766,0.000805144,0.000432157,0.0,0.0,0.0,0.0
18379926,-0.000318883,0.000305305,0.000643453,0.0,0.0,0.0,0.0
18412708,0.000233624,-0.000708962,0.0010553,0.0,0.0,0.0,0.0
18440704,-0.000797382,-0.000543363,0.000447201,0.0,0.0,0.0,0.0
18472731,-0.000158348,-4.00902e-05,0.000633704,0.0,0.0,0.0,0.0
18505492,0.000486059,-0.00036132,0.00159139,0.0,0.0,0.0,0.0
18537504,0.000267605,0.000790493,0.000352009,0.0,0.0,0.0,0.0
18569506,-0.000117724,0.000384061,0.000384768,0.0,0.0,0.0,0.0
