timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
33353340,0.0,-0.0,1.7087,0.0,0.656711,0.0,0.0,0.754143,0.0,0.0,-0.03,1,0,0,0,0,0
33453356,0.0,-0.0,1.70877,0.0,0.656681,0.0,0.0,0.754168,0.0,0.0,-0.03,1,0,0,0,0,0
33558168,0.0,-0.0,1.70881,0.0,0.656666,0.0,0.0,0.754181,0.0,0.0,-0.03,1,0,0,0,0,0
33658978,0.0,-0.0,1.70891,0.0,0.656628,0.0,0.0,0.754214,0.0,0.0,-0.03,1,0,0,0,0,0
33759755,0.0,-0.0,1.7091,0.0,0.656557,0.0,0.0,0.754277,0.0,0.0,-0.0338356,1,0,0,0,0,0
33860549,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0543108,1,0,0,0,0,0
33961348,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0541307,1,0,0,0,0,0
34062145,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.053211,1,0,0,0,0,0
34166949,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34267751,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34368557,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34469357,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34570284,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34670953,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34775766,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34875735,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
34976536,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35077357,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35182183,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35282960,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35383740,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35484532,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35585336,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35686163,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35790956,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35891771,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
35992536,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
36093357,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
36193346,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
36298151,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
36398968,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
36499763,0.0,-0.0,1.7093,0.0,0.656482,0.0,0.0,0.754341,0.0,0.0,-0.0532099,1,0,0,0,0,0
