timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
16523748,1607978958599927,408160033,-778857427,359553,325111,1.055,0.56956,7.505,8.614,1.06,1.24,101,14,0.275,-0.251,0.111,-0.047,2.8701,0,nan,0.0,3,1,10
16807086,1607978958799927,408160028,-778857426,359722,325280,0.97,0.569607,7.464,8.572,1.06,1.24,101,14,0.111,-0.107,-0.027,-0.093,2.8701,0,nan,0.0,3,1,10
16923230,1607978958999928,408160028,-778857426,359831,325388,0.834,0.569647,7.425,8.532,1.06,1.24,101,14,0.085,0.039,0.076,0.012,2.8701,0,nan,0.0,3,1,10
17120622,1607978959199927,408160026,-778857423,359966,325523,0.927,0.569692,7.388,8.496,1.06,1.24,101,14,0.022,0.006,-0.021,0.081,2.8701,0,nan,0.0,3,1,10
17327719,1607978959399927,408160019,-778857416,360218,325775,0.889,0.569734,7.352,8.459,1.06,1.24,101,13,0.04,0.04,0.007,-0.103,2.8701,0,nan,0.0,3,1,10
17528624,1607978959599927,408160017,-778857412,360354,325912,1.026,0.569784,7.316,8.422,1.06,1.24,101,13,0.08,0.08,-0.001,0.042,2.8701,0,nan,0.0,3,1,10
17745769,1607978959799927,408160002,-778857400,360684,326241,1.022,0.569833,7.286,8.391,1.06,1.24,101,13,0.167,-0.166,-0.018,-0.12,2.8701,0,nan,0.0,3,1,10
17930225,1607978959999928,408160001,-778857395,360737,326295,0.952,0.569879,7.256,8.359,1.06,1.24,101,13,0.057,0.049,0.029,0.055,2.8701,0,nan,0.0,3,1,10
18128626,1607978960199927,408160002,-778857384,360799,326357,0.846,0.56992,7.222,8.322,1.06,1.24,101,13,0.434,0.215,0.377,0.118,2.8701,0,nan,0.0,3,1,10
18325242,1607978960399927,408160006,-778857376,360771,326329,0.863,0.569961,7.188,8.284,1.06,1.24,101,16,0.282,0.142,0.244,0.151,2.8701,0,nan,0.0,3,1,10
