timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
15963510,0.273508,0.00167613,0.116724
85175633,0.272773,0.00165739,0.11648
85380943,0.189803,0.00220309,0.108363
85581898,0.170879,0.00148189,0.103866
85783516,0.251318,0.00245365,0.112036
85985738,0.268173,0.00161199,0.11206
