timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
787964126,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788966974,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789976800,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790982935,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791986744,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792989094,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793993785,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794997674,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796003723,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797010738,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798015947,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799025361,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800035202,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801045086,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802054741,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803055977,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804065606,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806079722,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807088785,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808091996,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809093678,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810103631,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811112881,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812122400,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813122743,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814133560,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815139674,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816149944,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817160876,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818169675,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819178934,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820180423,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821190036,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822199742,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823207673,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824210737,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825216854,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826222738,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827222739,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828225617,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829227677,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830233292,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831239673,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832249676,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833258470,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834258818,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835270120,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836271523,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837273560,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838283674,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839292940,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840299673,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841300823,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842302469,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843312873,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844321611,3080239,2162703,3080207,0.0,0.0,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845114000,3080239,2162703,3080207,0.0,0.0,15,1,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
