timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
787968286,inf,1,0,0,0,0
788982334,inf,1,0,0,0,0
789997644,inf,1,0,0,0,0
790430714,inf,0,0,1,0,0
791439647,inf,0,0,1,0,0
792455338,inf,0,0,1,0,0
793236783,inf,0,0,0,0,0
793937123,inf,0,0,1,0,0
794416747,inf,0,0,0,0,0
795429668,inf,0,0,0,0,0
796439649,inf,0,0,0,0,0
797443645,inf,0,0,0,0,0
798457636,inf,0,0,0,0,0
799475645,inf,0,0,0,0,0
800492287,inf,0,0,0,0,0
801505668,inf,0,0,0,0,0
802515140,inf,0,0,0,0,0
803527639,inf,0,0,0,0,0
804539642,inf,0,0,0,0,0
805548483,inf,0,0,0,0,0
806555646,inf,0,0,0,0,0
807564766,inf,0,0,0,0,0
808572770,inf,0,0,0,0,0
809584757,inf,0,0,0,0,0
810588769,inf,0,0,0,0,0
811597739,inf,0,0,0,0,0
812607642,inf,0,0,0,0,0
813623647,inf,0,0,0,0,0
814632758,inf,0,0,0,0,0
815645646,inf,0,0,0,0,0
816656750,inf,0,0,0,0,0
817667782,inf,0,0,0,0,0
818677134,inf,0,0,0,0,0
819692766,inf,0,0,0,0,0
820705648,inf,0,0,0,0,0
821720698,inf,0,0,0,0,0
822734709,inf,0,0,0,0,0
823749142,inf,0,0,0,0,0
824760784,inf,0,0,0,0,0
825767654,inf,0,0,0,0,0
826782976,inf,0,0,0,0,0
827788791,inf,0,0,0,0,0
828795653,inf,0,0,0,0,0
829804788,inf,0,0,0,0,0
830817639,inf,0,0,0,0,0
831828121,inf,0,0,0,0,0
832845097,inf,0,0,0,0,0
833855282,inf,0,0,0,0,0
834864775,inf,0,0,0,0,0
835876740,inf,0,0,0,0,0
836882719,inf,0,0,0,0,0
837894853,inf,0,0,0,0,0
838554963,inf,0,0,1,0,0
838844771,inf,0,0,0,1,0
839173331,inf,1,0,0,0,0
840184750,inf,1,0,0,0,0
841191780,inf,1,0,0,0,0
843214705,inf,1,0,0,0,0
844222173,inf,1,0,0,0,0
845235713,inf,1,0,0,0,0
