timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
788130952,4.921,3.31611,1,0,1,0,1,0,0
788640951,4.69702,3.31611,1,0,1,0,1,0,0
789140951,4.86621,3.31611,1,0,1,0,1,0,0
789640951,4.74214,3.31611,1,0,1,0,1,0,0
790140951,4.82915,3.31611,1,0,1,0,1,0,0
790640951,4.73247,3.31934,1,0,1,0,1,0,0
791140962,4.84849,3.31611,1,0,1,0,1,0,0
791650951,4.93711,3.33384,1,0,1,0,1,0,0
792150951,4.88394,3.33384,1,0,1,0,1,0,0
792650951,4.90327,3.329,1,0,1,0,1,0,0
793150951,4.83398,3.3145,1,0,1,0,1,0,0
793650951,4.88877,3.31772,1,0,1,0,1,0,0
794150951,4.83882,3.31611,1,0,1,0,1,0,0
794650951,4.9355,3.31772,1,0,1,0,1,0,0
795150952,4.90166,3.31611,1,0,1,0,1,0,0
795650951,4.8501,3.31934,1,0,1,0,1,0,0
796150951,4.88716,3.33384,1,0,1,0,1,0,0
796650951,4.89199,3.31772,1,0,1,0,1,0,0
797150958,4.91616,3.32578,1,0,1,0,1,0,0
797660954,4.8791,3.31772,1,0,1,0,1,0,0
798160951,4.88555,3.31772,1,0,1,0,1,0,0
798660951,4.91455,3.31611,1,0,1,0,1,0,0
799160951,4.89844,3.31934,1,0,1,0,1,0,0
799660951,4.86782,3.33384,1,0,1,0,1,0,0
800160951,4.89683,3.31772,1,0,1,0,1,0,0
800660951,4.90166,3.31934,1,0,1,0,1,0,0
801160951,4.89199,3.31934,1,0,1,0,1,0,0
801660951,4.95161,3.31772,1,0,1,0,1,0,0
802160951,4.8791,3.31772,1,0,1,0,1,0,0
802660951,4.93711,3.32739,1,0,1,0,1,0,0
803160951,4.90327,3.33384,1,0,1,0,1,0,0
803660953,4.90811,3.31611,1,0,1,0,1,0,0
804160951,4.82593,3.32417,1,0,1,0,1,0,0
804670951,4.92583,3.3145,1,0,1,0,1,0,0
805670955,4.96128,3.32578,1,0,1,0,1,0,0
806170951,4.8646,3.31934,1,0,1,0,1,0,0
806670951,4.92583,3.32578,1,0,1,0,1,0,0
807170951,4.88071,3.33384,1,0,1,0,1,0,0
807670951,4.97417,3.31611,1,0,1,0,1,0,0
808170951,4.93228,3.31772,1,0,1,0,1,0,0
808670951,4.95483,3.31934,1,0,1,0,1,0,0
809170951,4.91294,3.32417,1,0,1,0,1,0,0
809670951,4.91616,3.31611,1,0,1,0,1,0,0
810170952,4.93066,3.329,1,0,1,0,1,0,0
810670951,4.93066,3.32256,1,0,1,0,1,0,0
811180959,4.98062,3.31934,1,0,1,0,1,0,0
811680951,4.96934,3.31772,1,0,1,0,1,0,0
812180951,4.93066,3.31772,1,0,1,0,1,0,0
812680951,4.90649,3.33545,1,0,1,0,1,0,0
813180951,4.95322,3.31611,1,0,1,0,1,0,0
813680951,4.86782,3.33384,1,0,1,0,1,0,0
814180951,4.94678,3.31934,1,0,1,0,1,0,0
814680951,4.95806,3.33223,1,0,1,0,1,0,0
815180951,4.92905,3.31772,1,0,1,0,1,0,0
815680951,4.96289,3.31611,1,0,1,0,1,0,0
816180951,4.91938,3.33384,1,0,1,0,1,0,0
816680955,4.93389,3.3145,1,0,1,0,1,0,0
817190952,4.92261,3.3145,1,0,1,0,1,0,0
817690951,4.94839,3.33384,1,0,1,0,1,0,0
818190951,4.95967,3.31611,1,0,1,0,1,0,0
818690951,4.92261,3.31772,1,0,1,0,1,0,0
819190951,4.94033,3.33545,1,0,1,0,1,0,0
819690951,4.96289,3.32095,1,0,1,0,1,0,0
820190951,4.90327,3.33223,1,0,1,0,1,0,0
820690951,4.96934,3.31772,1,0,1,0,1,0,0
821190951,4.93872,3.31611,1,0,1,0,1,0,0
821690951,4.99189,3.31611,1,0,1,0,1,0,0
822190952,4.98223,3.31611,1,0,1,0,1,0,0
822690951,4.91616,3.31772,1,0,1,0,1,0,0
823200953,4.93872,3.31772,1,0,1,0,1,0,0
823700952,4.93711,3.31772,1,0,1,0,1,0,0
824200951,4.9645,3.33545,1,0,1,0,1,0,0
824700951,4.95483,3.31934,1,0,1,0,1,0,0
825200951,4.96934,3.31772,1,0,1,0,1,0,0
825700952,4.90005,3.31934,1,0,1,0,1,0,0
826200951,4.95161,3.31611,1,0,1,0,1,0,0
826700951,4.92905,3.33062,1,0,1,0,1,0,0
827210958,4.91616,3.3145,1,0,1,0,1,0,0
827710951,4.98545,3.32417,1,0,1,0,1,0,0
828210951,4.97095,3.31772,1,0,1,0,1,0,0
828710951,4.88877,3.3145,1,0,1,0,1,0,0
829210954,4.95806,3.31772,1,0,1,0,1,0,0
829710951,4.91777,3.31934,1,0,1,0,1,0,0
830210951,4.97578,3.31611,1,0,1,0,1,0,0
830710951,4.97578,3.31934,1,0,1,0,1,0,0
831210951,4.97739,3.32578,1,0,1,0,1,0,0
831710951,4.95806,3.31772,1,0,1,0,1,0,0
832210951,4.92583,3.33062,1,0,1,0,1,0,0
832710951,4.99995,3.32739,1,0,1,0,1,0,0
833210951,4.96611,3.31772,1,0,1,0,1,0,0
833720954,4.90005,3.31611,1,0,1,0,1,0,0
834220954,4.93872,3.33545,1,0,1,0,1,0,0
834720951,4.98384,3.31611,1,0,1,0,1,0,0
835220951,4.95322,3.31772,1,0,1,0,1,0,0
835720951,4.97739,3.31611,1,0,1,0,1,0,0
836220951,4.93389,3.3145,1,0,1,0,1,0,0
836720957,4.979,3.31611,1,0,1,0,1,0,0
837220951,4.95483,3.32095,1,0,1,0,1,0,0
837720951,4.96611,3.31772,1,0,1,0,1,0,0
838220951,4.94194,3.31772,1,0,1,0,1,0,0
838720951,4.95483,3.31772,1,0,1,0,1,0,0
839220952,4.96611,3.31611,1,0,1,0,1,0,0
839720951,4.94678,3.33384,1,0,1,0,1,0,0
840230951,4.94033,3.31611,1,0,1,0,1,0,0
840730951,4.92261,3.30967,1,0,1,0,1,0,0
841230951,4.97417,3.31611,1,0,1,0,1,0,0
841730951,4.95645,3.31934,1,0,1,0,1,0,0
842730951,4.93066,3.32739,1,0,1,0,1,0,0
843230955,4.9645,3.30967,1,0,1,0,1,0,0
843730989,4.89199,3.31772,1,0,1,0,1,0,0
844230951,4.98062,3.31611,1,0,1,0,1,0,0
844730951,4.99189,3.33223,1,0,1,0,1,0,0
845230954,4.77759,3.32095,1,0,1,0,1,0,0
845730951,4.98867,3.33223,1,0,1,0,1,0,0
