timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
788139463,-1.81822,1.83245,0.00194399,0.0,0.0,-0.1
788172299,-1.8182,1.83241,0.00193931,0.0,0.0,-0.1
788204262,-1.81811,1.83243,0.0019549,0.0,0.0,-0.1
788232263,-1.8181,1.83243,0.00195626,0.0,0.0,-0.1
788264268,-1.81816,1.83239,0.00194354,0.0,0.0,-0.1
788296256,-1.81809,1.83234,0.00194606,0.0,0.0,-0.1
788328268,-1.81805,1.83227,0.00194091,0.0,0.0,-0.1
788360274,-1.8181,1.83233,0.00194264,0.0,0.0,-0.1
788392289,-1.81812,1.83234,0.00194142,0.0,0.0,-0.1
788424193,-1.81815,1.83236,0.00194002,0.0,0.0,-0.1
788456258,-1.81811,1.83239,0.00194941,0.0,0.0,-0.1
788488289,-1.81806,1.83238,0.00195492,0.0,0.0,-0.1
788520171,-1.81806,1.83236,0.00195237,0.0,0.0,-0.1
788552186,-1.81807,1.83233,0.00194593,0.0,0.0,-0.1
788584990,-1.81808,1.83224,0.00193308,0.0,0.0,-0.1
788616985,-1.81809,1.83225,0.00193291,0.0,0.0,-0.1
788644981,-1.81814,1.83233,0.00193691,0.0,0.0,-0.1
788676974,-1.81814,1.8322,0.00191903,0.0,0.0,-0.1
788708970,-1.81818,1.83221,0.00191489,0.0,0.0,-0.1
788741115,-1.81823,1.83219,0.00190582,0.0,0.0,-0.1
788772965,-1.81816,1.83225,0.00192191,0.0,0.0,-0.1
788804970,-1.81821,1.83224,0.00191438,0.0,0.0,-0.1
788836969,-1.81831,1.83218,0.00189235,0.0,0.0,-0.1
788868980,-1.81829,1.83214,0.00189016,0.0,0.0,-0.1
788896979,-1.81829,1.83207,0.00188109,0.0,0.0,-0.1
788928974,-1.81825,1.83207,0.00188739,0.0,0.0,-0.1
788961118,-1.81834,1.83197,0.00185945,0.0,0.0,-0.1
788992967,-1.81828,1.83186,0.00185437,0.0,0.0,-0.1
789024992,-1.81819,1.83175,0.00185104,0.0,0.0,-0.1
789056972,-1.87463,1.77388,0.0017876,0.0,0.0,-0.1
789088969,-1.76102,1.61861,0.00180342,0.0,0.0,-0.1
789121122,-0.659104,0.783706,0.000655074,0.0,0.0,-0.1
789148973,0.0313424,0.0677551,4.5722e-05,0.0,0.0,-0.1
789181857,0.00875691,0.0037275,2.43186e-06,0.0,0.0,-0.107238
789213775,0.0124355,0.00351633,3.06545e-06,0.0,0.0,-0.105055
789245792,0.010761,0.00366897,2.637e-06,0.0,0.0,-0.104929
789277778,0.0108426,0.00348971,2.66208e-06,0.0,0.0,-0.103853
789309781,0.0111732,0.00353993,2.48135e-06,0.0,0.0,-0.103927
789337777,0.0109019,0.00347622,2.4732e-06,0.0,0.0,-0.103926
789369784,0.0113372,0.0036341,2.65639e-06,0.0,0.0,-0.103926
789401784,0.0109369,0.00349858,2.17955e-06,0.0,0.0,-0.103926
789433767,0.0112685,0.00355409,2.65989e-06,0.0,0.0,-0.103926
789465769,0.010986,0.00348633,2.49266e-06,0.0,0.0,-0.103926
789497784,0.0113034,0.00354751,2.54203e-06,0.0,0.0,-0.103724
789529783,0.0110414,0.00350699,2.56107e-06,0.0,0.0,-0.101902
