timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
788134997,0.0,0.0,0.0,0.00129853,0.00208718,-0.0191193,0.0,0.0,0.0,-0.0152932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257814,0.257814,4.06671,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000217426,0.000511751,0.000912419,0.0,0.0,0.0,0.0,0.0,0.0
788335796,0.0,0.0,0.0,0.00134768,0.00187452,0.0190582,0.0,0.0,0.0,-0.0129902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257687,0.257687,4.06605,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,8.55011e-05,0.00241224,0.00702258,0.0,0.0,0.0,0.0,0.0,0.0
788535796,0.0,0.0,0.0,0.00143573,0.00160523,0.150009,0.0,0.0,0.0,-0.00387937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2576,0.2576,4.06551,0.0,0.0,0.0,0.090145,0.0,0.0,0.0,0.0,0.0,1.81446e-05,0.00243249,0.00756284,0.0,0.0,0.0,0.0,0.0,0.0
788740607,0.0,0.0,0.0,0.00147913,0.00122966,-0.0490875,0.0,0.0,0.0,-0.012993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257476,0.257476,4.06472,0.0,0.0,0.0,0.0901449,0.0,0.0,0.0,0.0,0.0,2.45889e-05,0.00163931,0.00340447,0.0,0.0,0.0,0.0,0.0,0.0
788948597,0.0,0.0,0.0,0.00159131,0.000778729,-0.217163,0.0,0.0,0.0,0.0071702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257617,0.257617,4.06519,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,5.36356e-05,0.000404942,0.000660448,0.0,0.0,0.0,0.0,0.0,0.0
789148598,0.0,0.0,0.0,0.00164025,0.000313535,-0.0597076,0.0,0.0,0.0,0.00556964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257627,0.257627,4.0651,0.0,0.0,0.0,0.090145,0.0,0.0,0.0,0.0,0.0,2.1012e-05,0.00219541,0.00619711,0.0,0.0,0.0,0.0,0.0,0.0
789349396,0.0,0.0,0.0,0.00130954,-0.000413793,0.0390015,0.0,0.0,0.0,0.0164613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257692,0.257692,4.06532,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,0.000131802,0.00468848,0.0135892,0.0,0.0,0.0,0.0,0.0,0.0
789557396,0.0,0.0,0.0,0.000405791,-0.00164692,-0.0457611,0.0,0.0,0.0,-0.00357044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257699,0.257699,4.06526,0.0,0.0,0.0,0.0901454,0.0,0.0,0.0,0.0,0.0,0.000101694,0.0030434,0.00950368,0.0,0.0,0.0,0.0,0.0,0.0
789758196,0.0,0.0,0.0,-0.000569237,-0.00245788,0.122849,0.0,0.0,0.0,-0.0141667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257908,0.257908,4.06619,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,6.04081e-05,0.00363573,0.0115495,0.0,0.0,0.0,0.0,0.0,0.0
789958196,0.0,0.0,0.0,-0.00118425,-0.00357437,0.027359,0.0,0.0,0.0,0.00388771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257857,0.257857,4.06601,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,3.07107e-05,0.00369106,0.0117063,0.0,0.0,0.0,0.0,0.0,0.0
790166996,0.0,0.0,0.0,-0.00185698,-0.00407379,0.00135803,0.0,0.0,0.0,0.00747651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257729,0.257728,4.06546,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,3.19299e-05,0.00190518,0.00416077,0.0,0.0,0.0,0.0,0.0,0.0
790366996,0.0,0.0,0.0,-0.00163201,-0.00451154,0.0449524,0.0,0.0,0.0,-0.00349665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257847,0.257847,4.06602,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,4.02844e-05,0.00106563,0.00195639,0.0,0.0,0.0,0.0,0.0,0.0
790566997,0.0,0.0,0.0,-0.00194729,-0.00543959,-0.0414429,0.0,0.0,0.0,-0.0150709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.009,100.009,4.06547,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,8.97675e-05,0.000663776,0.00146179,0.0,0.0,0.0,0.0,0.0,0.0
790775796,0.0,0.0,0.0,-0.0022097,-0.00693557,0.209991,0.0,0.0,0.0,-0.00333774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.012,100.012,4.06604,0.0,0.0,0.0,0.090145,0.0,0.0,0.0,0.0,0.0,0.000143098,0.00276946,0.00822301,0.0,0.0,0.0,0.0,0.0,0.0
790975797,0.0,0.0,0.0,-0.00218808,-0.0087194,-0.148407,0.0,0.0,0.0,-0.00327814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.016,100.016,4.06523,0.0,0.0,0.0,0.0901449,0.0,0.0,0.0,0.0,0.0,0.000161417,0.00418515,0.0126242,0.0,0.0,0.0,0.0,0.0,0.0
791176596,0.0,0.0,0.0,-0.00257547,-0.0106103,0.0928497,0.0,0.0,0.0,-0.0238848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02,100.02,4.06448,0.0,0.0,0.0,0.090145,0.0,0.0,0.0,0.0,0.0,0.000247671,0.0051639,0.0160894,0.0,0.0,0.0,0.0,0.0,0.0
791384614,0.0,0.0,0.0,-0.00284591,-0.0131454,-0.0842438,0.0,0.0,0.0,-0.00178659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.025,100.025,4.06555,0.0,0.0,0.0,0.0901448,0.0,0.0,0.0,0.0,0.0,0.000210472,0.00288833,0.00951295,0.0,0.0,0.0,0.0,0.0,0.0
791584601,0.0,0.0,0.0,-0.0033151,-0.0157751,0.248642,0.0,0.0,0.0,-0.0134161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.032,100.032,4.06542,0.0,0.0,0.0,0.0901449,0.0,0.0,0.0,0.0,0.0,0.000202165,0.00324754,0.010465,0.0,0.0,0.0,0.0,0.0,0.0
791781397,0.0,0.0,0.0,-0.00391217,-0.0182049,0.349564,0.0,0.0,0.0,-0.00146824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.039,100.039,4.06564,0.0,0.0,0.0,0.090145,0.0,0.0,0.0,0.0,0.0,0.000183993,0.00764023,0.0231323,0.0,0.0,0.0,0.0,0.0,0.0
791989396,0.0,0.0,0.0,-0.00444875,-0.0203614,-0.254578,0.0,0.0,0.0,-0.00352234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.047,100.047,4.0657,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,0.000166129,0.00169196,0.00623743,0.0,0.0,0.0,0.0,0.0,0.0
792190196,0.0,0.0,0.0,-0.00526625,-0.0228479,0.21759,0.0,0.0,0.0,-0.0251063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.059,100.059,4.06588,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,0.000274583,0.00118054,0.00372497,0.0,0.0,0.0,0.0,0.0,0.0
792390196,0.0,0.0,0.0,-0.00614716,-0.0248706,0.0986176,0.0,0.0,0.0,-0.0132772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07,100.07,4.06609,0.0,0.0,0.0,0.0901454,0.0,0.0,0.0,0.0,0.0,0.000279717,0.00651761,0.0188727,0.0,0.0,0.0,0.0,0.0,0.0
792590196,0.0,0.0,0.0,-0.00677353,-0.0271102,0.22525,0.0,0.0,0.0,-0.00269467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.085,100.085,4.06591,0.0,0.0,0.0,0.0901454,0.0,0.0,0.0,0.0,0.0,0.00026471,0.0114194,0.0339213,0.0,0.0,0.0,0.0,0.0,0.0
792794996,0.0,0.0,0.0,-0.00725853,-0.029015,0.580215,0.0,0.0,0.0,-0.0128863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.101,100.101,4.06541,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000249075,0.0186067,0.0564235,0.0,0.0,0.0,0.0,0.0,0.0
792994996,0.0,0.0,0.0,-0.00812071,-0.0305028,0.0457306,0.0,0.0,0.0,-0.0123029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.119,100.119,4.0652,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,0.000278633,0.0139559,0.0449502,0.0,0.0,0.0,0.0,0.0,0.0
