timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
788134997,0.90645,-0.000950598,-0.00101122,0.422311,0.00208187,0.00172047,0.0207498,0.0012933,0.00205162,-0.0120641,-3.3193e-06,3.92697e-06,1.46818e-06,-2.27897e-06,-4.73577e-06,-0.000538526,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,2.2117e-11,5.69418e-06,0.000354167,6.47348e-06,7.86681e-05,7.86689e-05,2.97801e-05,0.00520327,0.00520271,0.0125616,0.00773495,0.00773473,0.066341,9.91797e-12,9.91825e-12,1.81427e-11,1.87073e-06,1.87067e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.124377,0.257568,0.0195908,0.0,4.11061e-05,0.00189618,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
788335796,0.906461,-0.000980965,-0.000996362,0.422288,0.00237841,0.00108117,0.018449,0.00134793,0.00183597,-0.0154861,-3.31884e-06,3.92241e-06,1.47824e-06,-2.27727e-06,-4.74273e-06,-0.00053566,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,2.12563e-11,5.67252e-06,0.000361258,6.47935e-06,7.86643e-05,7.86649e-05,2.98077e-05,0.00517439,0.00517384,0.012486,0.00762127,0.00762103,0.0657344,9.91693e-12,9.9172e-12,1.8151e-11,1.87073e-06,1.87067e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.12346,0.256387,0.0166407,0.0,3.6927e-05,0.00189028,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
788535796,0.906464,-0.000991788,-0.000991851,0.42228,0.00193032,0.000479868,0.0179341,0.0014235,0.00156634,-0.0148039,-3.31878e-06,3.91815e-06,1.4817e-06,-2.28376e-06,-4.74496e-06,-0.000534488,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,1.88981e-11,5.63208e-06,0.000265161,6.46437e-06,7.86599e-05,7.86605e-05,2.97391e-05,0.00515541,0.00515488,0.0124244,0.00753074,0.00753049,0.0651728,9.91555e-12,9.91583e-12,1.81336e-11,1.87073e-06,1.87067e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.122724,0.25529,0.00496955,0.0,3.16274e-05,0.0148796,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
788740607,0.906479,-0.000997971,-0.000990623,0.422249,0.00223453,-0.000332335,0.023424,0.00144677,0.00119233,0.00181653,-3.31917e-06,3.91395e-06,1.48377e-06,-2.29601e-06,-4.74079e-06,-0.000539367,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,3.95561e-11,6.98923e-06,0.000578152,6.46227e-06,7.86434e-05,7.86439e-05,2.97343e-05,0.00507882,0.00507832,0.0122966,0.00730469,0.00730444,0.063898,9.90544e-12,9.90571e-12,1.81289e-11,1.87073e-06,1.87067e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.120868,0.252781,0.0166443,0.0,2.915e-05,0.00486952,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
788948597,0.906491,-0.000991738,-0.00098685,0.422223,0.00396156,-0.00166962,0.0236614,0.00161889,0.00074143,0.0058066,-3.32005e-06,3.91095e-06,1.49638e-06,-2.30239e-06,-4.74076e-06,-0.000539069,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,6.95981e-11,8.39232e-06,0.00066896,6.47176e-06,7.86612e-05,7.86617e-05,2.97784e-05,0.00519616,0.00519568,0.0124245,0.007548,0.00754773,0.0648622,9.91966e-12,9.91994e-12,1.81397e-11,1.87073e-06,1.87067e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.122865,0.254681,0.00918517,0.0,3.13522e-05,0.0215415,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
789148598,0.906447,-0.000987104,-0.000931416,0.422319,0.00376836,-0.00117521,0.0269824,0.00162139,0.000295445,0.0196668,-3.32182e-06,3.90821e-06,1.49291e-06,-2.30136e-06,-4.74278e-06,-0.000542584,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,1.77601e-09,2.53736e-05,0.00251017,6.47006e-06,7.86553e-05,7.86558e-05,2.97553e-05,0.00517223,0.00517178,0.0123804,0.00747889,0.00747862,0.0644143,9.91612e-12,9.9164e-12,1.81344e-11,1.87073e-06,1.87067e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.122301,0.2538,0.00713481,0.0,3.23158e-05,0.00592276,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
789349396,0.906038,-0.000775373,-0.000824422,0.423196,0.00273572,-0.0201259,0.0174569,0.00116817,-0.000698139,0.00424425,-3.32404e-06,3.90666e-06,1.46384e-06,-2.30972e-06,-4.72193e-06,-0.000534484,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,3.20053e-09,3.84853e-05,0.00312189,6.50143e-06,7.86664e-05,7.8667e-05,2.97582e-05,0.00523702,0.00523655,0.012458,0.00762841,0.00762814,0.0650223,9.92421e-12,9.9245e-12,1.81429e-11,1.87073e-06,1.87067e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.123517,0.254995,0.0210873,0.0,2.5797e-05,0.00386869,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
789557396,0.90644,-0.000991427,-0.000911675,0.422332,-0.0116021,-0.00209994,0.0210466,0.000160818,-0.00172294,0.00535657,-3.32669e-06,3.90742e-06,1.45776e-06,-2.31138e-06,-4.72092e-06,-0.00053307,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,2.13468e-09,3.22115e-05,0.00270178,6.48376e-06,7.8668e-05,7.86683e-05,2.98283e-05,0.0052341,0.00523374,0.0124558,0.00762679,0.00762653,0.0649324,9.92313e-12,9.92344e-12,1.81533e-11,1.87073e-06,1.87067e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.123504,0.254818,0.00457379,0.0,3.24426e-05,0.00453923,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
789758196,0.906303,-0.00099345,-0.000926915,0.422626,-0.00377517,-0.017312,0.0203095,-0.000553564,-0.00247535,-0.000727414,-3.32888e-06,3.9106e-06,1.44972e-06,-2.31613e-06,-4.71249e-06,-0.000529064,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,2.22975e-09,3.57825e-05,0.0027783,6.48756e-06,7.86768e-05,7.86771e-05,2.97982e-05,0.00527544,0.00527505,0.0125236,0.00774632,0.00774607,0.065471,9.92689e-12,9.92721e-12,1.81475e-11,1.87073e-06,1.87067e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.124468,0.255873,0.0181478,0.0,4.8398e-05,0.0121845,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
789958196,0.906493,-0.00107584,-0.00101779,0.422218,-0.00513754,-0.0163007,0.0174377,-0.00114815,-0.00346547,-0.00763436,-3.33124e-06,3.91649e-06,1.45849e-06,-2.32244e-06,-4.7044e-06,-0.000524947,0.204411,2.65862e-09,0.502716,0.0,0.0,0.0,0.0,0.0,2.43843e-09,3.97916e-05,0.00260254,6.47098e-06,7.86672e-05,7.86674e-05,2.97896e-05,0.00520948,0.00520914,0.0124564,0.00761748,0.00761725,0.0649362,9.91899e-12,9.91934e-12,1.81438e-11,1.87073e-06,1.87067e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.123429,0.254826,0.00498023,0.0,7.03899e-05,0.0027136,0.0,0.0,0.0,0.012,104,0,0,165,24,0,0,0
