timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
788139308,-0.000326212,2.9428e-05,-0.000554513,0.0,0.0,0.0,0.0
788172121,0.000488616,0.000293955,-0.000253279,0.0,0.0,0.0,0.0
788204109,-0.000569539,9.63111e-05,-0.000172086,0.0,0.0,0.0,0.0
788232111,-0.000533246,0.000355217,-0.000447601,0.0,0.0,0.0,0.0
788264122,0.000571047,0.000565149,0.000154947,0.0,0.0,0.0,0.0
788296108,-0.000670836,0.000358865,1.44933e-05,0.0,0.0,0.0,0.0
788328115,-0.000506384,0.000309664,0.000419771,0.0,0.0,0.0,0.0
788360125,0.000385211,-0.000380545,-0.000393522,0.0,0.0,0.0,0.0
788392140,-0.000343687,-0.000277851,0.000386995,0.0,0.0,0.0,0.0
788424110,0.000461903,3.28071e-05,0.000317389,0.0,0.0,0.0,0.0
788452084,-0.000512224,-0.000334953,-0.000431979,0.0,0.0,0.0,0.0
788484112,-0.000450837,0.00016851,-0.000483892,0.0,0.0,0.0,0.0
788516118,0.000584854,9.3371e-05,-0.000350573,0.0,0.0,0.0,0.0
788548078,4.16486e-05,0.000319002,-0.000531432,0.0,0.0,0.0,0.0
788580885,0.000173192,0.00100392,-0.00186511,0.0,0.0,0.0,0.0
788612884,0.000186849,-0.000346663,-0.00150807,0.0,0.0,0.0,0.0
788644897,0.000407789,-0.000428194,0.00275596,0.0,0.0,0.0,0.0
788672889,-0.00049646,0.00051078,0.000361227,0.0,0.0,0.0,0.0
788704895,-0.000718276,-0.00020871,0.00288391,0.0,0.0,0.0,0.0
788736889,0.000138167,0.00118403,0.00397226,0.0,0.0,0.0,0.0
788768890,-0.000904328,-0.000542703,-0.00610774,0.0,0.0,0.0,0.0
788800909,0.00117151,0.000356273,-0.00377955,0.0,0.0,0.0,0.0
788832886,0.00231506,0.000447398,0.00380486,0.0,0.0,0.0,0.0
788864894,0.00138098,0.000340905,0.00121792,0.0,0.0,0.0,0.0
788896892,0.00108996,0.000451163,-0.0032761,0.0,0.0,0.0,0.0
788924892,-0.000915887,-0.000259955,-0.00208483,0.0,0.0,0.0,0.0
788956892,-0.000311796,0.000695515,0.00594867,0.0,0.0,0.0,0.0
788988899,-0.00142139,0.000658386,0.00351666,0.0,0.0,0.0,0.0
789020873,-0.00120494,0.000728842,0.00340806,0.0,0.0,0.0,0.0
789052894,0.0022388,-0.00037235,-0.000112205,0.0,0.0,0.0,0.0
789084878,-0.0145874,0.0020208,-0.0853716,0.0,0.0,0.0,0.0
789116887,0.0427996,0.00061754,0.104786,0.0,0.0,0.0,0.0
789148887,-0.0493007,-0.00278741,-0.00648575,0.0,0.0,0.0,0.0
789177700,0.0431262,-0.00409404,0.0542939,0.0,0.0,0.0,0.0
789209683,-0.0239668,0.00555521,-0.0592974,0.0,0.0,0.0,0.0
789241687,-0.00650674,-0.00182469,-0.0297942,0.0,0.0,0.0,0.0
789273715,0.0199228,0.00215151,0.0251515,0.0,0.0,0.0,0.0
789305687,-0.00928871,-4.46216e-05,0.00845737,0.0,0.0,0.0,0.0
789337687,0.00152873,0.00292426,0.0157417,0.0,0.0,0.0,0.0
789365689,-0.00532743,0.000192615,-0.0315647,0.0,0.0,0.0,0.0
789397686,0.00650665,0.00169159,0.00858444,0.0,0.0,0.0,0.0
789429701,-0.00316113,9.38294e-05,-0.00536258,0.0,0.0,0.0,0.0
789461689,0.000427437,7.98379e-05,0.0264551,0.0,0.0,0.0,0.0
789493686,-0.000907963,0.000261736,-0.0192851,0.0,0.0,0.0,0.0
789525713,0.00117492,-0.00125549,0.000472899,0.0,0.0,0.0,0.0
789557676,0.00128771,0.000665248,-0.00441948,0.0,0.0,0.0,0.0
789589691,-0.00269633,-0.00138544,0.0169816,0.0,0.0,0.0,0.0
789617693,-0.000545833,-0.000378645,-0.00996099,0.0,0.0,0.0,0.0
789650484,0.00207734,-0.00139074,-0.037569,0.0,0.0,0.0,0.0
789682481,-0.00121003,0.000580424,0.0218705,0.0,0.0,0.0,0.0
789714494,-0.00608699,-0.00299119,0.0587129,0.0,0.0,0.0,0.0
789746485,0.0132463,-0.000238554,-0.0701927,0.0,0.0,0.0,0.0
789778487,-0.0174203,-0.000788345,0.000304381,0.0,0.0,0.0,0.0
789810509,0.0123693,0.000241682,0.0360217,0.0,0.0,0.0,0.0
789838497,-0.000707094,-0.000228481,-0.0209231,0.0,0.0,0.0,0.0
789870503,-0.00348246,-0.00160717,0.0237098,0.0,0.0,0.0,0.0
789902484,0.00115594,-0.000635987,-0.0157169,0.0,0.0,0.0,0.0
789934483,0.000453306,0.00231714,-0.0326504,0.0,0.0,0.0,0.0
789966500,-0.00691754,-0.000334841,0.0544042,0.0,0.0,0.0,0.0
789998485,0.0147094,0.00192889,-0.0362792,0.0,0.0,0.0,0.0
790030493,-0.0193436,-0.00111496,0.0223896,0.0,0.0,0.0,0.0
790062512,0.0189207,-8.14045e-05,-0.0124635,0.0,0.0,0.0,0.0
790090489,-0.00549437,0.0017501,-0.0214037,0.0,0.0,0.0,0.0
790122483,0.00251447,-0.00256915,0.0359238,0.0,0.0,0.0,0.0
790155301,0.00120694,0.000665534,-0.0232812,0.0,0.0,0.0,0.0
790187318,-0.0030223,-0.00052121,0.00962911,0.0,0.0,0.0,0.0
790219297,0.00363964,0.000915701,-0.00309184,0.0,0.0,0.0,0.0
