timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
788379796,0.00027131,-0.000699772,-2.95943e-05,4000,0,0.00428401,0.0325261,-9.88034,4000
788383796,-0.000580481,0.000369608,0.000484556,4000,0,-0.0319445,0.0192626,-9.87321,4000
788387796,-0.000903189,0.000595097,0.00122531,4000,0,-0.00116639,0.0177405,-9.87779,4000
788391812,-0.00100452,0.000365284,5.70244e-05,4016,0,-0.0053152,0.016844,-9.87497,4016
788395801,-0.000148887,-0.000282175,-0.00078508,3989,0,-0.0119626,0.00551848,-9.89092,3989
788399796,0.000166583,0.000998036,-0.000372605,3995,0,0.0133241,0.00969114,-9.8729,3995
788403796,-0.000151464,-0.000923132,-0.000772765,4000,0,-0.017058,0.0184301,-9.86275,4000
788407796,-0.000366977,0.000900919,0.000368668,4000,0,-0.00251847,0.0172415,-9.87821,4000
788411796,0.000271109,-0.00016102,6.93481e-05,4000,0,-0.00469212,0.0103138,-9.89462,4000
788415797,-0.000155942,0.00143582,0.000471042,4001,0,0.00104147,0.0256595,-9.85901,4001
788419796,5.68775e-05,-0.000160292,0.000494345,3999,0,-0.0111972,0.0520009,-9.85612,3999
788423796,-0.000157488,0.00123029,0.00100598,4000,0,-0.00627645,0.0469759,-9.8395,4000
788427796,-0.000263161,0.000167639,0.00102065,4000,0,-0.0134758,0.0433599,-9.85692,4000
788431796,-0.000156961,-4.95257e-05,0.00081122,4000,0,-0.0156416,0.037786,-9.88049,4000
788435796,-0.00164563,0.000265323,0.00048229,4000,0,-0.0373938,0.0407083,-9.87683,4000
788439796,-0.0017529,0.000374748,0.00069338,4000,0,-0.0297362,0.0193591,-9.86469,4000
788443808,-0.000471407,-0.000277288,-0.000252174,4012,0,-0.0293152,0.0261444,-9.85912,4012
788447796,-0.00111157,0.000672555,-0.00090452,3988,0,0.0046864,0.0270496,-9.86091,3988
788451796,-0.000261374,-0.000483938,0.000178414,4000,0,0.017371,0.0145264,-9.86824,4000
788455796,-0.000685418,0.000998879,-0.000268804,4000,0,0.00104958,0.0117552,-9.86117,4000
788459797,-0.0014306,-0.000382151,-0.000146392,4001,0,-0.00486667,0.031463,-9.85392,4001
788463796,-0.000259519,0.000361489,-0.000259328,3999,0,-0.00575314,0.017998,-9.8594,3999
788467798,-0.000792723,0.00036757,0.000164859,4002,0,-0.0291985,0.0204393,-9.88973,4002
788471796,5.72637e-05,4.93792e-05,0.000278008,3998,0,-0.0237338,0.0159867,-9.89957,3998
788475796,-0.000898667,-6.29443e-05,-0.000149134,4000,0,-0.0179395,0.00968402,-9.87207,4000
788479796,-0.00110961,0.00120811,-0.000593164,4000,0,-0.0107529,-0.000581809,-9.85442,4000
788483796,-0.00121669,0.00120784,-0.000593924,4000,0,-0.0184401,0.00847479,-9.85647,4000
788487808,-0.00100363,0.00130992,-0.00080661,4012,0,-0.00530076,0.0198008,-9.86936,4012
788491796,-0.00174965,0.000574971,-0.000267982,3988,0,-0.0138341,0.0293591,-9.86715,3988
788495796,-4.80326e-05,-0.000379165,7.12211e-05,4000,0,-0.0016538,0.0245989,-9.86609,4000
788499796,-0.000154306,-6.01955e-05,6.64808e-05,4000,0,0.00153163,-0.00128459,-9.86996,4000
788503796,-0.00100708,0.00079738,0.000476926,4000,0,0.0115047,0.0388207,-9.87474,4000
788507796,0.000589064,-0.00016032,0.000496015,4000,0,-0.00299575,0.0379207,-9.871,4000
788511796,0.000275098,0.00077933,-0.000794477,4000,0,0.00104371,0.0327387,-9.86479,4000
788515797,6.04673e-05,0.00173992,-0.00059686,4001,0,-0.0305486,-0.00828885,-9.89216,4001
788519796,-0.000376272,0.00133852,0.000897378,3999,0,-0.0152724,-0.00433758,-9.88318,3999
788523796,-0.000579997,-0.000166208,6.65396e-05,4000,0,-0.0143573,0.00555843,-9.85972,4000
788527796,-0.00015122,-0.000605538,-0.000883824,4000,0,-0.0233935,0.0241117,-9.86662,4000
788531796,0.000374117,0.00101923,0.00111693,4000,0,-0.0410166,0.0282931,-9.87571,4000
788535796,-0.00036762,0.00239054,0.000243818,4000,0,-0.0265982,0.031916,-9.85588,4000
788539796,0.000275149,0.00141366,-0.00112382,4000,0,-0.00304399,0.0247239,-9.85759,4000
788543796,-0.000789127,-6.3576e-05,-0.000362684,4000,0,-0.00761698,-0.0127595,-9.83916,4000
788547796,-0.000899008,0.000363942,-4.86087e-05,4000,0,0.0196767,0.0473283,-9.88144,4000
788551796,-0.00100608,0.00175043,0.000144277,4000,0,-0.0713142,0.0544319,-9.88752,4000
788555796,0.0003802,0.000142622,-0.000679478,4000,0,-0.0243425,0.00705785,-9.85553,4000
788559796,0.000168841,0.000987488,-0.00111815,4000,0,0.0418287,0.0394064,-9.86709,4000
788563797,-0.000895474,0.000561896,-0.00111573,4001,0,-0.0129452,0.0254603,-9.87322,4001
788567796,-0.00131787,0.000442199,-0.00207347,3999,0,-0.0251801,0.0125633,-9.87166,3999
788572596,3.34603e-05,0.000943598,-0.00130713,4800,0,-0.000219918,0.0193349,-9.85126,4800
788576598,-4.20985e-05,0.00225584,-0.00177535,4002,0,-0.105838,-0.0210602,-9.84974,4002
788580596,-0.000362346,0.00183564,-0.00134439,3998,0,0.0133677,0.111852,-9.88851,3998
788584604,-0.000787618,-0.000178474,-0.000786093,4008,0,0.067507,-0.0776984,-9.85027,4008
788588596,-0.000472002,0.000241366,-0.00121641,3992,0,0.328644,0.00793704,-9.84182,3992
788592597,-0.000683143,0.000139171,-0.000900738,4001,0,-0.142127,0.0867391,-10.0027,4001
788596597,-0.000894826,0.00130685,-0.0011264,4000,0,-0.0585096,-0.00809898,-9.91303,4000
788600601,-0.000359955,0.00150507,-0.00219159,4004,0,0.0989696,0.0227405,-9.75943,4004
788604596,0.000169554,0.000877009,-0.00132878,3995,0,0.0175474,0.0221203,-9.80281,3995
788608603,-0.000785049,-0.000615649,-0.00163059,4007,0,-0.132226,0.0280107,-9.99865,4007
788612596,0.00132273,-0.000480728,0.000390017,3993,0,-0.358725,0.113606,-9.87117,3993
