timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
789971968,231.34,37.63,98577.0,1.17126
789983954,231.512,37.63,98575.0,1.17123
790005095,231.087,37.63,98580.0,1.17129
790016292,231.171,37.63,98579.0,1.17128
790025905,231.597,37.63,98574.0,1.17122
790045901,231.597,37.63,98574.0,1.17122
790057602,231.34,37.63,98577.0,1.17126
790069087,231.428,37.63,98576.0,1.17125
790089911,231.428,37.64,98576.0,1.17125
790101099,231.087,37.64,98580.0,1.17129
790111974,231.256,37.64,98578.0,1.17127
790136132,230.999,37.64,98581.0,1.17131
790148847,231.34,37.64,98577.0,1.17126
790160478,231.428,37.64,98576.0,1.17125
790184457,231.256,37.63,98578.0,1.17127
790194467,231.34,37.63,98577.0,1.17126
790204129,231.34,37.63,98577.0,1.17126
790226964,231.171,37.63,98579.0,1.17128
790237591,231.428,37.63,98576.0,1.17125
790249079,231.171,37.63,98579.0,1.17128
790271518,231.512,37.63,98575.0,1.17123
790282459,231.681,37.63,98573.0,1.17121
790293082,231.428,37.63,98576.0,1.17125
790314966,231.256,37.63,98578.0,1.17127
790325600,231.171,37.63,98579.0,1.17128
790336478,231.256,37.63,98578.0,1.17127
790358979,231.171,37.63,98579.0,1.17128
790369647,231.256,37.63,98578.0,1.17127
790381111,231.171,37.63,98579.0,1.17128
790402979,231.34,37.64,98577.0,1.17126
790413596,231.597,37.64,98574.0,1.17122
790425081,231.428,37.64,98576.0,1.17125
790446981,231.171,37.64,98579.0,1.17128
790458527,231.512,37.64,98575.0,1.17123
790468135,231.34,37.64,98577.0,1.17126
790489901,231.171,37.64,98579.0,1.17128
790501601,231.171,37.64,98579.0,1.17128
790513095,231.256,37.64,98578.0,1.17127
790533958,231.34,37.64,98577.0,1.17126
790545595,231.597,37.64,98574.0,1.17122
790557081,231.428,37.64,98576.0,1.17125
790577907,231.171,37.64,98579.0,1.17128
790589619,231.512,37.64,98575.0,1.17123
790601116,231.087,37.64,98580.0,1.17129
790622975,231.34,37.64,98577.0,1.17126
790634527,231.85,37.64,98571.0,1.17119
790645088,231.512,37.64,98575.0,1.17123
790665901,231.171,37.63,98579.0,1.17128
790676754,231.428,37.63,98576.0,1.17125
790686967,231.34,37.63,98577.0,1.17126
790708494,231.256,37.64,98578.0,1.17127
790718530,231.087,37.64,98580.0,1.17129
790729137,231.512,37.64,98575.0,1.17123
790751156,231.597,37.64,98574.0,1.17122
790762559,231.428,37.64,98576.0,1.17125
790773085,231.681,37.64,98573.0,1.17121
790794973,231.597,37.64,98574.0,1.17122
790806459,231.171,37.64,98579.0,1.17128
790817164,231.681,37.64,98573.0,1.17121
790837909,231.512,37.64,98575.0,1.17123
790849946,231.597,37.64,98574.0,1.17122
790861111,231.597,37.64,98574.0,1.17122
790881912,231.512,37.64,98575.0,1.17123
790892547,231.256,37.64,98578.0,1.17127
790902971,231.597,37.64,98574.0,1.17122
790924505,231.512,37.64,98575.0,1.17123
790934548,231.681,37.64,98573.0,1.17121
790945201,231.428,37.64,98576.0,1.17125
790965900,231.34,37.64,98577.0,1.17126
790979168,231.087,37.64,98580.0,1.17129
790989103,231.681,37.64,98573.0,1.17121
791012549,231.171,37.64,98579.0,1.17128
791023529,231.512,37.64,98575.0,1.17123
791033901,231.34,37.64,98577.0,1.17126
791054974,231.171,37.64,98579.0,1.17128
791065948,230.915,37.64,98582.0,1.17132
791076514,230.999,37.64,98581.0,1.17131
791098664,231.428,37.64,98576.0,1.17125
791108779,231.597,37.64,98574.0,1.17122
791119955,231.512,37.64,98575.0,1.17123
791141540,231.766,37.64,98572.0,1.1712
791152459,231.428,37.64,98576.0,1.17125
791162058,231.766,37.64,98572.0,1.1712
791183945,231.256,37.65,98578.0,1.17127
791195067,231.766,37.65,98572.0,1.1712
791205539,231.256,37.65,98578.0,1.17127
791225931,231.428,37.65,98576.0,1.17125
791236522,231.766,37.65,98572.0,1.1712
791246963,231.512,37.65,98575.0,1.17123
791269911,231.34,37.65,98577.0,1.17126
791280522,231.428,37.65,98576.0,1.17125
791291174,231.766,37.65,98572.0,1.1712
791313690,231.171,37.64,98579.0,1.17128
791325933,231.766,37.64,98572.0,1.1712
791337740,231.171,37.64,98579.0,1.17128
791361932,231.428,37.65,98576.0,1.17125
791373923,231.171,37.65,98579.0,1.17128
791385757,231.087,37.65,98580.0,1.17129
791407985,231.34,37.64,98577.0,1.17126
791419529,231.597,37.64,98574.0,1.17122
791429909,231.597,37.64,98574.0,1.17122
791451169,231.428,37.64,98576.0,1.17125
791462337,231.34,37.64,98577.0,1.17126
791471959,231.597,37.64,98574.0,1.17122
791493375,231.597,37.64,98574.0,1.17122
791503585,231.512,37.64,98575.0,1.17123
791513929,231.512,37.64,98575.0,1.17123
791534965,231.766,37.64,98572.0,1.1712
791547148,231.34,37.64,98577.0,1.17126
791557905,231.428,37.64,98576.0,1.17125
791578972,231.34,37.64,98577.0,1.17126
791589958,231.766,37.64,98572.0,1.1712
791601902,232.107,37.64,98568.0,1.17115
791621907,231.34,37.64,98577.0,1.17126
791632459,231.171,37.64,98579.0,1.17128
791642055,230.999,37.64,98581.0,1.17131
791665994,231.428,37.64,98576.0,1.17125
791677564,231.34,37.64,98577.0,1.17126
791689119,231.087,37.64,98580.0,1.17129
791711184,231.512,37.64,98575.0,1.17123
791722178,231.256,37.64,98578.0,1.17127
791731955,231.766,37.64,98572.0,1.1712
791753080,231.597,37.64,98574.0,1.17122
791764466,231.85,37.64,98571.0,1.17119
791775160,231.681,37.64,98573.0,1.17121
791795980,231.256,37.64,98578.0,1.17127
791807572,230.999,37.64,98581.0,1.17131
791818675,230.83,37.64,98583.0,1.17133
791840708,231.256,37.64,98578.0,1.17127
791851211,231.256,37.64,98578.0,1.17127
791862788,231.171,37.64,98579.0,1.17128
791886885,231.256,37.64,98578.0,1.17127
791899160,231.428,37.64,98576.0,1.17125
791911178,231.597,37.64,98574.0,1.17122
791933079,231.428,37.64,98576.0,1.17125
791944666,231.681,37.64,98573.0,1.17121
791955941,231.34,37.64,98577.0,1.17126
791978385,231.428,37.64,98576.0,1.17125
791988473,231.428,37.64,98576.0,1.17125
791999156,231.597,37.64,98574.0,1.17122
792023337,231.597,37.64,98574.0,1.17122
792035175,231.428,37.64,98576.0,1.17125
792047146,231.512,37.64,98575.0,1.17123
792068969,231.428,37.64,98576.0,1.17125
792080467,231.766,37.64,98572.0,1.1712
792090372,231.428,37.64,98576.0,1.17125
792111181,231.512,37.64,98575.0,1.17123
792123165,231.85,37.64,98571.0,1.17119
792135177,231.85,37.64,98571.0,1.17119
792156966,231.512,37.64,98575.0,1.17123
792167579,231.938,37.64,98570.0,1.17117
792178520,231.85,37.64,98571.0,1.17119
792199516,231.766,37.63,98572.0,1.1712
792209649,231.512,37.63,98575.0,1.17123
792219937,231.597,37.63,98574.0,1.17122
792243318,231.34,37.64,98577.0,1.17126
792253601,231.171,37.64,98579.0,1.17128
792263954,231.681,37.64,98573.0,1.17121
792287552,231.34,37.64,98577.0,1.17126
792298950,231.85,37.64,98571.0,1.17119
792309981,232.022,37.64,98569.0,1.17116
792333080,232.532,37.64,98563.0,1.17109
792344725,231.938,37.64,98570.0,1.17117
792355946,231.85,37.64,98571.0,1.17119
