timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
785893215,785891606,1200.0,0.366756,0.11255,1.33964,0.0,255,0,6,4,0,0,0,1,1,1,36
786888873,786886668,1200.0,0.366756,0.112322,0.843904,0.0,255,0,6,4,0,0,0,1,1,1,36
787812837,787809598,1200.0,0.366756,0.112419,0.972973,0.0,255,0,6,4,0,0,0,1,1,1,36
788815874,787809598,1200.0,0.366756,0.112544,1.17026,0.0,255,0,6,4,0,0,0,1,1,1,36
788835868,788834679,1200.0,0.366756,0.112544,1.17026,0.0,255,0,6,4,0,0,0,1,1,1,36
789839734,788834679,1200.0,0.366756,0.161539,1.07693,0.0,255,0,6,4,0,0,0,1,1,1,36
789871742,789864875,1200.0,0.366756,0.161539,1.07693,0.0,255,0,6,4,0,0,0,1,1,1,36
790875710,789864875,1200.0,0.366756,0.112183,1.19827,0.0,255,0,6,4,0,0,0,1,1,1,36
790906909,790901650,1200.0,0.366756,0.112183,1.19827,0.0,255,0,6,4,0,0,0,1,1,1,36
791862931,791858500,1200.0,0.366756,0.112304,1.17174,0.0,255,0,6,4,0,0,0,1,1,1,36
792860931,792858710,1200.0,0.366756,0.112595,0.96553,0.0,255,0,6,4,0,0,0,1,1,1,36
793862444,792858710,1200.0,0.366756,0.112104,1.17858,0.0,255,0,6,4,0,0,0,1,1,1,36
793962050,793958553,1200.0,0.366756,0.112104,1.17858,0.0,255,0,6,4,0,0,0,1,1,1,36
794917887,794912838,1200.0,0.366756,0.135736,0.923206,0.0,255,0,6,4,0,0,0,1,1,1,36
795834824,795827619,1200.0,0.366756,0.112446,0.901555,0.0,255,0,6,4,0,0,0,1,1,1,36
796838941,795827619,1200.0,0.366756,0.112213,1.2979,0.0,255,0,6,4,0,0,0,1,1,1,36
796868827,796867652,1200.0,0.366756,0.112213,1.2979,0.0,255,0,6,4,0,0,0,1,1,1,36
797832832,797829682,1200.0,0.366756,0.112536,0.808666,0.0,255,0,6,4,0,0,0,1,1,1,36
798825784,798825363,1200.0,0.366756,0.112361,0.930706,0.0,255,0,6,4,0,0,0,1,1,1,36
799825879,798825363,1200.0,0.366756,0.138291,1.19189,0.0,255,0,6,4,0,0,0,1,1,1,36
799965714,799959660,1200.0,0.366756,0.138291,1.19189,0.0,255,0,6,4,0,0,0,1,1,1,36
800864855,800856889,1200.0,0.366756,0.135189,0.934394,0.0,255,0,6,4,0,0,0,1,1,1,36
801806765,801798726,1200.0,0.366756,0.111881,1.56237,0.0,255,0,6,4,0,0,0,1,1,1,36
802812089,801798726,1200.0,0.366756,0.112656,0.859375,0.0,255,0,6,4,0,0,0,1,1,1,36
802912831,802904827,1200.0,0.366756,0.112656,0.859375,0.0,255,0,6,4,0,0,0,1,1,1,36
803879711,803873717,1200.0,0.366756,0.112444,1.00404,0.0,255,0,6,4,0,0,0,1,1,1,36
804806909,804800680,1200.0,0.366756,0.112326,1.05865,0.0,255,0,6,4,0,0,0,1,1,1,36
805813167,804800680,1200.0,0.366756,0.134916,0.96128,0.0,255,0,6,4,0,0,0,1,1,1,36
805936531,805933647,1200.0,0.366756,0.134916,0.96128,0.0,255,0,6,4,0,0,0,1,1,1,36
806825776,806817708,1200.0,0.366756,0.112102,0.855149,0.0,255,0,6,4,0,0,0,1,1,1,36
807833093,806817708,1200.0,0.366756,0.0899086,1.33464,0.0,255,0,6,4,0,0,0,1,1,1,36
807914364,807913918,1200.0,0.366756,0.0899086,1.33464,0.0,255,0,6,4,0,0,0,1,1,1,36
808842456,808841993,1200.0,0.366756,0.135967,0.865787,0.0,255,0,6,4,0,0,0,1,1,1,36
809805711,809804672,1200.0,0.366756,0.137782,1.21724,0.0,255,0,6,4,0,0,0,1,1,1,36
810813143,809804672,1200.0,0.366756,0.135748,1.13689,0.0,255,0,6,4,0,0,0,1,1,1,36
810913069,810905685,1200.0,0.366756,0.135748,1.13689,0.0,255,0,6,4,0,0,0,1,1,1,36
811913134,811910516,1200.0,0.366756,0.112208,0.928447,0.0,255,0,6,4,0,0,0,1,1,1,36
812826859,812826698,1200.0,0.366756,0.0892858,1.29663,0.0,255,0,6,4,0,0,0,1,1,1,36
813829729,812826698,1200.0,0.366756,0.13515,0.845684,0.0,255,0,6,4,0,0,0,1,1,1,36
