timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
792101785,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.20327,1,0,0,0,0,0
792202547,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.204048,1,0,0,0,0,0
792302546,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.203366,1,0,0,0,0,0
792406526,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.201112,1,0,0,0,0,0
792506522,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.200104,1,0,0,0,0,0
792610544,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.200123,1,0,0,0,0,0
792710556,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.200123,1,0,0,0,0,0
792811357,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.200123,1,0,0,0,0,0
792911471,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.200123,1,0,0,0,0,0
793015346,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.202762,1,0,0,0,0,0
793115358,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.206235,1,0,0,0,0,0
793219367,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.232725,1,0,0,0,0,0
793320155,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.234479,1,0,0,0,0,0
793420148,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.234479,1,0,0,0,0,0
793524156,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.234479,1,0,0,0,0,0
793624264,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.232523,1,0,0,0,0,0
793724930,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.232515,1,0,0,0,0,0
793824939,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.232515,1,0,0,0,0,0
793928949,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.23146,1,0,0,0,0,0
794028931,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.231534,1,0,0,0,0,0
794132948,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.231534,1,0,0,0,0,0
794232940,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.231534,1,0,0,0,0,0
794333740,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.231534,1,0,0,0,0,0
794433753,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.236521,1,0,0,0,0,0
794537785,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.239575,1,0,0,0,0,0
794637737,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.254928,1,0,0,0,0,0
794738540,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.267296,1,0,0,0,0,0
794842536,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.267852,1,0,0,0,0,0
794942530,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.26589,1,0,0,0,0,0
795046538,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.272754,1,0,0,0,0,0
795146532,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.272761,1,0,0,0,0,0
795247343,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.280877,1,0,0,0,0,0
795351388,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.299208,1,0,0,0,0,0
795451388,0.0,-0.0,0.872505,0.0,0.906342,0.0,0.0,0.422546,0.0,0.0,-0.299264,1,0,0,0,0,0
