timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
787963682,0.139192,0.00135393,0.0831307
845115510,0.152388,0.00111334,0.0821673
845318876,0.208896,0.00161915,0.0852382
845524435,0.159951,0.00119009,0.0874281
845723973,0.163273,0.00218674,0.0840501
845928497,0.14187,0.0010544,0.0861019
