timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
1973147421,inf,1,0,0,0
1974161041,inf,1,0,0,0
1975165030,inf,1,0,0,0
1976171246,inf,1,0,0,0
1977173095,inf,1,0,0,0
1977425090,inf,0,0,1,0
1978426091,inf,0,0,1,0
1978992651,inf,0,0,0,0
1979997032,inf,0,0,0,0
1980998147,inf,0,0,0,0
1982013127,inf,0,0,0,0
1983017048,inf,0,0,0,0
1984021038,inf,0,0,0,0
1985024283,inf,0,0,0,0
1986031970,inf,0,0,0,0
1987034111,inf,0,0,0,0
1988052037,inf,0,0,0,0
1989057043,inf,0,0,0,0
1990064922,inf,0,0,0,0
1991071036,inf,0,0,0,0
1992071052,inf,0,0,0,0
1993073765,inf,0,0,0,0
1994092599,inf,0,0,0,0
1995096773,inf,0,0,0,0
1996098132,inf,0,0,0,0
1997114590,inf,0,0,0,0
1998130237,inf,0,0,0,0
1999135038,inf,0,0,0,0
2000152855,inf,0,0,0,0
2001173045,inf,0,0,0,0
2002179052,inf,0,0,0,0
2003186102,inf,0,0,0,0
2004191051,inf,0,0,0,0
2005203031,inf,0,0,0,0
2006221309,inf,0,0,0,0
2007222101,inf,0,0,0,0
2008226111,inf,0,0,0,0
2009227059,inf,0,0,0,0
2010235027,inf,0,0,0,0
2011241475,inf,0,0,0,0
2012242099,inf,0,0,0,0
2013243450,inf,0,0,0,0
2014244028,inf,0,0,0,0
2015244051,inf,0,0,0,0
2016249562,inf,0,0,0,0
2017267028,inf,0,0,0,0
2018285029,inf,0,0,0,0
2019303038,inf,0,0,0,0
2020303085,inf,0,0,0,0
2021320027,inf,0,0,0,0
2022338451,inf,0,0,0,0
2023356037,inf,0,0,0,0
2024373048,inf,0,0,0,0
2025375100,inf,0,0,0,0
2026392051,inf,0,0,0,0
2027409029,inf,0,0,0,0
2028429122,inf,0,0,0,0
2029447132,inf,0,0,0,0
2030464050,inf,0,0,0,0
2031464266,inf,0,0,0,0
2032478276,inf,0,0,0,0
2033480476,inf,0,0,0,0
2034497027,inf,0,0,0,0
2035513980,inf,0,0,0,0
2036519987,inf,0,0,0,0
2037527925,inf,0,0,0,0
2038532003,inf,0,0,0,0
2039538112,inf,0,0,0,0
2040545088,inf,0,0,0,0
2041547744,inf,0,0,0,0
2042553033,inf,0,0,0,0
2043570115,inf,0,0,0,0
2044586207,inf,0,0,0,0
2045607048,inf,0,0,0,0
2046608693,inf,0,0,0,0
2047623031,inf,0,0,0,0
2048624954,inf,0,0,0,0
2049629061,inf,0,0,0,0
2050631053,inf,0,0,0,0
2051650357,inf,0,0,0,0
2052670226,inf,0,0,0,0
2053690137,inf,0,0,0,0
2054710100,inf,0,0,0,0
2055730106,inf,0,0,0,0
2056750118,inf,0,0,0,0
2057751050,inf,0,0,0,0
2058753574,inf,0,0,0,0
2059771168,inf,0,0,0,0
2060771878,inf,0,0,0,0
2061790257,inf,0,0,0,0
2062802328,inf,0,0,0,0
2063822138,inf,0,0,0,0
2064838167,inf,0,0,0,0
2065857032,inf,0,0,0,0
2066873059,inf,0,0,0,0
2067894287,inf,0,0,0,0
2068909039,inf,0,0,0,0
2069928049,inf,0,0,0,0
2070928053,inf,0,0,0,0
2071930272,inf,0,0,0,0
2072936249,inf,0,0,0,0
2073949090,inf,0,0,0,0
2074954083,inf,0,0,0,0
2075956038,inf,0,0,0,0
2076961531,inf,0,0,0,0
2077966080,inf,0,0,0,0
2078971455,inf,0,0,0,0
2079990214,inf,0,0,0,0
2081007030,inf,0,0,0,0
2082025826,inf,0,0,0,0
2083027132,inf,0,0,0,0
2084033028,inf,0,0,0,0
2085035422,inf,0,0,0,0
2086038100,inf,0,0,0,0
2087043027,inf,0,0,0,0
2088061314,inf,0,0,0,0
2089063089,inf,0,0,0,0
2090066214,inf,0,0,0,0
2091075387,inf,0,0,0,0
2092093085,inf,0,0,0,0
2093114319,inf,0,0,0,0
2094132505,inf,0,0,0,0
2095152050,inf,0,0,0,0
2096172485,inf,0,0,0,0
2097178296,inf,0,0,0,0
2098178360,inf,0,0,0,0
2099180772,inf,0,0,0,0
2100196600,inf,0,0,0,0
2101201047,inf,0,0,0,0
2102204028,inf,0,0,0,0
2103204040,inf,0,0,0,0
2104217056,inf,0,0,0,0
2105219149,inf,0,0,0,0
2106220635,inf,0,0,0,0
2107239088,inf,0,0,0,0
2108259029,inf,0,0,0,0
2109279031,inf,0,0,0,0
2110279087,inf,0,0,0,0
2111294198,inf,0,0,0,0
2112314117,inf,0,0,0,0
2113314413,inf,0,0,0,0
2114333653,inf,0,0,0,0
2115354136,inf,0,0,0,0
2116354335,inf,0,0,0,0
2116896162,inf,0,0,1,0
2117187028,inf,0,0,0,1
2117291156,inf,0,0,0,0
2118312039,inf,0,0,0,0
2118747025,inf,0,0,0,1
2119079046,inf,1,0,0,0
