timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1981247164,40.8102290671,-77.8706486679,344.234,-0.0,-0.144596,0.124072,-0.876294,-0.466544,4.32253,5.04939,0.0,2,0,0,0
1981451396,40.8102293693,-77.8706486574,344.335,-0.0,-0.15327,0.119561,-0.842673,-0.461999,4.33793,5.05407,0.0,2,0,0,0
1981651537,40.8102293372,-77.8706485345,344.459,-0.0,-0.171779,0.114301,-0.896468,-0.457382,4.35576,5.05911,0.0,2,0,0,0
1981851428,40.8102290438,-77.8706483631,344.48,-0.0,-0.17088,0.116865,-0.942688,-0.452922,4.37474,5.05181,0.0,2,0,0,0
1982055167,40.8102287578,-77.8706482948,344.508,-0.0,-0.157803,0.090805,-0.861791,-0.448646,4.37727,5.0569,0.0,2,0,0,0
1982259179,40.8102285959,-77.8706482318,344.601,-0.0,-0.151883,0.0845872,-0.765552,-0.445469,4.42218,5.04982,0.0,2,0,0,0
1982463161,40.8102284599,-77.8706481601,344.748,-0.0,-0.176393,0.0769384,-0.663867,-0.444522,4.42352,5.05479,0.0,2,0,0,0
1982663171,40.8102281114,-77.8706477448,344.869,-0.0,-0.198255,0.0917913,-0.571919,-0.443376,4.42205,5.05963,0.0,2,0,0,0
1982863186,40.8102281368,-77.8706460089,344.938,-0.0,-0.169456,0.125649,-0.493486,-0.443655,4.43309,5.05216,0.0,2,0,0,0
1983067192,40.8102291181,-77.870644382,344.993,-0.0,-0.103961,0.142963,-0.388705,-0.445681,4.44633,5.05704,0.0,2,0,0,0
1983271396,40.8102307537,-77.8706433868,345.042,-0.0,-0.0091935,0.13929,-0.290019,-0.448745,4.46421,5.05006,0.0,2,0,0,0
1983475195,40.8102326489,-77.870642995,345.086,-0.0,0.0701876,0.122663,-0.206613,-0.450581,4.47728,5.0548,0.0,2,0,0,0
1983675161,40.8102348702,-77.8706428677,345.113,-0.0,0.136931,0.113705,-0.12334,-0.452528,4.49249,5.0599,0.0,2,0,0,0
1983879166,40.8102374287,-77.870642993,345.09,-0.0,0.170237,0.0929611,-0.0630391,-0.452634,4.50781,5.05256,0.0,2,0,0,0
1984083179,40.8102402472,-77.8706433032,345.059,-0.0,0.213588,0.116727,-0.00797659,-0.452003,4.5192,5.05747,0.0,2,0,0,0
1984287248,40.8102434571,-77.8706439512,345.022,-0.0,0.269921,0.132495,0.0515095,-0.450178,4.52889,5.05034,0.0,2,0,0,0
1984487210,40.8102465388,-77.8706448002,344.936,-0.0,0.323118,0.139131,0.102317,-0.44653,4.53942,5.0551,0.0,2,0,0,0
1984691207,40.8102497161,-77.8706454885,344.874,-0.0,0.372175,0.140409,0.138686,-0.443459,4.54921,5.0602,0.0,2,0,0,0
1984895164,40.8102527049,-77.8706458297,344.817,-0.0,0.396041,0.133502,0.148484,-0.441507,4.55829,5.05277,0.0,2,0,0,0
1985095198,40.810255335,-77.8706459749,344.774,-0.0,0.424514,0.119766,0.0704349,-0.441803,4.56465,5.05767,0.0,2,0,0,0
1985295230,40.8102576017,-77.8706463091,344.765,-0.0,0.433378,0.112073,-0.0852456,-0.443228,4.5462,5.05005,0.0,2,0,0,0
1985499210,40.8102593884,-77.8706469668,344.723,-0.0,0.459971,0.0969013,-0.0408296,-0.445131,4.55293,5.05475,0.0,2,0,0,0
1985703179,40.8102612034,-77.8706477209,344.7,-0.0,0.46787,0.0857295,0.030241,-0.44497,4.55186,5.05987,0.0,2,0,0,0
1985907159,40.8102627787,-77.8706488311,344.658,-0.0,0.472921,0.0640188,0.0668404,-0.444824,4.55038,5.05227,0.0,2,0,0,0
1986107189,40.8102643723,-77.8706501117,344.625,-0.0,0.458737,0.0512781,0.126799,-0.446496,4.54273,5.05694,0.0,2,0,0,0
1986311169,40.8102659175,-77.8706513748,344.594,-0.0,0.450395,0.0294848,0.181037,-0.465873,4.55165,5.04993,0.0,2,0,0,0
1986515266,40.810266926,-77.8706523908,344.558,-0.0,0.417047,0.0196845,0.21549,-0.51119,4.54502,5.05446,0.0,2,0,0,0
1986719214,40.810268093,-77.8706540291,344.518,-0.0,0.385203,-0.0132999,0.220476,-1.04407,4.54441,5.05955,0.0,2,0,0,0
1986919217,40.8102700191,-77.8706557759,344.463,-0.0,0.394813,-0.0404932,0.213398,-1.1291,4.55345,5.0521,0.0,2,0,0,0
1987119207,40.8102721497,-77.8706565469,344.409,-0.0,0.444403,-0.0391559,0.205274,-1.22543,4.56044,5.05696,0.0,2,0,0,0
1987323220,40.8102745101,-77.8706572589,344.358,-0.0,0.477825,-0.0404479,0.225727,-1.32958,4.55813,5.04964,0.0,2,0,0,0
1987527492,40.8102764789,-77.870658184,344.297,-0.0,0.493837,-0.0464741,0.243345,-1.43705,4.55602,5.05439,0.0,2,0,0,0
1987731468,40.8102775283,-77.8706588765,344.237,-0.0,0.488978,-0.0539603,0.26613,-1.54519,4.55738,5.05933,0.0,2,0,0,0
1987931427,40.810278025,-77.8706592951,344.166,-0.0,0.477674,-0.0763356,0.27155,-1.64555,4.55992,5.05189,0.0,2,0,0,0
1988135168,40.810278285,-77.8706591936,344.097,-0.0,0.470617,-0.0742364,0.246453,-1.71765,4.56281,5.05689,0.0,2,0,0,0
1988335322,40.810278417,-77.8706583714,344.051,-0.0,0.46071,-0.0542009,0.113929,-1.76171,4.56235,5.04964,0.0,2,0,0,0
1988539429,40.8102784809,-77.8706571258,344.006,-0.0,0.449282,-0.0209857,-0.0117903,-1.77857,4.56346,5.0543,0.0,2,0,0,0
1988739173,40.8102783329,-77.8706556199,344.008,-0.0,0.431839,0.0171803,-0.15754,-1.76276,4.56231,5.05926,0.0,2,0,0,0
1988943167,40.8102780991,-77.8706536254,344.054,-0.0,0.418986,0.0603854,-0.255944,-1.72039,4.55809,5.05189,0.0,2,0,0,0
1989147173,40.8102781192,-77.8706514505,344.105,-0.0,0.424725,0.0923209,-0.195697,-1.65414,4.54911,5.05655,0.0,2,0,0,0
1989351434,40.8102781468,-77.8706488296,344.134,-0.0,0.407987,0.0925474,-0.101266,-1.57546,4.53695,5.04939,0.0,2,0,0,0
1989551351,40.8102781294,-77.8706464585,344.13,-0.0,0.396137,0.0908368,-0.00546962,-1.49219,4.52479,5.05383,0.0,2,0,0,0
1989755225,40.8102780339,-77.8706445368,344.122,-0.0,0.37906,0.0908854,0.0824677,-1.4046,4.51569,5.05861,0.0,2,0,0,0
1989959225,40.810277761,-77.8706425614,344.127,-0.0,0.3519,0.0943542,0.142213,-1.31797,4.5077,5.05134,0.0,2,0,0,0
1990163187,40.810277263,-77.8706408065,344.127,-0.0,0.325809,0.0930905,0.202276,-1.23334,4.5001,5.056,0.0,2,0,0,0
1990363209,40.8102765489,-77.8706394259,344.114,-0.0,0.298577,0.097608,0.244368,-1.15293,4.49332,5.04892,0.0,2,0,0,0
1990567204,40.810275582,-77.8706383357,344.144,-0.0,0.295464,0.0446605,0.146393,-1.0925,4.48777,5.05366,0.0,2,0,0,0
