timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
54937960,-0.0325476,-0.0238927,0.0433764,0.0,0.999565,-0.0160091,-0.0122946,0.0214877,0.0,-1.0,1,0,0,0,0,0,0
55038553,-0.0325462,-0.0238927,0.0432417,0.0,0.999567,-0.0160092,-0.0122935,0.0214204,0.0,-1.0,1,0,0,0,0,0,0
55138067,-0.0325462,-0.0238927,0.0430645,0.0,0.999569,-0.0160103,-0.0122921,0.0213319,0.0,-1.0,1,0,0,0,0,0,0
55238321,-0.0325462,-0.0238927,0.0428749,0.0,0.999571,-0.0160115,-0.0122905,0.0212371,0.0,-1.0,1,0,0,0,0,0,0
55342529,-0.0325462,-0.0238927,0.0425975,0.0,0.999574,-0.0160132,-0.0122883,0.0210985,0.0,-1.0,1,0,0,0,0,0,0
55441961,-0.0325462,-0.0238927,0.042331,0.0,0.999576,-0.0160148,-0.0122862,0.0209653,0.0,-1.0,1,0,0,0,0,0,0
55543874,-0.0325462,-0.0238927,0.0421811,0.0,0.999578,-0.0160157,-0.012285,0.0208903,0.0,-1.0,1,0,0,0,0,0,0
55647097,-0.0325462,-0.0238927,0.0421511,0.0,0.999578,-0.0160159,-0.0122847,0.0208753,0.0,-1.0,1,0,0,0,0,0,0
55746791,-0.0325462,-0.0238927,0.0421601,0.0,0.999578,-0.0160159,-0.0122848,0.0208799,0.0,-1.0,1,0,0,0,0,0,0
55847356,-0.0325462,-0.0238927,0.0421222,0.0,0.999579,-0.0160161,-0.0122845,0.0208609,0.0,-1.0,1,0,0,0,0,0,0
55951286,-0.0325462,-0.0238927,0.0419971,0.0,0.99958,-0.0160169,-0.0122835,0.0207984,0.0,-1.0,1,0,0,0,0,0,0
56050779,-0.0309553,-0.0238931,0.0417123,0.0,0.999595,-0.0152234,-0.012265,0.0206658,0.0,-1.0,1,0,0,0,0,0,0
56154880,-0.0317924,-0.0238929,0.041465,0.0,0.999591,-0.0156434,-0.0122716,0.0205371,0.0,-1.0,1,0,0,0,0,0,0
56255337,-0.0310684,-0.0238931,0.0413296,0.0,0.999598,-0.0152823,-0.0122632,0.0204738,0.0,-1.0,1,0,0,0,0,0,0
56355099,-0.032657,-0.0238927,0.0413197,0.0,0.999586,-0.0160764,-0.0122792,0.0204591,0.0,-1.0,1,0,0,0,0,0,0
56458944,-0.0313102,-0.023893,0.041328,0.0,0.999597,-0.0154032,-0.0122657,0.0204716,0.0632166,-1.0,1,0,0,0,0,0,0
56559109,-0.0318606,-0.0238929,0.0412996,-9.18118e-16,0.999593,-0.0156785,-0.012271,0.020454,0.122491,-1.0,1,0,0,0,0,0,0
56658868,-0.0325397,-0.0238927,0.0413077,1.888e-17,0.999587,-0.0160178,-0.0122779,0.0204539,0.138287,-1.0,1,0,0,0,0,0,0
56762761,-0.0325442,-0.0238927,0.0413078,5.73041e-19,0.999587,-0.0160201,-0.012278,0.0204539,0.14213,-1.0,1,0,0,0,0,0,0
56863138,-0.0325462,-0.0238927,0.0413078,1.08e-20,0.999587,-0.0160211,-0.012278,0.0204539,0.173186,-1.0,1,0,0,0,0,0,0
56962786,-0.0325462,-0.0238927,0.0413078,-1.11387e-22,0.999587,-0.0160211,-0.012278,0.0204539,0.176943,-1.0,1,0,0,0,0,0,0
57066898,-0.0325462,-0.0238927,0.0413078,-5.33107e-24,0.999587,-0.0160211,-0.012278,0.0204539,0.171199,-1.0,1,0,0,0,0,0,0
57167261,-0.0325462,-0.0238927,0.0413078,-1.45366e-25,0.999587,-0.0160211,-0.012278,0.0204539,0.171118,-1.0,1,0,0,0,0,0,0
57271281,-0.0324983,-0.0238927,0.0413072,8.0212e-29,0.999587,-0.0159971,-0.0122775,0.0204539,0.171085,-1.0,1,0,0,0,0,0,0
57370777,-0.0325434,-0.0238927,0.0413078,4.41231e-29,0.999587,-0.0160197,-0.012278,0.0204539,0.171333,-1.0,1,0,0,0,0,0,0
57471170,-0.0325461,-0.0238927,0.0413078,2.18655e-30,0.999587,-0.016021,-0.012278,0.0204539,0.172313,-1.0,1,0,0,0,0,0,0
