timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
54937742,0.999485,-0.0195294,-0.0144112,0.0210099,0.00634167,0.000287588,0.00178888,0.00707716,-0.000118797,-0.344717,-1.56346e-05,5.06143e-06,-3.06996e-06,2.17141e-05,-3.38964e-05,0.000787577,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,8.8435e-11,1.45627e-05,0.000125297,1.37677e-07,0.000103516,0.000103453,0.000100711,0.014052,0.0140675,0.0376559,0.0415841,0.0415984,0.77635,1.57511e-11,1.58428e-11,1.79787e-10,2.44915e-06,2.44769e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.288414,0.881107,0.0162922,0.0,0.000133577,0.0278346,0.0,0.0,0.0,-0.00034,688,0,0,165,0,0,0,0
55137758,0.999488,-0.0195266,-0.0144503,0.0208109,0.00732805,0.000109128,0.00236793,0.00724315,-7.60785e-05,-0.344277,-1.56275e-05,5.04384e-06,-2.79518e-06,2.17603e-05,-3.39038e-05,0.000787405,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,9.112e-11,1.50926e-05,0.00012459,1.37119e-07,0.000103546,0.000103482,9.96005e-05,0.0142795,0.0142956,0.0393091,0.0427784,0.0427938,0.834765,1.56102e-11,1.56987e-11,1.74806e-10,2.44913e-06,2.44767e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.292527,0.913655,0.0133755,0.0,0.000137239,0.0278346,0.0,0.0,0.0,-0.000324,176,0,0,165,0,0,0,0
55341837,0.999496,-0.0195214,-0.0144224,0.0204725,0.00692315,0.000189117,0.0047488,0.00648795,-3.77192e-05,-0.326732,-1.56164e-05,5.01351e-06,-2.36442e-06,2.1797e-05,-3.38685e-05,0.000785305,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,9.83591e-11,1.49279e-05,0.000125299,1.36365e-07,0.00010341,0.000103347,9.86297e-05,0.0130933,0.0131079,0.0358357,0.0376841,0.0376964,0.736503,1.52494e-11,1.53357e-11,1.70025e-10,2.44909e-06,2.44763e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.274555,0.858197,0.00727985,0.0,0.000134424,0.00847616,0.0,0.0,0.0,-0.000245,176,0,0,165,0,0,0,0
55542696,0.999495,-0.0195081,-0.0144103,0.0205453,0.00669595,0.000774922,0.00492777,0.00674747,4.34608e-05,-0.325806,-1.56176e-05,5.00839e-06,-2.40293e-06,2.18579e-05,-3.38671e-05,0.000785323,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,9.23296e-11,1.47652e-05,0.000282891,1.35578e-07,0.000103439,0.000103375,9.75712e-05,0.0133063,0.0133213,0.0374463,0.0387455,0.0387589,0.791367,1.51247e-11,1.5208e-11,1.65428e-10,2.44907e-06,2.44761e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.278396,0.889588,0.0111754,0.0,0.000140523,0.00847616,0.0,0.0,0.0,-0.000186,176,0,0,165,0,0,0,0
55746572,0.999497,-0.0194952,-0.014404,0.020465,0.00616159,0.000804801,0.00534148,0.00689024,0.000151379,-0.324777,-1.56141e-05,4.99607e-06,-2.26578e-06,2.19076e-05,-3.38673e-05,0.000785231,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,8.81517e-11,1.50794e-05,0.000227255,1.35144e-07,0.000103459,0.000103395,9.69536e-05,0.013471,0.0134864,0.0391141,0.039689,0.0397033,0.850313,1.4997e-11,1.50779e-11,1.61502e-10,2.44906e-06,2.44759e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.281766,0.922124,0.0362947,0.0,0.000144148,0.00847616,0.0,0.0,0.0,-0.00031,176,0,0,165,0,0,0,0
55950655,0.999503,-0.0195027,-0.0143889,0.0201536,0.00655407,0.000465173,-0.0159427,0.00713549,0.000219959,-0.452801,-1.56034e-05,4.97369e-06,-1.85918e-06,2.23452e-05,-3.41778e-05,0.000798366,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,9.53149e-11,1.54117e-05,0.000186935,1.34661e-07,0.000103505,0.000103441,9.6041e-05,0.0138299,0.013846,0.0358633,0.0413316,0.0413474,0.752136,1.49004e-11,1.49784e-11,1.57234e-10,2.44904e-06,2.44758e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.287539,0.867258,0.066425,0.0,0.000134902,0.06392,0.0,0.0,0.0,-0.000227,176,0,0,165,0,0,0,0
56150544,0.999504,-0.0195023,-0.0143567,0.0201332,0.0067607,0.000540407,-0.0154759,0.00729772,0.000299277,-0.455947,-1.56015e-05,4.96449e-06,-1.7887e-06,2.239e-05,-3.41737e-05,0.000798317,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,8.75148e-11,1.49771e-05,0.000162695,1.33905e-07,0.000103531,0.000103466,9.50411e-05,0.014042,0.0140584,0.0374952,0.0424571,0.042474,0.807518,1.4789e-11,1.48643e-11,1.53121e-10,2.44903e-06,2.44757e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.291429,0.89862,0.0262898,0.0,0.000139386,0.06392,0.0,0.0,0.0,-0.000338,176,0,0,165,0,0,0,0
56354717,0.999504,-0.0195189,-0.0143949,0.0201146,0.00592916,0.000207449,-0.0096644,0.0063627,0.000287083,-0.422267,-1.55998e-05,4.94997e-06,-1.73063e-06,2.2359e-05,-3.40772e-05,0.0007944,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,7.84303e-11,1.44542e-05,0.000159711,1.33589e-07,0.00010339,0.000103326,9.44576e-05,0.0128483,0.0128629,0.0344683,0.0372008,0.037214,0.714534,1.44876e-11,1.45614e-11,1.49603e-10,2.44901e-06,2.44754e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.272791,0.845301,0.000100424,0.0,0.000131413,0.0188944,0.0,0.0,0.0,-0.000211,176,0,0,165,0,0,0,0
56558543,0.999504,-0.0195113,-0.0144587,0.0200668,0.0062458,-0.000634551,-0.00973479,0.00660018,0.000178311,-0.424275,-1.55969e-05,4.93977e-06,-1.62272e-06,2.23912e-05,-3.40689e-05,0.000794327,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,8.61371e-11,1.47489e-05,0.000217625,1.33212e-07,0.000103427,0.000103363,9.35964e-05,0.0131553,0.0131703,0.0361364,0.038618,0.0386324,0.769008,1.43995e-11,1.44708e-11,1.45778e-10,2.449e-06,2.44754e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.27794,0.876931,0.000176965,0.0,0.000135314,0.0188944,0.0,0.0,0.0,-0.000339,176,0,0,165,0,0,0,0
56762542,0.999505,-0.0195099,-0.0144636,0.0200049,0.00575053,-0.000642493,-0.00862008,0.00794635,6.55706e-05,-0.426173,-1.55951e-05,4.93712e-06,-1.55638e-06,2.2387e-05,-3.40693e-05,0.000794284,0.18804,-1.42393e-10,0.490947,0.0,0.0,0.0,0.0,0.0,0.0,2.15873e-10,1.61598e-05,0.000612526,1.32467e-07,0.000103623,0.000103558,9.26517e-05,0.0148423,0.0148599,0.037797,0.0465877,0.0466087,0.825157,1.44985e-11,1.45667e-11,1.42087e-10,2.449e-06,2.44754e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.305281,0.908381,0.011065,0.0,7.59837e-06,0.0188944,0.0,0.0,0.0,-0.00034,48,0,0,165,0,0,0,0
