timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
1745233509,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1746235128,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1747237104,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1748243065,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1749252065,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1750253058,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1751258366,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1752266130,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1753268015,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1754270183,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1755279894,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1756288062,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1757292269,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1758303986,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1759304686,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1760305344,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1761313912,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1762321386,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1763329484,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1764338631,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1765340062,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1766340252,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1767340283,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1768344561,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1769348660,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1770352060,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1771361809,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1772367135,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1773374234,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1774383069,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1775389322,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1776397767,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1777406122,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1778416293,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1779424059,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1780429970,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1781437956,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1782438313,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1783443428,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1784451251,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1785460176,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1786466216,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1787467146,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1788472196,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1789483206,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1790491157,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1791498397,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1792503057,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1793513066,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1794523449,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1795534233,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1796535942,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1797483997,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1798486256,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1799486350,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1800487063,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1801494198,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1802503105,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1803511057,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1804518445,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1805524198,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1806534561,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1807545098,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1808552337,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1809554760,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1810556190,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1811564485,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1812572194,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1813572224,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1814580567,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1815593381,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1816601795,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1817606166,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1818614188,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1819617117,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1820622173,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1821627768,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1822635793,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1823642240,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1824651780,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1825659774,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1826659773,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1827667716,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1828672859,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1829680955,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1830691194,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1831696152,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1832698100,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1833706187,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1834715139,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1835720166,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1836720367,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1837729963,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1838730359,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1839739148,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1840745848,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1841755109,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1842763173,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1843771228,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1844775268,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1845782188,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1846789323,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1847789344,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1848794151,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1849801637,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1850811387,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1851814143,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1852820267,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1853827235,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1854835003,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1855843101,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1856850912,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1857856256,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1858863689,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1859875107,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1860883062,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1861887248,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1862895222,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1863895838,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1864903531,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1865909063,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1866915121,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1867925101,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1868933123,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1869940191,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1870951771,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1871962923,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1872963195,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1873968809,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1874977002,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1875981059,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1876992709,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1877992795,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1878999591,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1880003155,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1881016705,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1882023773,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1883027085,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1884031498,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1885037010,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1886041938,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1887049962,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1888058591,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1889067260,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1890077147,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1891085126,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1892093285,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1893101087,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1894109271,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1895117103,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1896122297,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1897125145,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1898133148,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1899134349,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1900143086,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1901153102,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1902163403,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1903167056,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1904169315,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1905173193,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1906180584,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1907180620,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1908191059,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1909197191,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1910203061,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1911204688,3080239,2162703,3080231,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
