timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
36244796,0.00155817,0.00129121,-0.00233228,-0.234104,0.0274244,-0.0102143,0.971771,-0.235885,0.0469221,-0.0317574,0.970128,1
36272747,-0.00276291,0.000506536,-0.00103382,-0.234137,0.0274233,-0.0102236,0.971763,-0.235885,0.0469221,-0.0317574,0.970128,1
36304772,0.000615849,0.00202627,-0.00203163,-0.234168,0.027416,-0.010223,0.971756,-0.235885,0.0469221,-0.0317574,0.970128,1
36336783,0.000931516,-0.000528394,-0.00201665,-0.234205,0.0274197,-0.0102308,0.971747,-0.235885,0.0469221,-0.0317574,0.970128,1
36368843,-0.000503342,-0.000158715,-0.000349644,-0.234243,0.0274232,-0.0102364,0.971737,-0.235885,0.0469221,-0.0317574,0.970128,1
36400774,-0.00201571,0.0013557,-0.00098088,-0.234264,0.0274181,-0.0102469,0.971732,-0.235885,0.0469221,-0.0317574,0.970128,1
36432810,0.00162513,-4.97467e-05,-0.000490626,-0.234299,0.0274193,-0.010238,0.971724,-0.235885,0.0469221,-0.0317574,0.970128,1
36464733,0.00205528,0.000154597,-0.000253728,-0.234339,0.0274227,-0.010234,0.971714,-0.235885,0.0469221,-0.0317574,0.970128,1
36496818,-0.000173292,-0.00187429,-1.8523e-05,-0.234383,0.0274253,-0.0102358,0.971704,-0.235885,0.0469221,-0.0317574,0.970128,1
36524776,0.00167836,0.000428619,-0.00200106,-0.234431,0.0274197,-0.0102328,0.971692,-0.235885,0.0469221,-0.0317574,0.970128,1
36557049,8.87002e-05,-5.01037e-06,-0.00172551,-0.2345,0.027415,-0.0102386,0.971675,-0.235885,0.0469221,-0.0317574,0.970128,1
36588743,-0.00298174,0.000302126,-0.00126703,-0.234559,0.0274161,-0.010248,0.971661,-0.235885,0.0469221,-0.0317574,0.970128,1
36620744,-0.000101319,0.00103876,-0.00110824,-0.234629,0.0274186,-0.0102364,0.971644,-0.235885,0.0469221,-0.0317574,0.970128,1
36652776,0.00242645,0.00021339,-0.0019552,-0.234704,0.0274206,-0.0102334,0.971626,-0.235885,0.0469221,-0.0317574,0.970128,1
36684731,-0.00136857,-0.00185442,-0.000493751,-0.234786,0.0274309,-0.0102418,0.971606,-0.235885,0.0469221,-0.0317574,0.970128,1
36716842,-0.00269099,-0.00127028,0.00107931,-0.234868,0.0274335,-0.0102394,0.971586,-0.235885,0.0469221,-0.0317574,0.970128,1
36748777,-8.50322e-05,0.000702743,-0.000627836,-0.234953,0.0274341,-0.0102254,0.971566,-0.235885,0.0469221,-0.0317574,0.970128,1
36776790,-0.00153889,0.000239948,0.000483499,-0.235023,0.0274392,-0.0102293,0.971549,-0.235885,0.0469221,-0.0317574,0.970128,1
36808785,-0.00323982,0.000987327,0.000455429,-0.235094,0.0274328,-0.0102311,0.971532,-0.235885,0.0469221,-0.0317574,0.970128,1
36840732,0.00105718,-1.36145e-05,-0.00149984,-0.235168,0.0274375,-0.0102217,0.971514,-0.235885,0.0469221,-0.0317574,0.970128,1
36872737,0.0013336,-0.00125064,0.000385849,-0.235242,0.0274364,-0.0102187,0.971496,-0.235885,0.0469221,-0.0317574,0.970128,1
36904773,-0.00163078,0.00118384,0.00090952,-0.235325,0.0274365,-0.010224,0.971476,-0.235885,0.0469221,-0.0317574,0.970128,1
36936863,-0.00219925,0.00154613,-0.000304496,-0.235408,0.0274336,-0.0102236,0.971456,-0.235885,0.0469221,-0.0317574,0.970128,1
36968743,0.000740695,0.00137002,-0.00146353,-0.23548,0.0274262,-0.0102249,0.971438,-0.235885,0.0469221,-0.0317574,0.970128,1
37000770,0.000978538,0.0010209,-0.000614209,-0.235571,0.0274267,-0.0102324,0.971416,-0.235885,0.0469221,-0.0317574,0.970128,1
37028749,-0.00146965,0.000708257,-0.000752702,-0.235647,0.0274293,-0.0102363,0.971398,-0.235885,0.0469221,-0.0317574,0.970128,1
37060761,0.00224811,-0.00162724,-0.0011426,-0.235731,0.0274381,-0.0102225,0.971377,-0.235885,0.0469221,-0.0317574,0.970128,1
37092734,0.000673081,0.000158182,-0.000290328,-0.235807,0.0274284,-0.0102267,0.971359,-0.235885,0.0469221,-0.0317574,0.970128,1
37124733,-0.002397,-0.000389087,0.00024019,-0.23588,0.0274347,-0.0102295,0.971341,-0.235885,0.0469221,-0.0317574,0.970128,1
37157582,-0.00145113,0.000615208,0.000932671,-0.235959,0.0274394,-0.0102304,0.971322,-0.235885,0.0469221,-0.0317574,0.970128,1
37190076,0.000771466,-0.000469453,-0.000586338,-0.236034,0.0274418,-0.0102281,0.971304,-0.235885,0.0469221,-0.0317574,0.970128,1
37217581,-0.00235823,0.000318374,0.00128032,-0.23609,0.0274429,-0.0102365,0.97129,-0.235885,0.0469221,-0.0317574,0.970128,1
37249547,0.000260095,0.000254008,4.40906e-05,-0.23617,0.0274405,-0.0102317,0.97127,-0.235885,0.0469221,-0.0317574,0.970128,1
37281555,0.0024538,-0.000769505,-0.00122487,-0.236248,0.0274543,-0.010221,0.971251,-0.235885,0.0469221,-0.0317574,0.970128,1
37313775,-0.000301735,-3.30822e-05,-0.000865476,-0.236329,0.0274506,-0.0102224,0.971232,-0.235885,0.0469221,-0.0317574,0.970128,1
