timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
46886573,4.90166,0.0,0,0,1,0,1,0,0
47386597,4.82109,0.0,0,0,1,0,1,0,0
47896559,4.94517,0.0,0,0,1,0,1,0,0
48396559,4.79531,0.0,0,0,1,0,1,0,0
48906597,4.90005,0.0,0,0,1,0,1,0,0
49406568,4.85493,0.0,0,0,1,0,1,0,0
49906590,4.93228,0.0,0,0,1,0,1,0,0
50416559,4.92583,0.0,0,0,1,0,1,0,0
50916559,4.88071,0.0,0,0,1,0,1,0,0
51416559,4.92905,0.0,0,0,1,0,1,0,0
51916559,4.89521,0.0,0,0,1,0,1,0,0
52416559,4.92422,0.0,0,0,1,0,1,0,0
52916562,4.91294,0.0,0,0,1,0,1,0,0
53416560,4.82109,0.0,0,0,1,0,1,0,0
53916560,4.93711,0.0,0,0,1,0,1,0,0
54416559,4.71636,0.0,0,0,1,0,1,0,0
54916559,4.78242,0.0,0,0,1,0,1,0,0
