timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
36044253,1559237770399555,408102627,-778707751,355979,321538,1.367,0.450793,4.029,5.255,0.77,1.05,96,4,0.999,-0.905,-0.424,0.234,3.91394,0,3,1,12
36247092,1559237770599555,408102606,-778707759,355971,321531,1.402,0.450878,4.043,5.267,0.77,1.05,96,4,1.02,-0.943,-0.387,0.25,3.91394,0,3,1,12
36449603,1559237770799555,408102586,-778707767,355963,321523,1.413,0.450964,4.06,5.281,0.77,1.05,96,4,0.999,-0.926,-0.376,0.246,3.91394,0,3,1,12
36648038,1559237770999556,408102574,-778707771,355925,321485,1.54,0.451057,4.086,5.3,0.84,1.05,96,4,0.584,-0.552,-0.189,0.271,3.91394,0,3,1,11
36847074,1559237771199555,408102565,-778707773,355890,321450,1.468,0.451147,4.118,5.319,0.84,1.05,96,4,0.393,-0.379,-0.104,0.274,3.91394,0,3,1,11
37049937,1559237771399555,408102555,-778707774,355820,321379,1.428,0.451233,4.153,5.34,0.84,1.05,89,5,0.425,-0.42,-0.065,0.357,3.91394,0,3,1,11
37251908,1559237771599555,408102540,-778707779,355767,321326,1.578,0.451329,4.19,5.363,0.84,1.05,89,5,0.728,-0.713,-0.149,0.367,3.91394,0,3,1,11
37437038,1559237771799555,408102525,-778707779,355719,321278,1.763,0.451436,4.255,5.411,0.84,1.05,89,5,0.821,-0.82,-0.043,0.501,3.91394,0,3,1,11
37644037,1559237771999556,408102522,-778707777,355680,321240,1.721,0.451541,4.35,5.469,0.84,1.05,89,5,0.357,-0.35,-0.072,0.462,3.91394,0,3,1,11
37845037,1559237772199555,408102509,-778707795,355706,321266,2.552,0.451696,4.484,5.537,0.84,1.05,89,5,0.827,-0.459,-0.688,0.286,3.91394,0,3,1,11
38046125,1559237772399555,408102518,-778707801,355659,321219,2.51,0.451848,4.661,5.617,0.84,1.05,77,5,0.505,0.104,-0.494,0.36,3.91394,0,3,1,11
38244072,1559237772599555,408102506,-778707831,355526,321086,2.739,0.452014,4.847,5.706,0.77,1.05,77,5,0.897,-0.367,-0.818,0.555,3.91394,0,3,1,12
38444041,1559237772799555,408102503,-778707844,355530,321090,2.772,0.452183,5.038,5.803,0.77,1.05,77,5,0.818,-0.225,-0.787,0.456,3.91394,0,3,1,12
38648068,1559237772999556,408102513,-778707862,355352,320911,1.692,0.452285,5.093,5.843,0.77,1.05,77,5,0.713,0.097,-0.707,0.691,3.91394,0,3,1,12
38840100,1559237773199555,408102525,-778707844,355303,320863,1.623,0.452383,5.168,5.894,0.77,1.05,77,5,0.277,0.271,0.061,0.591,3.91394,0,3,1,12
39048235,1559237773399555,408102528,-778707827,355318,320878,1.792,0.452492,5.254,5.947,0.77,1.05,77,7,0.383,0.15,0.352,0.36,3.91394,0,3,1,12
39249055,1559237773599555,408102532,-778707819,355227,320787,1.517,0.452584,5.318,5.999,0.77,1.05,77,7,0.233,0.085,0.217,0.515,3.91394,0,3,1,12
39449159,1559237773799555,408102515,-778707826,355425,320985,1.727,0.452689,5.324,6.036,0.78,1.18,77,7,0.684,-0.611,-0.307,0.088,3.91394,0,3,1,11
39651052,1559237773999556,408102514,-778707816,355724,321284,1.833,0.4528,5.356,6.082,0.77,1.05,77,7,0.443,-0.442,-0.03,-0.184,3.91394,0,3,1,12
39851367,1559237774199555,408102527,-778707800,355823,321383,1.592,0.452896,5.376,6.121,0.77,1.05,77,7,0.199,0.172,0.099,-0.133,3.91394,0,3,1,12
40051187,1559237774399555,408102530,-778707783,356337,321896,1.273,0.452973,5.393,6.16,0.77,1.05,78,6,0.305,-0.057,0.3,-0.585,3.91394,0,3,1,12
40244058,1559237774599555,408102524,-778707775,356781,322340,1.226,0.453055,5.405,6.196,0.77,1.05,78,6,0.486,-0.361,-0.325,-1.262,3.91394,0,3,1,12
