timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2362814841,32767,32767,32767,32767,32767,32767,32767,32767
2362818843,32767,32767,32767,32767,32767,-73,32767,32767
2362822841,32767,32767,32767,32767,32767,32767,32767,32767
2362826842,32767,32767,32767,32767,32767,32767,32767,32767
2362830841,32767,32767,32767,32767,32767,32767,32767,32767
2362834841,32767,32767,32767,32767,32767,-88,32767,32767
2362838841,32767,32767,32767,32767,32767,32767,32767,32767
2362842841,32767,32767,32767,32767,32767,32767,32767,32767
2362846841,32767,32767,32767,32767,32767,32767,32767,32767
2362850850,32767,32767,32767,32767,32767,-87,32767,32767
2362854841,32767,32767,32767,32767,32767,32767,32767,32767
2362858842,32767,32767,32767,32767,32767,32767,32767,32767
2362862841,32767,32767,32767,32767,32767,32767,32767,32767
2362866841,32767,32767,32767,32767,32767,-89,32767,32767
2362870841,32767,32767,32767,32767,32767,32767,32767,32767
2362874842,32767,32767,32767,32767,32767,32767,32767,32767
2362878841,32767,32767,32767,32767,32767,32767,32767,32767
2362882841,32767,32767,32767,32767,32767,-88,32767,32767
2362886841,32767,32767,32767,32767,32767,32767,32767,32767
2362890843,32767,32767,32767,32767,32767,32767,32767,32767
2362894841,32767,32767,32767,32767,32767,32767,32767,32767
2362898846,32767,32767,32767,32767,32767,-87,32767,32767
2362902841,32767,32767,32767,32767,32767,32767,32767,32767
2362906842,32767,32767,32767,32767,32767,32767,32767,32767
2362910841,32767,32767,32767,32767,32767,32767,32767,32767
2362914841,32767,32767,32767,32767,32767,-88,32767,32767
2362918841,32767,32767,32767,32767,32767,32767,32767,32767
2362922842,32767,32767,32767,32767,32767,32767,32767,32767
2362926841,32767,32767,32767,32767,32767,32767,32767,32767
2362930841,32767,32767,32767,32767,32767,-89,32767,32767
2362934841,32767,32767,32767,32767,32767,32767,32767,32767
2362938841,32767,32767,32767,32767,32767,32767,32767,32767
2362942841,32767,32767,32767,32767,32767,32767,32767,32767
2362946841,32767,32767,32767,32767,32767,-89,32767,32767
2362950841,32767,32767,32767,32767,32767,32767,32767,32767
2362954841,32767,32767,32767,32767,32767,32767,32767,32767
2362958841,32767,32767,32767,32767,32767,32767,32767,32767
2362962841,32767,32767,32767,32767,32767,-87,32767,32767
2362966841,32767,32767,32767,32767,32767,32767,32767,32767
2362970841,32767,32767,32767,32767,32767,32767,32767,32767
2362974841,32767,32767,32767,32767,32767,32767,32767,32767
2362978841,32767,32767,32767,32767,32767,-88,32767,32767
2362982841,32767,32767,32767,32767,32767,32767,32767,32767
2362986841,32767,32767,32767,32767,32767,32767,32767,32767
2362990841,32767,32767,32767,32767,32767,32767,32767,32767
2362994841,32767,32767,-58,32767,32767,-88,32767,32767
2362998841,32767,32767,32767,32767,32767,32767,32767,32767
2363002841,32767,32767,32767,32767,32767,32767,32767,32767
2363006841,32767,32767,32767,32767,32767,32767,32767,32767
2363010841,32767,32767,32767,32767,32767,-89,32767,32767
2363014841,32767,32767,32767,32767,32767,32767,32767,32767
2363018841,32767,32767,32767,32767,32767,32767,32767,32767
2363022841,32767,32767,32767,32767,32767,32767,32767,32767
2363026841,32767,32767,32767,32767,32767,-87,32767,32767
2363030841,32767,32767,32767,32767,32767,32767,32767,32767
2363034841,32767,32767,32767,32767,32767,32767,32767,32767
2363038841,32767,32767,32767,32767,32767,32767,32767,32767
2363042841,32767,32767,32767,32767,32767,-88,32767,32767
2363046841,32767,32767,32767,32767,32767,32767,32767,32767
2363050841,32767,32767,32767,32767,32767,32767,32767,32767
2363054841,32767,32767,32767,32767,32767,32767,32767,32767
2363058841,32767,32767,32767,32767,32767,-88,32767,32767
2363062841,32767,32767,32767,32767,32767,32767,32767,32767
2363066841,32767,32767,32767,32767,32767,32767,32767,32767
2363070841,32767,32767,32767,32767,32767,32767,32767,32767
2363074841,32767,32767,32767,32767,32767,-88,32767,32767
2363078841,32767,32767,32767,32767,32767,32767,32767,32767
2363082841,32767,32767,32767,32767,32767,32767,32767,32767
2363086841,32767,32767,32767,32767,32767,32767,32767,32767
2363090841,32767,32767,32767,32767,32767,-88,32767,32767
2363094841,32767,32767,32767,32767,32767,32767,32767,32767
2363098842,32767,32767,32767,32767,32767,32767,32767,32767
2363102841,32767,32767,32767,32767,32767,32767,32767,32767
2363106841,32767,32767,32767,32767,32767,-89,32767,32767
2363110841,32767,32767,32767,32767,32767,32767,32767,32767
2363114841,32767,32767,32767,32767,32767,32767,32767,32767
2363118840,32767,32767,32767,32767,32767,32767,32767,32767
2363122841,32767,32767,32767,32767,32767,-88,32767,32767
2363126841,32767,32767,32767,32767,32767,32767,32767,32767
2363130841,32767,32767,32767,32767,32767,32767,32767,32767
2363134843,32767,32767,32767,32767,32767,32767,32767,32767
2363138841,32767,32767,32767,32767,32767,-88,32767,32767
2363142841,32767,32767,32767,32767,32767,32767,32767,32767
2363146841,32767,32767,32767,32767,32767,32767,32767,32767
2363150841,32767,32767,32767,32767,32767,32767,32767,32767
2363154841,32767,32767,32767,32767,32767,-87,32767,32767
2363158841,32767,32767,32767,32767,32767,32767,32767,32767
2363162841,32767,32767,32767,32767,32767,32767,32767,32767
2363166841,32767,32767,32767,32767,32767,32767,32767,32767
2363170841,32767,32767,32767,32767,32767,-89,32767,32767
2363174841,32767,32767,32767,32767,32767,32767,32767,32767
2363178841,32767,32767,32767,32767,32767,32767,32767,32767
2363182841,32767,32767,32767,32767,32767,32767,32767,32767
2363186841,32767,32767,32767,32767,32767,-88,32767,32767
2363190841,32767,32767,32767,32767,32767,32767,32767,32767
2363194841,32767,32767,-58,32767,32767,32767,32767,32767
2363198841,32767,32767,32767,32767,-63,-57,32767,32767
2363202841,32767,32767,32767,32767,32767,32767,32767,32767
2363206841,32767,32767,32767,32767,32767,32767,32767,32767
2363210841,32767,32767,32767,32767,32767,32767,32767,32767
2363214841,32767,32767,32767,32767,32767,-68,32767,32767
2363218841,32767,32767,32767,32767,32767,32767,32767,32767
2363222841,32767,32767,32767,32767,32767,32767,32767,32767
2363226841,32767,32767,32767,32767,32767,32767,32767,32767
2363230841,32767,32767,32767,32767,32767,-68,32767,32767
2363234841,32767,32767,32767,32767,32767,32767,32767,32767
2363238841,32767,32767,32767,32767,32767,32767,32767,32767
2363242841,32767,32767,32767,32767,32767,32767,32767,32767
2363246841,32767,32767,32767,32767,32767,-69,32767,32767
2363250841,32767,32767,32767,32767,32767,32767,32767,32767
2363254841,32767,32767,32767,32767,32767,32767,32767,32767
2363258841,32767,32767,32767,32767,32767,32767,32767,32767
2363262841,32767,32767,32767,32767,32767,-69,32767,32767
2363266841,32767,32767,32767,32767,32767,32767,32767,32767
2363270842,32767,32767,32767,32767,32767,32767,32767,32767
2363274841,32767,32767,32767,32767,32767,32767,32767,32767
2363278841,32767,32767,32767,32767,32767,-88,32767,32767
2363282841,32767,32767,32767,32767,32767,32767,32767,32767
2363286842,32767,32767,32767,32767,32767,32767,32767,32767
2363290841,32767,32767,32767,32767,32767,32767,32767,32767
2363294841,32767,32767,32767,32767,32767,-88,32767,32767
2363298841,32767,32767,32767,32767,32767,32767,32767,32767
2363302841,32767,32767,32767,32767,32767,32767,32767,32767
2363306841,32767,32767,32767,32767,32767,32767,32767,32767
2363310841,32767,32767,32767,32767,32767,-89,32767,32767
2363314841,32767,32767,32767,32767,32767,32767,32767,32767
2363318842,32767,32767,32767,32767,32767,32767,32767,32767
2363322843,32767,32767,32767,32767,32767,32767,32767,32767
2363326841,32767,32767,32767,32767,32767,-88,32767,32767
2363330841,32767,32767,32767,32767,32767,32767,32767,32767
2363334841,32767,32767,32767,32767,32767,32767,32767,32767
2363338841,32767,32767,32767,32767,32767,-58,32767,32767
2363342841,32767,32767,32767,32767,32767,32767,32767,32767
2363346841,32767,32767,32767,32767,32767,32767,32767,32767
2363350841,32767,32767,32767,32767,32767,32767,32767,32767
2363354841,32767,32767,32767,32767,32767,-68,32767,32767
2363358841,32767,32767,32767,32767,32767,32767,32767,32767
2363362841,32767,32767,32767,32767,32767,32767,32767,32767
2363366841,32767,32767,32767,32767,32767,32767,32767,32767
2363370841,32767,32767,32767,32767,32767,-73,32767,32767
2363374841,32767,32767,32767,32767,32767,32767,32767,32767
2363378841,32767,32767,32767,32767,32767,32767,32767,32767
2363382841,32767,32767,32767,32767,32767,32767,32767,32767
2363386841,32767,32767,32767,32767,32767,-70,32767,32767
2363390841,32767,32767,-57,32767,32767,32767,32767,32767
2363394841,32767,32767,32767,32767,32767,32767,32767,32767
2363398841,32767,32767,32767,32767,32767,32767,32767,32767
2363402841,32767,32767,32767,32767,32767,-71,32767,32767
2363406841,32767,32767,32767,32767,32767,32767,32767,32767
2363410841,32767,32767,32767,32767,32767,32767,32767,32767
2363414841,32767,32767,32767,32767,32767,32767,32767,32767
2363418841,32767,32767,32767,32767,32767,-73,32767,32767
2363422841,32767,32767,32767,32767,32767,32767,32767,32767
2363426841,32767,32767,32767,32767,32767,32767,32767,32767
2363430841,32767,32767,32767,32767,32767,32767,32767,32767
2363434841,32767,32767,32767,32767,32767,-71,32767,32767
2363438841,32767,32767,32767,32767,32767,32767,32767,32767
2363442841,32767,32767,32767,32767,32767,32767,32767,32767
2363446841,32767,32767,32767,32767,32767,32767,32767,32767
2363450841,32767,32767,32767,32767,32767,-71,32767,32767
2363454841,32767,32767,32767,32767,32767,32767,32767,32767
2363458841,32767,32767,32767,32767,32767,32767,32767,32767
2363462841,32767,32767,32767,32767,32767,32767,32767,32767
2363466841,32767,32767,32767,32767,32767,-88,32767,32767
2363470841,32767,32767,32767,32767,32767,32767,32767,32767
2363474841,32767,32767,32767,32767,32767,32767,32767,32767
2363478841,32767,32767,32767,32767,32767,32767,32767,32767
2363482841,32767,32767,32767,32767,32767,-88,32767,32767
2363486841,32767,32767,32767,32767,32767,32767,32767,32767
2363490842,32767,32767,32767,32767,32767,32767,32767,32767
2363494841,32767,32767,32767,32767,32767,32767,32767,32767
2363498841,32767,32767,32767,32767,32767,-88,32767,32767
2363502841,32767,32767,32767,32767,32767,32767,32767,32767
2363506841,32767,32767,32767,32767,32767,32767,32767,32767
2363510841,32767,32767,32767,32767,32767,32767,32767,32767
2363514841,32767,32767,32767,32767,32767,-89,32767,32767
2363518841,32767,32767,32767,32767,32767,32767,32767,32767
2363522841,32767,32767,32767,32767,32767,32767,32767,32767
2363526843,32767,32767,32767,32767,32767,-58,32767,32767
2363530841,32767,32767,32767,32767,32767,32767,32767,32767
2363534843,32767,32767,32767,32767,32767,32767,32767,32767
2363538841,32767,32767,32767,32767,32767,32767,32767,32767
2363542841,32767,32767,32767,32767,32767,-67,32767,32767
2363546841,32767,32767,32767,32767,32767,32767,32767,32767
2363550841,32767,32767,32767,32767,32767,32767,32767,32767
2363554841,32767,32767,32767,32767,32767,32767,32767,32767
2363558841,32767,32767,32767,32767,32767,-68,32767,32767
2363562841,32767,32767,32767,32767,32767,32767,32767,32767
2363566841,32767,32767,32767,32767,32767,32767,32767,32767
2363570841,32767,32767,32767,32767,32767,32767,32767,32767
2363574841,32767,32767,32767,32767,32767,-70,32767,32767
2363578841,32767,32767,32767,32767,32767,32767,32767,32767
2363582841,32767,32767,32767,32767,32767,32767,32767,32767
2363586841,32767,32767,32767,32767,32767,32767,32767,32767
2363590841,32767,32767,-48,32767,32767,-70,32767,32767
2363594841,32767,32767,32767,32767,32767,32767,32767,32767
