timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2676302998,0.193228,-0.00882963,0.490482
2676318118,0.195878,-0.00911815,0.482998
2676333281,0.198086,-0.0115705,0.489748
2676347993,0.198233,-0.0115705,0.492096
2676364001,0.196908,-0.0137344,0.491362
2676380036,0.197056,-0.00911815,0.48608
2676396010,0.193964,-0.00897389,0.484319
2676411997,0.19367,-0.0122918,0.486227
2676427996,0.192345,-0.0141672,0.491509
2676443036,0.193375,-0.0127246,0.491656
2676458993,0.194259,-0.00955092,0.493123
2676475048,0.194259,-0.0166196,0.487107
2676490993,0.190431,-0.0124361,0.487107
2676506144,0.19102,-0.010128,0.482558
2676521850,0.190431,-0.0135901,0.487547
2676537640,0.187929,-0.00969518,0.48608
2676553527,0.191609,-0.00940666,0.487254
2676568052,0.193081,-0.00969518,0.484759
2676583999,0.1947,-0.00695428,0.488868
2676599993,0.192051,-0.00652151,0.480357
2676615993,0.19367,-0.0128689,0.47933
2676631101,0.192639,-0.00681002,0.48564
2676648005,0.193964,-0.00983944,0.482852
2676664003,0.192345,-0.00623299,0.482118
2676678996,0.198233,-0.00681002,0.486373
2676694108,0.195142,-0.0045019,0.484759
2676709338,0.192492,-0.00262654,0.48608
2676724007,0.200147,-0.0138787,0.484906
2676740004,0.195436,-0.00911815,0.482412
2676756036,0.195289,-0.0102722,0.480651
2676772008,0.194259,-0.00897389,0.481384
2676787995,0.192492,-0.0109935,0.490482
2676803070,0.199117,-0.00868537,0.484026
2676818376,0.193523,-0.00911815,0.486373
2676833661,0.197497,-0.00882963,0.481384
2676849533,0.191609,-0.010128,0.48696
2676865528,0.192051,-0.0045019,0.482998
2676880037,0.193964,-0.0092624,0.481384
2676895993,0.194847,-0.0102722,0.489161
2676912006,0.193964,-0.00969518,0.487254
2676928008,0.191609,-0.0104165,0.481971
2676943150,0.190431,-0.00839686,0.489161
2676959993,0.195731,-0.00839686,0.486667
2676975999,0.197939,-0.00623299,0.481384
2676991048,0.191756,-0.0072428,0.484466
2677006121,0.193228,-0.00767557,0.482412
2677021281,0.194995,-0.00940666,0.483439
2677036056,0.190726,-0.0122918,0.479917
2677051993,0.192934,-0.00421338,0.47977
2677068036,0.192934,-0.00435764,0.487401
2677084007,0.195731,-0.00753131,0.482265
2677099995,0.193081,-0.00507893,0.48696
2677116004,0.189695,-0.001761,0.488134
2677131036,0.189254,-0.00666576,0.489895
2677147047,0.193081,-0.00479041,0.492096
2677162996,0.195878,-0.00868537,0.487841
2677179008,0.193228,-0.00666576,0.48652
2677194132,0.194111,-0.0027708,0.481238
2677209518,0.195436,-0.00464615,0.482998
2677224003,0.192934,-0.00565596,0.482118
2677241610,0.197792,-0.00854112,0.483732
2677256052,0.193523,-0.00666576,0.484026
2677271995,0.193523,-0.00507893,0.484172
2677287995,0.198086,-0.00248229,0.487547
2677304270,0.19838,-0.00334783,0.483292
2677319039,0.198822,-0.0055117,0.491656
2677335055,0.197203,-0.00623299,0.487841
2677350993,0.197792,-0.00796408,0.491802
2677367005,0.192639,-0.00767557,0.486227
2677382143,0.19102,-0.00320358,0.48696
2677397331,0.194847,-0.00132822,0.485933
2677411995,0.192051,-0.00738705,0.492536
2677427998,0.193081,-0.00349209,0.490629
2677444065,0.193228,-0.0092624,0.489601
2677459995,0.193228,-0.00594447,0.488574
2677475996,0.19838,-0.00738705,0.48608
2677492003,0.196172,-0.00623299,0.488281
2677507094,0.194406,-0.00623299,0.492096
2677523013,0.194847,-0.0055117,0.491215
2677539058,0.19102,-0.00623299,0.485933
2677554995,0.194259,-0.00839686,0.483585
2677570110,0.192051,-0.00709854,0.478743
2677585566,0.194406,-0.00536744,0.480651
2677601761,0.192787,-0.0092624,0.486667
2677617606,0.187193,-0.00637725,0.487547
2677633667,0.193228,-0.00392487,0.484026
2677649746,0.1947,-0.00709854,0.480064
2677665466,0.186457,-0.00695428,0.487547
2677679993,0.193228,-0.00753131,0.484759
2677696036,0.19367,-0.0092624,0.482558
2677712003,0.191756,-0.0045019,0.483292
2677728003,0.191462,-0.00594447,0.489161
2677744008,0.191756,-0.00695428,0.491802
2677759039,0.194553,-0.00753131,0.485053
2677774998,0.193375,-0.00709854,0.48608
2677790999,0.193817,-0.00233803,0.480064
2677807044,0.195289,-0.00305932,0.480064
2677823007,0.193817,-0.00378061,0.484172
2677838998,0.19367,-0.00161674,0.479624
2677854995,0.192492,-0.00233803,0.484172
2677871044,0.195584,-0.00637725,0.487547
2677886993,0.19838,-0.00839686,0.47801
2677903097,0.193817,-0.00839686,0.487841
2677918993,0.195289,-0.00435764,0.481384
2677934995,0.192639,-0.00334783,0.482998
2677950995,0.193817,-0.0055117,0.483585
2677966115,0.195731,-0.00608873,0.485346
2677981266,0.195289,-0.00421338,0.481091
2677995995,0.190726,-0.0045019,0.476982
2678011993,0.193523,-0.00493467,0.482705
2678027141,0.197644,-0.00666576,0.482558
2678043001,0.192787,-0.00580022,0.482998
2678059044,0.193817,-0.0092624,0.476542
2678075007,0.194259,-0.00637725,0.478303
2678090128,0.193081,-0.00522319,0.485053
2678105989,0.197644,-0.00349209,0.47801
2678121463,0.1947,-0.00839686,0.484172
2678136005,0.197792,-0.00666576,0.484172
2678152047,0.196025,-0.00709854,0.480211
2678167996,0.194111,-0.00406912,0.482705
2678183993,0.194111,-0.00479041,0.481091
2678199993,0.192787,-0.00623299,0.483439
2678215038,0.188665,-0.00507893,0.475955
2678230993,0.190431,-0.0092624,0.480064
2678247004,0.188812,-0.00565596,0.483292
2678263001,0.194259,-0.00940666,0.479624
2678278146,0.193817,-0.00767557,0.480651
2678293415,0.191167,-0.00781983,0.479917
2678307996,0.192492,-0.00839686,0.485053
2678323999,0.192345,-0.0109935,0.487107
2678340036,0.19735,-0.00666576,0.482118
2678354995,0.192051,-0.010705,0.48696
2678370995,0.187634,-0.00709854,0.482705
2678386997,0.190431,-0.00594447,0.481971
2678403062,0.195584,-0.00580022,0.483585
2678419090,0.1947,-0.00882963,0.492389
2678434996,0.194111,-0.0072428,0.489308
2678450993,0.191756,-0.00781983,0.495471
2678466108,0.194111,-0.00580022,0.490775
2678481440,0.19367,-0.00363635,0.492683
2678496008,0.194847,-0.00435764,0.487401
2678511996,0.191462,-0.00406912,0.488428
2678527089,0.189254,-0.00378061,0.488134
2678542998,0.189548,-0.0102722,0.489455
2678559058,0.194111,-0.00522319,0.487107
2678574996,0.192934,-0.00507893,0.485346
2678590151,0.192787,-0.00608873,0.489455
2678605164,0.195878,-0.00854112,0.483732
2678620004,0.195289,-0.0072428,0.485933
2678634993,0.193817,-0.00781983,0.487254
2678651056,0.199853,-0.00608873,0.486814
2678666995,0.195289,-0.0082526,0.483732
2678682997,0.196025,-0.00839686,0.48564
2678699044,0.193228,-0.0111378,0.483732
2678714120,0.197056,-0.00767557,0.48608
2678729920,0.191903,-0.00839686,0.489748
2678745463,0.195289,-0.00753131,0.489601
2678759995,0.195142,-0.011282,0.48564
2678776060,0.194995,-0.0167638,0.489015
2678791997,0.193964,-0.0124361,0.491362
2678807993,0.196025,-0.00955092,0.49415
2678824235,0.194111,-0.0121476,0.486227
2678839036,0.196761,-0.0154655,0.489015
2678854996,0.196761,-0.0153212,0.488134
2678870995,0.19367,-0.0135901,0.487694
2678887004,0.192051,-0.0145999,0.48696
2678902110,0.194111,-0.0125803,0.484319
2678917296,0.194995,-0.00998369,0.488428
2678931996,0.19367,-0.0105607,0.489161
2678948003,0.195731,-0.0117148,0.488721
2678964054,0.189842,-0.0143114,0.486227
2678979993,0.195584,-0.00969518,0.481238
2678996003,0.192345,-0.011282,0.487841
2679011993,0.191756,-0.0141672,0.487107
2679027096,0.195142,-0.0131574,0.489455
2679043006,0.193228,-0.0121476,0.483879
2679058995,0.194111,-0.0133016,0.484319
2679074309,0.195289,-0.0130131,0.488574
2679089037,0.193964,-0.0131574,0.488428
2679105009,0.192787,-0.0102722,0.489601
2679121013,0.191609,-0.0102722,0.490482
2679135995,0.194259,-0.011282,0.485346
