timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
191844819,0.0,0.0,0.0,-0.012474,-0.0314609,0.0690002,0.0,0.0,0.0,-0.00478983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291606,0.291602,4.81897,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000197293,0.00314,0.0163176,0.0,0.0,0.0,0.0,0.0,0.0
192048772,0.0,0.0,0.0,-0.0130593,-0.0329021,0.0690002,0.0,0.0,0.0,0.0285051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293181,0.293177,4.81897,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000364465,0.00279262,0.0148262,0.0,0.0,0.0,0.0,0.0,0.0
192249803,0.0,0.0,0.0,-0.0122903,-0.0309622,0.410583,0.0,0.0,0.0,0.0150502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290494,0.290491,4.82101,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000299283,0.010296,0.0566109,0.0,0.0,0.0,0.0,0.0,0.0
192450704,0.0,0.0,0.0,-0.0127928,-0.0321108,0.410583,0.0,0.0,0.0,0.0204048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291726,0.291723,4.82101,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000102547,0.00516251,0.0302938,0.0,0.0,0.0,0.0,0.0,0.0
192654359,0.0,0.0,0.0,-0.0124076,-0.0312304,0.430481,0.0,0.0,0.0,0.00348955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29033,0.290328,4.81934,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000133829,0.0153428,0.0852842,0.0,0.0,0.0,0.0,0.0,0.0
192855210,0.0,0.0,0.0,-0.0128603,-0.0324635,0.430481,0.0,0.0,0.0,0.00992492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291705,0.291702,4.81934,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000156208,0.00692262,0.0398828,0.0,0.0,0.0,0.0,0.0,0.0
193055319,0.0,0.0,0.0,-0.0133219,-0.0337246,0.430481,0.0,0.0,0.0,-0.0197865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293265,0.293262,4.81934,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000111216,0.00295283,0.0170889,0.0,0.0,0.0,0.0,0.0,0.0
193260273,0.0,0.0,0.0,-0.0124003,-0.0313461,-0.50769,0.0,0.0,0.0,-0.0134096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290265,0.290263,4.81893,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000140545,0.00909359,0.048848,0.0,0.0,0.0,0.0,0.0,0.0
193463960,0.0,0.0,0.0,-0.0127503,-0.0322786,-0.50769,0.0,0.0,0.0,-0.00478646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291644,0.291642,4.81893,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000107008,0.00406335,0.0232717,0.0,0.0,0.0,0.0,0.0,0.0
193664825,0.0,0.0,0.0,-0.0121089,-0.0310806,0.185486,0.0,0.0,0.0,-0.0114215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290563,0.290562,4.821,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000132164,0.00441995,0.0209212,0.0,0.0,0.0,0.0,0.0,0.0
193868762,0.0,0.0,0.0,-0.0123189,-0.0320876,0.185486,0.0,0.0,0.0,0.00156122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291941,0.29194,4.821,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000156338,0.00223536,0.010383,0.0,0.0,0.0,0.0,0.0,0.0
194069966,0.0,0.0,0.0,-0.0127067,-0.0329831,0.185486,0.0,0.0,0.0,-0.00740862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293441,0.29344,4.821,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000250379,0.00145307,0.00560173,0.0,0.0,0.0,0.0,0.0,0.0
194269805,0.0,0.0,0.0,-0.0117872,-0.0305276,-0.102814,0.0,0.0,0.0,-0.00591102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290285,0.290284,4.81933,0.0,0.0,0.0,0.0901453,0.0,0.0,0.0,0.0,0.0,0.000200433,0.00148345,0.00875711,0.0,0.0,0.0,0.0,0.0,0.0
194474347,0.0,0.0,0.0,-0.0121496,-0.0314569,-0.102814,0.0,0.0,0.0,0.0108198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291659,0.291657,4.81933,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,8.08505e-05,0.000709421,0.00361991,0.0,0.0,0.0,0.0,0.0,0.0
194678576,0.0,0.0,0.0,-0.0114651,-0.0298509,0.265808,0.0,0.0,0.0,0.00164697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290229,0.290228,4.81895,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000234254,0.00777441,0.0415322,0.0,0.0,0.0,0.0,0.0,0.0
194879271,0.0,0.0,0.0,-0.0116034,-0.0304025,0.265808,0.0,0.0,0.0,0.013766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291609,0.291608,4.81895,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,0.000400025,0.00348343,0.0192117,0.0,0.0,0.0,0.0,0.0,0.0
195083944,0.0,0.0,0.0,-0.0116184,-0.0306607,0.265808,0.0,0.0,0.0,0.0239141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292865,0.292863,4.81895,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000558404,0.00132034,0.00761785,0.0,0.0,0.0,0.0,0.0,0.0
195283994,0.0,0.0,0.0,-0.0108285,-0.0286681,-0.123138,0.0,0.0,0.0,0.00671586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290536,0.290534,4.82105,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000367958,0.00223191,0.0114606,0.0,0.0,0.0,0.0,0.0,0.0
195484791,0.0,0.0,0.0,-0.0108923,-0.0291997,-0.123138,0.0,0.0,0.0,0.0126899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292222,0.292221,4.82105,0.0,0.0,0.0,0.0901451,0.0,0.0,0.0,0.0,0.0,0.000291226,0.00125705,0.00648569,0.0,0.0,0.0,0.0,0.0,0.0
195688902,0.0,0.0,0.0,-0.00976974,-0.0269155,-0.185364,0.0,0.0,0.0,0.0203637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290082,0.29008,4.81818,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000394423,0.00617045,0.0333208,0.0,0.0,0.0,0.0,0.0,0.0
