timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
1973942315,12.2104,12.1786,0.0,0.0,0.0,0.0,0.989548,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1974447140,12.3104,12.1062,0.0,0.0,0.0,0.0,0.989545,1.00362,0.0,3,0,0,0,0,0,1,1,0,0,0
1974952233,11.8855,12.0472,0.0,0.0,0.0,0.0,0.989524,1.00853,0.0,3,0,0,0,0,0,1,1,0,0,0
1975455920,12.4479,12.0268,0.0,0.0,0.0,0.0,0.989479,1.01024,0.0,3,0,0,0,0,0,1,1,0,0,0
1975960990,12.3354,12.014,0.0,0.0,0.0,0.0,0.98941,1.01132,0.0,3,0,0,0,0,0,1,1,0,0,0
1976455131,11.8105,12.0324,0.0,0.0,0.0,0.0,0.989346,1.00978,0.0,3,0,0,0,0,0,1,1,0,0,0
1976959193,12.3354,12.0476,0.0,0.0,0.0,0.0,0.989285,1.00846,0.0,3,0,0,0,0,0,1,1,0,0,0
1977463122,12.2354,12.0949,0.0,0.0,0.0,0.0,0.989264,1.00266,0.0,3,0,0,0,0,0,1,1,0,0,0
1977955180,12.5229,12.0781,0.0,0.0,0.0,0.0,0.989258,1.002,0.0,3,0,0,0,0,0,1,1,0,0,0
1978459226,12.5604,12.1082,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1978963196,11.3856,12.1206,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1979467141,11.9105,12.1048,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1979971382,12.3229,12.0611,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1980463180,11.5105,12.0343,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1980967126,11.2856,11.9601,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1981471238,12.0604,11.8785,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1981963145,11.9855,11.8663,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1982467142,12.4104,11.8579,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1982971266,12.0105,11.8908,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1983475132,12.3354,11.9074,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1983967126,11.7105,11.9131,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1984471124,11.8605,11.9372,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1984975181,12.4729,11.9385,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1985479132,12.2729,11.9426,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1985983148,11.498,11.9613,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1986487135,12.3104,11.9704,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1986991137,12.2229,11.9627,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1987495127,12.3229,11.965,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1987999227,12.0354,11.9699,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1988503152,11.623,12.0058,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1989007192,11.898,12.0026,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1989499134,12.0354,11.9953,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1990003141,11.9855,12.0096,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1990507121,11.8605,12.0186,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1990999915,11.3356,12.0022,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
1991503925,12.4979,12.0104,0.0,0.0,0.0,0.0,0.989258,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
