timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
1972592056,1972509139,196,0,82.917,255,0
1982688364,1982507795,197,0,180.569,255,0
1992668595,1992507239,198,0,161.356,255,0
2002689071,2002501793,199,0,187.278,255,0
2012824215,2012505905,200,0,318.31,255,0
2022681065,2022504273,201,0,176.792,255,0
2032881147,2032501139,202,0,380.008,255,0
2042672947,2042502410,203,0,170.537,255,0
2052643164,2052506317,204,0,136.847,255,0
2062643699,2062500697,205,0,143.002,255,0
2072634278,2072508585,206,0,125.693,255,0
2082646135,2082502210,207,0,143.925,255,0
2092642296,2092507907,208,0,134.389,255,0
2102673876,2102508297,209,0,165.579,255,0
2112792067,2112505748,210,0,286.319,255,0
