timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
298433654,40.8101645908,-77.870620288,338.317,-11.2651,2.03771,-0.751367,-0.190584,1,1,0
509391066,40.810322021,-77.8705724336,339.368,6.24037,6.06517,-1.80277,0.278246,1,1,0
