timestamp,roll,pitch,yaw
299146386.0,-2.2043304285351613,-2.0685314807472395,-10.883678756852047
299178631.0,-2.204986950220192,-2.0724354805340828,-10.883480586087746
299210377.0,-2.2041920586060644,-2.0776082771047393,-10.882306561398572
299242402.0,-2.2048700163796178,-2.0811674054027414,-10.881462063418912
299274373.0,-2.2059350596439007,-2.085046727346025,-10.879815958927777
299306351.0,-2.206549560406664,-2.0883400624735766,-10.878104309671315
299338700.0,-2.206968507815313,-2.0908043879781033,-10.876211089742796
299366395.0,-2.2081882125074466,-2.0938184482773976,-10.874937323931846
299398400.0,-2.2091462631489134,-2.0952622286504483,-10.873517055539418
299430361.0,-2.209832276260082,-2.098558679714026,-10.871641572253782
299462403.0,-2.2106060323302,-2.100556170085399,-10.868983676685172
299494383.0,-2.210073255076499,-2.1024409557904713,-10.867404005001049
299526386.0,-2.2095064129609834,-2.1030103455673395,-10.865798327600242
299558547.0,-2.2099563415461545,-2.1033890320284803,-10.864251284497547
299590429.0,-2.211300897608265,-2.104212345921559,-10.863893180697731
299618642.0,-2.21095645598203,-2.105927465787609,-10.863778173267054
299650396.0,-2.210579317185252,-2.1072936054470146,-10.862611940780075
299682349.0,-2.2108065816011924,-2.107582983287624,-10.861116054889804
299714353.0,-2.210096312148152,-2.106734607319953,-10.859558178426997
299746390.0,-2.2096432698610733,-2.107850830852116,-10.858291618863133
299778468.0,-2.2104555382862983,-2.108232726001949,-10.85636741133968
299810365.0,-2.211367151536547,-2.1084116165290814,-10.854664825130977
299842424.0,-2.210884110205972,-2.108968380047717,-10.852128742210958
299870398.0,-2.2120742475997317,-2.108219596096914,-10.85056539125931
299902426.0,-2.2123489188093814,-2.1080669041278366,-10.848669211224342
299934368.0,-2.21227428106773,-2.108081430781138,-10.846925700416854
299966416.0,-2.21366741315896,-2.107996129460081,-10.845325646591238
299998648.0,-2.214893910434482,-2.1085254396248465,-10.844695059254677
300030370.0,-2.2157489498211445,-2.109889834916899,-10.843788623098929
300062367.0,-2.2161192751842003,-2.110779642960921,-10.841235560280467
300094423.0,-2.217456865510923,-2.110762132638343,-10.839239372318039
300122388.0,-2.2171876324320055,-2.11184447241757,-10.838249432835367
300154384.0,-2.216807043204264,-2.112840930442349,-10.835949753806556
300186362.0,-2.218999066227675,-2.1137410895717466,-10.834844993666971
300218364.0,-2.2197859985311057,-2.1135991957392877,-10.833312866457792
300250409.0,-2.220663993570325,-2.112865705851107,-10.831719102677326
300282374.0,-2.2210248663794303,-2.1130765245281933,-10.830269001733171
300314370.0,-2.221685383219051,-2.1130792940405363,-10.827957229983989
300346446.0,-2.222642097523243,-2.11186023992013,-10.826463004368007
300374589.0,-2.2234537594260804,-2.1115717073709583,-10.82496774276084
300406390.0,-2.224841570388794,-2.1097961383009687,-10.822952419602666
300438463.0,-2.226209783317774,-2.1078384164330353,-10.821696342460067
