timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
299146166,299146041,0.00378584,0.00867595,-0.0192947,0.0,0.0,0.0,0.0,-1.0
299250166,299250041,0.00341649,0.00936545,-0.0192591,0.0,0.0,0.0,0.0,-1.0
299350165,299350050,0.00262433,0.00904224,-0.0193519,0.0,0.0,0.0,0.0,-1.0
299450218,299450074,0.00221012,0.00924553,-0.0192508,0.0,0.0,0.0,0.0,-1.0
299554169,299554041,0.00649213,0.00912506,-0.0192195,0.0,0.0,0.0,0.0,-1.0
299654173,299654041,0.00621013,0.00951057,-0.0190717,0.0,0.0,0.0,0.0,-1.0
299758262,299758077,0.00584677,0.00946862,-0.0190149,0.0,0.0,0.0,0.0,-1.0
299862177,299862049,0.00642727,0.0106862,-0.019113,0.0,0.0,0.0,0.0,-1.0
299962166,299962041,0.00517375,0.00938474,-0.0191829,0.0,0.0,0.0,0.0,-1.0
300066211,300066075,0.00507261,0.0095664,-0.0193203,0.0,0.0,0.0,0.0,-1.0
300166158,300166042,0.0051845,0.00963114,-0.0191001,0.0,0.0,0.0,0.0,-1.0
300266179,300266041,0.00497815,0.00941468,-0.0191292,0.0,0.0,0.0,0.0,-1.0
300370167,300370041,0.00512872,0.009472,-0.0192439,0.0,0.0,0.0,0.0,-1.0
300470171,300470041,0.00517275,0.00946622,-0.0191974,0.0,0.0,0.0,0.0,-1.0
300570203,300570075,0.00512572,0.0102014,-0.0191522,0.0,0.0,0.0,0.0,-1.0
300674171,300674041,0.00533704,0.00941274,-0.0189658,0.0,0.0,0.0,0.0,-1.0
300774168,300774041,0.00530862,0.00935537,-0.0191916,0.0,0.0,0.0,0.0,-1.0
300874172,300874042,0.0053108,0.00916837,-0.0188711,0.0,0.0,0.0,0.0,-1.0
300978173,300978041,0.00544485,0.00945928,-0.0189995,0.0,0.0,0.0,0.0,-1.0
301078171,301078042,0.00547772,0.00945305,-0.0191086,0.0,0.0,0.0,0.0,-1.0
301179065,301178841,0.00548716,0.00924058,-0.0191152,0.0,0.0,0.0,0.0,-1.0
301282962,301282841,0.00550314,0.00903862,-0.0190769,0.0,0.0,0.0,0.0,-1.0
301383066,301382841,0.00541094,0.00906798,-0.0191012,0.0,0.0,0.0,0.0,-1.0
301486962,301486841,0.00539388,0.00890299,-0.0192798,0.0462388,0.0,0.0,0.0,-1.0
301587061,301586841,0.00560185,0.00933906,-0.0186624,0.0882214,0.0,0.0,0.0,-1.0
301686962,301686841,0.00540505,0.0105158,-0.019382,0.0973765,0.0,0.0,0.0,-1.0
301790966,301790841,0.00538508,0.00901178,-0.0169964,0.0988867,0.0,0.0,0.0,-1.0
301890962,301890841,0.00598975,0.00863532,0.00106442,0.127131,0.0,0.0,0.0,-1.0
301990981,301990841,0.00592344,0.00920377,0.00145496,0.177268,0.0,0.0,0.0,-1.0
302094965,302094841,0.00588825,0.00867621,0.00208433,0.177103,0.0,0.0,0.0,-1.0
302194965,302194841,0.00600854,0.00858373,-0.00228731,0.177108,0.0,0.0,0.0,-1.0
302299015,302298841,0.00615039,0.00851127,0.0035356,0.174905,0.0,0.0,0.0,-1.0
302398962,302398841,0.00590131,0.00846546,0.000269448,0.172325,0.0,0.0,0.0,-1.0
302498976,302498841,0.0064236,0.00835192,-0.00048085,0.179266,0.0,0.0,0.0,-1.0
302602969,302602841,0.00602372,0.00853377,0.000294301,0.220072,0.0,0.0,0.0,-1.0
302702968,302702841,0.00657138,0.00878248,0.000111028,0.215958,0.0,0.0,0.0,-1.0
302802975,302802841,0.00754938,0.00895652,-0.000650327,0.210743,0.0,0.0,0.0,-1.0
302906964,302906841,0.00715465,0.00942188,0.000626317,0.21084,0.0,0.0,0.0,-1.0
303007060,303006841,0.00746514,0.00931926,-0.000427342,0.211931,0.0,0.0,0.0,-1.0
303110974,303110841,0.00659658,0.0109676,0.000345072,0.217129,0.0,0.0,0.0,-1.0
303211066,303210841,0.00516079,0.0119009,0.000969668,0.21022,0.0,0.0,0.0,-1.0
303310963,303310841,0.00542151,0.0118781,-0.000352158,0.21073,0.0,0.0,0.0,-1.0
303414968,303414841,0.00698591,0.0120169,0.000801285,0.213319,0.0,0.0,0.0,-1.0
303515004,303514841,0.00795382,0.012855,-0.000641892,0.209443,0.0,0.0,0.0,-1.0
303614980,303614841,0.00816845,0.012397,-0.000628999,0.209029,0.0,0.0,0.0,-1.0
303718969,303718847,0.00846854,0.0127168,0.000404489,0.211107,0.0,0.0,0.0,-1.0
303819010,303818841,0.00952709,0.0127824,0.000639455,0.215893,0.0,0.0,0.0,-1.0
303922978,303922841,0.0103725,0.0122257,0.0006774,0.214769,0.0,0.0,0.0,-1.0
304022965,304022841,0.00888198,0.014134,0.000601215,0.209889,0.0,0.0,0.0,-1.0
304122968,304122841,0.00840841,0.0156062,-0.000408707,0.246809,0.0,0.0,0.0,-1.0
304226970,304226841,0.00712616,0.016162,-0.00181809,0.262604,0.0,0.0,0.0,-1.0
304326965,304326841,0.00764693,0.0166874,0.00138502,0.292118,0.0,0.0,0.0,-1.0
304426976,304426841,0.00895673,0.0164316,-0.000906259,0.288008,0.0,0.0,0.0,-1.0
304531105,304530843,0.0104018,0.0168102,-0.00103475,0.28845,0.0,0.0,0.0,-1.0
304630963,304630841,0.00862048,0.0182457,0.00278316,0.306702,0.0,0.0,0.0,-1.0
304734975,304734841,0.00925861,0.0183743,0.000601056,0.335277,0.0,0.0,0.0,-1.0
304834965,304834841,0.011798,0.0165154,0.00468033,0.336135,0.0,0.0,0.0,-1.0
304934974,304934841,0.00669859,0.0193376,0.000370028,0.336145,0.0,0.0,0.0,-1.0
305039004,305038841,0.00626041,0.0206071,0.00729023,0.36828,0.0,0.0,0.0,-1.0
305139011,305138841,0.012058,0.0180525,0.0084322,0.37302,0.0,0.0,0.0,-1.0
305239019,305238841,0.00912581,0.0196253,0.0025114,0.370202,0.0,0.0,0.0,-1.0
305342965,305342840,0.012141,0.0191447,0.00548354,0.373489,0.0,0.0,0.0,-1.0
305442963,305442841,0.00767006,0.0217023,0.00778853,0.391138,0.0,0.0,0.0,-1.0
305546975,305546841,0.0092972,0.0200219,0.00829161,0.410768,0.0,0.0,0.0,-1.0
305646968,305646841,0.00789207,0.0187841,0.0116632,0.422616,0.0,0.0,0.0,-1.0
305747063,305746842,-0.00113611,0.00285652,0.012145,0.449467,0.0,0.0,0.0,-1.0
305850963,305850841,-0.00179375,-0.0270944,0.00842488,0.480557,0.0,0.0,0.0,-1.0
305950963,305950841,-0.0107854,-0.0209508,0.0104165,0.487785,0.0,0.0,0.0,-1.0
306050979,306050841,-0.0134534,-0.00145149,0.0122652,0.489052,0.0,0.0,0.0,-1.0
306155101,306154841,-0.00263288,0.00127958,0.011544,0.516185,0.0,0.0,0.0,-1.0
306254968,306254841,0.00484657,-0.0177357,0.00682818,0.516502,0.0,0.0,0.0,-1.0
306358978,306358841,-0.000936638,-0.0238905,0.00375977,0.48469,0.0,0.0,0.0,-1.0
306462963,306462840,-0.00913316,-0.00703051,0.000588554,0.483424,0.0,0.0,0.0,-1.0
306562963,306562841,-0.000227824,0.000283943,-0.000271174,0.484469,0.0,0.0,0.0,-1.0
306666973,306666841,0.0038276,-0.000465576,-0.00039197,0.487949,0.0,0.0,0.0,-1.0
306766966,306766841,-0.00902955,-0.00256325,-0.00582905,0.486659,0.0,0.0,0.0,-1.0
