timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
54805102,1559241617199778,408102639,-778707089,323647,289206,1.304,0.787715,4.388,15.937,0.96,2.94,100,14,0.149,-0.074,0.129,-0.013,0.954586,0,3,1,10
55008056,1559241617399778,408102625,-778707073,324136,289696,1.567,0.787769,4.414,15.965,0.96,2.94,100,14,0.801,-0.783,0.17,-0.224,0.954586,0,3,1,10
55204107,1559241617599778,408102602,-778707060,324658,290217,1.655,0.787827,4.452,16.008,0.96,2.94,100,6,1.199,-1.196,0.082,-0.358,0.954586,0,3,1,10
55406783,1559241617799778,408102574,-778707048,325189,290748,1.732,0.787887,4.498,16.054,1.0,2.96,100,6,1.408,-1.406,0.068,-0.505,0.954586,0,3,1,9
55606109,1559241617999779,408102543,-778707031,325799,291359,1.764,0.787948,4.548,16.103,1.0,2.96,100,6,1.576,-1.557,0.243,-0.58,0.954586,0,3,1,9
55806085,1559241618199778,408102547,-778707038,325850,291409,1.625,0.788005,4.604,16.186,1.02,2.94,100,6,0.13,-0.026,-0.128,-0.639,0.954586,0,3,1,9
56002089,1559241618399778,408102551,-778707044,326089,291648,1.635,0.788062,4.673,16.278,1.02,2.94,100,6,0.304,0.184,-0.241,-0.737,0.954586,0,3,1,9
56207497,1559241618599778,408102554,-778707054,326356,291916,1.569,0.788116,4.75,16.373,1.02,2.94,93,8,0.442,0.145,-0.418,-0.729,0.954586,0,3,1,9
56406169,1559241618799778,408102548,-778707070,326459,292018,1.521,0.788169,4.817,16.428,0.96,2.94,93,8,0.61,-0.24,-0.561,-0.907,0.954586,0,3,1,10
56605060,1559241618999779,408102550,-778707071,326803,292363,1.668,0.788227,4.88,16.486,0.96,2.94,93,8,0.145,0.107,-0.098,-0.899,0.954586,0,3,1,10
56807536,1559241619199778,408102559,-778707074,327222,292781,1.673,0.788286,4.941,16.549,0.96,2.94,93,8,0.474,0.441,-0.172,-0.768,0.954586,0,3,1,10
57005126,1559241619399778,408102564,-778707068,327582,293142,1.703,0.788345,5.001,16.612,0.96,2.94,93,8,0.388,0.366,0.129,-0.908,0.954586,0,3,1,10
57206115,1559241619599778,408102579,-778707061,327917,293477,1.691,0.788404,5.057,16.675,0.96,2.94,93,7,0.809,0.752,0.3,-0.892,0.954586,0,3,1,10
57401100,1559241619799778,408102589,-778707054,328232,293791,1.717,0.788463,5.111,16.745,0.96,2.94,93,7,0.636,0.595,0.226,-1.033,0.954586,0,3,1,10
57608036,1559241619999779,408102587,-778707037,328461,294021,1.804,0.788526,5.16,16.813,0.96,2.94,93,7,0.626,0.068,0.623,-0.94,0.954586,0,3,1,10
57807439,1559241620199778,408102591,-778707027,328678,294237,1.764,0.788588,5.205,16.885,0.96,2.94,93,7,0.548,0.211,0.505,-0.718,0.954586,0,3,1,10
57997118,1559241620399778,408102594,-778707032,328612,294172,1.766,0.788649,5.244,16.955,1.07,2.94,93,7,0.053,-0.026,0.047,-0.511,0.954586,0,3,1,8
58202156,1559241620599778,408102582,-778707026,328552,294112,1.786,0.788711,5.284,17.021,1.07,2.94,87,9,0.669,-0.553,0.376,-0.4,0.954586,0,3,1,8
58402089,1559241620799778,408102563,-778707030,328748,294307,1.579,0.788766,5.325,17.09,1.07,2.94,87,9,1.016,-0.997,-0.192,-0.228,0.954586,0,3,1,8
58607387,1559241620999779,408102541,-778707041,328962,294522,1.555,0.78882,5.366,17.162,1.07,2.94,87,9,1.289,-1.197,-0.478,-0.134,0.954586,0,3,1,8
58814283,1559241621199778,408102521,-778707056,329143,294702,1.58,0.788875,5.41,17.241,1.07,2.94,87,9,1.25,-1.065,-0.656,0.022,0.954586,0,3,1,8
