timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
299146591,4.79531,0.0,0,0,1,0,1,0,0
299646590,4.84204,0.0,0,0,1,0,1,0,0
300156559,4.85977,0.0,0,0,1,0,1,0,0
300656559,4.8082,0.0,0,0,1,0,1,0,0
301156561,4.77114,0.0,0,0,1,0,1,0,0
301656559,4.80015,0.0,0,0,1,0,1,0,0
302156559,4.73892,0.0,0,0,1,0,1,0,0
302656559,4.80981,0.0,0,0,1,0,1,0,0
303166590,4.80981,0.0,0,0,1,0,1,0,0
303666590,4.87749,0.0,0,0,1,0,1,0,0
304166590,4.82915,0.0,0,0,1,0,1,0,0
304676562,4.74214,0.0,0,0,1,0,1,0,0
305176559,4.84849,0.0,0,0,1,0,1,0,0
305676565,4.81143,0.0,0,0,1,0,1,0,0
306176559,4.78564,0.0,0,0,1,0,1,0,0
306676560,4.8501,0.0,0,0,1,0,1,0,0
307176560,4.76147,0.0,0,0,1,0,1,0,0
307676559,4.71152,0.0,0,0,1,0,1,0,0
308176562,4.68735,0.0,0,0,1,0,1,0,0
308686594,4.71636,0.0,0,0,1,0,1,0,0
309186590,4.77759,0.0,0,0,1,0,1,0,0
309686590,4.88394,0.0,0,0,1,0,1,0,0
310186568,4.88071,0.0,0,0,1,0,1,0,0
310686597,4.8646,0.0,0,0,1,0,1,0,0
311186597,4.81465,0.0,0,0,1,0,1,0,0
311686597,4.86138,0.0,0,0,1,0,1,0,0
312186604,4.81626,0.0,0,0,1,0,1,0,0
312686568,4.95161,0.0,0,0,1,0,1,0,0
313186612,4.86621,0.0,0,0,1,0,1,0,0
313686591,4.86621,0.0,0,0,1,0,1,0,0
314186590,4.85171,0.0,0,0,1,0,1,0,0
314696593,4.85977,0.0,0,0,1,0,1,0,0
315196559,4.85332,0.0,0,0,1,0,1,0,0
315696560,4.86621,0.0,0,0,1,0,1,0,0
316206596,4.90166,0.0,0,0,1,0,1,0,0
316706591,4.90811,0.0,0,0,1,0,1,0,0
317216566,4.8501,0.0,0,0,1,0,1,0,0
317716559,4.78887,0.0,0,0,1,0,1,0,0
318216559,4.82109,0.0,0,0,1,0,1,0,0
318726599,4.83882,0.0,0,0,1,0,1,0,0
319226597,4.86621,0.0,0,0,1,0,1,0,0
319726567,4.8791,0.0,0,0,1,0,1,0,0
320226590,4.86138,0.0,0,0,1,0,1,0,0
320736560,4.86299,0.0,0,0,1,0,1,0,0
321236560,4.76147,0.0,0,0,1,0,1,0,0
321736559,4.88555,0.0,0,0,1,0,1,0,0
322236559,4.86621,0.0,0,0,1,0,1,0,0
322736559,4.93872,0.0,0,0,1,0,1,0,0
323236559,4.8936,0.0,0,0,1,0,1,0,0
323736559,4.89199,0.0,0,0,1,0,1,0,0
324236559,4.90166,0.0,0,0,1,0,1,0,0
324736559,4.83076,0.0,0,0,1,0,1,0,0
325246590,4.8082,0.0,0,0,1,0,1,0,0
325746597,4.90166,0.0,0,0,1,0,1,0,0
326246598,4.83882,0.0,0,0,1,0,1,0,0
326746575,4.87266,0.0,0,0,1,0,1,0,0
327246590,4.8082,0.0,0,0,1,0,1,0,0
327746590,4.80176,0.0,0,0,1,0,1,0,0
328246590,4.87588,0.0,0,0,1,0,1,0,0
