timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
35553539,0.186894,0.00187499,0.0446732
44680346,0.185299,0.00188444,0.0443328
44880267,0.180969,0.00198641,0.0387889
45084531,0.178913,0.00227586,0.0314348
45288285,0.176244,0.00202134,0.0388113
45488304,0.190348,0.00213152,0.042327
