timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
76046569,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
77056181,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
78065351,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
79068174,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80076175,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
81082140,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
82091580,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
83099550,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
84099670,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
85104522,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
86107794,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
87108139,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
88108330,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
89108563,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
90121099,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
91129109,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
92129746,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
93137275,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
94137333,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
95145641,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
96156238,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
97157763,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
98166253,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
99166255,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
100170142,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
101174138,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
102176279,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
103182142,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
104184063,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
105187151,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
106190139,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
107193816,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
108199122,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
109205550,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
110210148,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
111215061,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
112217847,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
113220055,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
114224060,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
115227066,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
116233559,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
117234238,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
118236055,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
119239060,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
120242114,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
121248164,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
122256062,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
123264148,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
124272189,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
125282119,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
126290162,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
127296179,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
128297914,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
129299132,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
130305643,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
131310411,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
132314155,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
133317447,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
134320222,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
135323126,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
136325256,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
137328166,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
138330183,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
139333275,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
140336158,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
141339352,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
142343060,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
143345512,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
144352057,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
145355103,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
146360361,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
147366138,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
148371084,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
149375058,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
150379198,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
151382161,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
152388170,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
153390188,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
154394137,3080239,2162703,3080239,15,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
