timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
412702150,15.4283,15.2947,0.0,0.00297405,0.0,198.792,0.589599,1.05902,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
413210152,15.0054,15.2565,0.0,0.0109716,0.0,198.794,0.577499,1.06087,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
413718140,15.2242,15.2181,1.1134,0.80707,0.0,198.988,0.563488,1.06301,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
414214124,14.8596,15.1459,3.6039,2.65631,0.0,199.532,0.532895,1.06773,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
414722141,15.1804,15.1246,1.6994,2.19699,0.0,199.807,0.524692,1.069,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
415217375,14.9617,15.1205,1.6115,1.87385,0.0,200.031,0.523783,1.06914,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
415725348,15.2971,15.1371,1.4357,1.70967,0.0,200.254,0.531978,1.06787,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
416221381,15.2679,15.1546,1.758,1.68657,0.0,200.485,0.540376,1.06657,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
416729364,15.1075,15.1702,1.4357,1.63969,0.0,200.712,0.547747,1.06544,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
417224540,15.2533,15.1807,1.7287,1.66935,0.0,200.945,0.552672,1.06468,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
417720560,15.195,15.1844,1.8752,1.64545,0.0,201.171,0.554471,1.0644,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
418228652,15.3408,15.187,1.6408,1.66676,0.0,201.407,0.555764,1.0642,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
418724544,15.195,15.1906,1.9631,1.66925,0.0,201.636,0.557461,1.06394,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
419231786,15.1367,15.1881,1.4357,1.65615,0.0,201.868,0.556328,1.06411,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
419727742,15.1367,15.1822,1.9631,1.63757,0.0,202.092,0.55368,1.06452,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
420223761,15.2387,15.1808,1.758,1.65375,0.0,202.322,0.553053,1.06462,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
420731735,15.1075,15.1743,1.758,1.66641,0.0,202.557,0.550135,1.06507,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
421227766,15.2971,15.1771,1.5236,1.65274,0.0,202.783,0.551409,1.06487,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
