timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
1745108044,inf,1,0,0,0
1746121085,inf,1,0,0,0
1747124163,inf,1,0,0,0
1747811037,inf,0,0,1,0
1748831051,inf,0,0,1,0
1749847029,inf,0,0,1,0
1750866373,inf,0,0,1,0
1751884027,inf,0,0,1,0
1752155041,inf,0,0,0,0
1753160348,inf,0,0,0,0
1754167911,inf,0,0,0,0
1755173032,inf,0,0,0,0
1756177053,inf,0,0,0,0
1757183935,inf,0,0,0,0
1758186099,inf,0,0,0,0
1759196041,inf,0,0,0,0
1760202100,inf,0,0,0,0
1761208040,inf,0,0,0,0
1762216034,inf,0,0,0,0
1763226101,inf,0,0,0,0
1764232029,inf,0,0,0,0
1765242111,inf,0,0,0,0
1766247888,inf,0,0,0,0
1767256148,inf,0,0,0,0
1768258131,inf,0,0,0,0
1769272809,inf,0,0,0,0
1770274326,inf,0,0,0,0
1771279038,inf,0,0,0,0
1772279082,inf,0,0,0,0
1773283027,inf,0,0,0,0
1774286157,inf,0,0,0,0
1775292158,inf,0,0,0,0
1776311039,inf,0,0,0,0
1777311087,inf,0,0,0,0
1778314079,inf,0,0,0,0
1779316047,inf,0,0,0,0
1780319029,inf,0,0,0,0
1781322106,inf,0,0,0,0
1782343027,inf,0,0,0,0
1783362111,inf,0,0,0,0
1784364029,inf,0,0,0,0
1785364040,inf,0,0,0,0
1786383039,inf,0,0,0,0
1787384030,inf,0,0,0,0
1788401027,inf,0,0,0,0
1789416060,inf,0,0,0,0
1790433042,inf,0,0,0,0
1791454332,inf,0,0,0,0
1792469027,inf,0,0,0,0
1793488030,inf,0,0,0,0
1794491591,inf,0,0,0,0
1795510218,inf,0,0,0,0
1796513038,inf,0,0,0,0
1797522437,inf,0,0,0,0
1798541027,inf,0,0,0,0
1799555028,inf,0,0,0,0
1800573027,inf,0,0,0,0
1801589027,inf,0,0,0,0
1802609048,inf,0,0,0,0
1803629051,inf,0,0,0,0
1804649030,inf,0,0,0,0
1805649044,inf,0,0,0,0
1806668040,inf,0,0,0,0
1807687031,inf,0,0,0,0
1808707030,inf,0,0,0,0
1809724158,inf,0,0,0,0
1810725088,inf,0,0,0,0
1811730132,inf,0,0,0,0
1812750102,inf,0,0,0,0
1813755946,inf,0,0,0,0
1814765032,inf,0,0,0,0
1815776686,inf,0,0,0,0
1816795991,inf,0,0,0,0
1817801045,inf,0,0,0,0
1818808158,inf,0,0,0,0
1819814100,inf,0,0,0,0
1820819752,inf,0,0,0,0
1821824355,inf,0,0,0,0
1822835730,inf,0,0,0,0
1823838206,inf,0,0,0,0
1824851886,inf,0,0,0,0
1825861034,inf,0,0,0,0
1826869027,inf,0,0,0,0
1827884040,inf,0,0,0,0
1828889751,inf,0,0,0,0
1829893034,inf,0,0,0,0
