timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
46890918,0.0,-0.0,0.475198,0.0,0.971906,0.0,0.0,0.23537,0.0,-1.0,1,0,0,0,0,0,0
46994913,0.0,-0.0,0.475232,0.0,0.971902,0.0,0.0,0.235386,0.0,-1.0,1,0,0,0,0,0,0
47094633,0.0,-0.0,0.475268,0.0,0.971898,0.0,0.0,0.235404,0.0,-1.0,1,0,0,0,0,0,0
47198664,0.0,-0.0,0.475238,0.0,0.971901,0.0,0.0,0.235389,0.0,-1.0,1,0,0,0,0,0,0
47299954,0.0,-0.0,0.475142,0.0,0.971912,0.0,0.0,0.235343,0.0,-1.0,1,0,0,0,0,0,0
47398682,0.0,-0.0,0.475019,0.0,0.971927,0.0,0.0,0.235283,0.0,-1.0,1,0,0,0,0,0,0
47502694,0.0,-0.0,0.474936,0.0,0.971937,0.0,0.0,0.235243,0.0,-1.0,1,0,0,0,0,0,0
47603229,0.0,-0.0,0.474821,0.0,0.97195,0.0,0.0,0.235187,0.0,-1.0,1,0,0,0,0,0,0
47702702,0.0,-0.0,0.474747,0.0,0.971959,0.0,0.0,0.235151,0.0,-1.0,1,0,0,0,0,0,0
47806722,0.0,-0.0,0.474684,0.0,0.971966,0.0,0.0,0.23512,0.0,-1.0,1,0,0,0,0,0,0
47907236,0.0,-0.0,0.474639,0.0,0.971972,0.0,0.0,0.235098,0.0,-1.0,1,0,0,0,0,0,0
48011162,0.0,-0.0,0.474547,0.0,0.971982,0.0,0.0,0.235053,0.0,-1.0,1,0,0,0,0,0,0
48110658,0.0,-0.0,0.474413,0.0,0.971998,0.0,0.0,0.234988,0.0,-1.0,1,0,0,0,0,0,0
48211192,0.0,-0.0,0.474383,0.0,0.972002,0.0,0.0,0.234974,0.0,-1.0,1,0,0,0,0,0,0
48315048,0.0,-0.0,0.47442,0.0,0.971997,0.0,0.0,0.234992,0.0,-1.0,1,0,0,0,0,0,0
48414655,0.0,-0.0,0.474447,0.0,0.971994,0.0,0.0,0.235005,0.0,-1.0,1,0,0,0,0,0,0
48515247,0.0,-0.0,0.474412,0.0,0.971998,0.0,0.0,0.234988,0.0,-1.0,1,0,0,0,0,0,0
48619355,0.0,-0.0,0.474315,0.0,0.97201,0.0,0.0,0.23494,0.0,-1.0,1,0,0,0,0,0,0
48718782,0.0,-0.0,0.474189,0.0,0.972025,0.0,0.0,0.23488,0.0,-1.0,1,0,0,0,0,0,0
48822753,0.0,-0.0,0.474033,0.0,0.972043,0.0,0.0,0.234803,0.0,-1.0,1,0,0,0,0,0,0
48923127,0.0,-0.0,0.473926,0.0,0.972055,0.0,0.0,0.234752,0.0,-1.0,1,0,0,0,0,0,0
49022657,0.0,-0.0,0.47378,0.0,0.972072,0.0,0.0,0.234681,0.0,-1.0,1,0,0,0,0,0,0
49126713,0.0,-0.0,0.47368,0.0,0.972084,0.0,0.0,0.234632,0.0,-1.0,1,0,0,0,0,0,0
49227085,0.0,-0.0,0.473658,0.0,0.972087,0.0,0.0,0.234621,0.0,-1.0,1,0,0,0,0,0,0
49326760,0.0,-0.0,0.473632,0.0,0.97209,0.0,0.0,0.234609,0.0,-1.0,1,0,0,0,0,0,0
49430624,0.0,-0.0,0.473588,0.0,0.972095,0.0,0.0,0.234587,0.0,-1.0,1,0,0,0,0,0,0
49531195,0.0,-0.0,0.473509,0.0,0.972104,0.0,0.0,0.234549,0.0,-1.0,1,0,0,0,0,0,0
49635819,0.0,-0.0,0.473439,0.0,0.972112,0.0,0.0,0.234515,0.0,-1.0,1,0,0,0,0,0,0
49739085,0.0,-0.0,0.473306,0.0,0.972128,0.0,0.0,0.23445,0.0,-1.0,1,0,0,0,0,0,0
49838649,0.0,-0.0,0.473183,0.0,0.972143,0.0,0.0,0.234391,0.0,-1.0,1,0,0,0,0,0,0
