timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
33349960,4.97256,3.329,1,1,3,1,1,0,0
33849959,5.04346,3.33384,1,1,3,1,1,0,0
34349964,4.97095,3.32739,1,1,3,1,1,0,0
34859959,5.05957,3.32578,1,1,3,1,1,0,0
35359960,4.96289,3.32417,1,1,3,1,1,0,0
35859959,5.04346,3.329,1,1,3,1,1,0,0
36359959,5.03701,3.32739,1,1,3,1,1,0,0
36859959,5.03862,3.32578,1,1,3,1,1,0,0
37359959,5.03218,3.32578,1,1,3,1,1,0,0
37859960,5.03057,3.32578,1,1,3,1,1,0,0
38369959,5.03862,3.32739,1,1,3,1,1,0,0
38869960,5.03379,3.32256,1,1,3,1,1,0,0
39370001,5.05151,3.32739,1,1,3,1,1,0,0
39869971,5.03057,3.32256,1,1,3,1,1,0,0
40369959,5.04023,3.32739,1,1,3,1,1,0,0
40869964,5.04023,3.329,1,1,3,1,1,0,0
41369965,5.00801,3.32739,1,1,3,1,1,0,0
41869959,5.03057,3.32417,1,1,3,1,1,0,0
42369959,5.05635,3.32578,1,1,3,1,1,0,0
42869974,5.03218,3.32739,1,1,3,1,1,0,0
43379959,5.04023,3.329,1,1,3,1,1,0,0
43879959,5.05151,3.32578,1,1,3,1,1,0,0
44379961,5.06118,3.33545,1,1,3,1,1,0,0
44879959,5.05635,3.32739,1,1,3,1,1,0,0
45379959,5.04668,3.33062,1,1,3,1,1,0,0
45879959,5.05474,3.32739,1,1,3,1,1,0,0
46389959,5.04829,3.33223,1,1,3,1,1,0,0
46889959,5.04507,3.33223,1,1,3,1,1,0,0
47389959,5.05474,3.32578,1,1,3,1,1,0,0
47889968,5.04023,3.329,1,1,3,1,1,0,0
48390006,5.0499,3.32578,1,1,3,1,1,0,0
48889996,4.99673,3.32578,1,1,3,1,1,0,0
49389994,5.04829,3.32578,1,1,3,1,1,0,0
50389961,5.04346,3.32739,1,1,3,1,1,0,0
50899959,5.01929,3.32256,1,1,3,1,1,0,0
51399959,5.04346,3.32578,1,1,3,1,1,0,0
51899973,5.00479,3.32578,1,1,3,1,1,0,0
52399960,5.06602,3.32417,1,1,3,1,1,0,0
52899964,5.03379,3.32739,1,1,3,1,1,0,0
53399959,5.04185,3.32578,1,1,3,1,1,0,0
53899975,5.01606,3.32578,1,1,3,1,1,0,0
54409991,5.04507,3.32739,1,1,3,1,1,0,0
54909996,5.02734,3.32578,1,1,3,1,1,0,0
55409961,4.99834,3.32739,1,1,3,1,1,0,0
55909960,5.04668,3.32739,1,1,3,1,1,0,0
56409967,5.03218,3.32256,1,1,3,1,1,0,0
56909961,5.03701,3.329,1,1,3,1,1,0,0
57419960,5.03862,3.33223,1,1,3,1,1,0,0
57919965,5.04185,3.32578,1,1,3,1,1,0,0
58419961,5.04185,3.32739,1,1,3,1,1,0,0
58919959,5.03057,3.32578,1,1,3,1,1,0,0
59419964,5.03701,3.32578,1,1,3,1,1,0,0
59919959,5.03379,3.32739,1,1,3,1,1,0,0
60419959,5.04507,3.33223,1,1,3,1,1,0,0
60919959,5.03218,3.329,1,1,3,1,1,0,0
61419959,5.05312,3.32578,1,1,3,1,1,0,0
61919959,5.03218,3.32739,1,1,3,1,1,0,0
62419959,5.03218,3.32578,1,1,3,1,1,0,0
62929990,5.02412,3.32578,1,1,3,1,1,0,0
63429961,5.02734,3.33545,1,1,3,1,1,0,0
63929990,5.03218,3.32578,1,1,3,1,1,0,0
