timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
299146386,0.995126,-0.0208757,-0.0162627,-0.0949976,0.0468055,-0.105763,0.04621,-11.051,1.93128,-0.739329,-1.26281e-05,5.1619e-06,5.67805e-06,-1.94716e-05,-0.000265745,0.00034745,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,6.71387e-11,1.39485e-05,0.000238036,5.55844e-07,1.38785e-05,1.64896e-05,3.57985e-05,0.0632585,0.0632641,0.0346426,1.03947,1.03948,0.666387,1.197e-11,1.19708e-11,1.8097e-11,2.4576e-07,1.80614e-07,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.44186,0.816325,0.0321233,0.101617,0.00679674,0.00295861,0.0,0.0,0.0,3.4e-05,32,0,0,831,0,0,0,0
299350570,0.995129,-0.0209316,-0.0164399,-0.0949258,0.078778,-0.116092,0.0399868,-10.9627,1.88703,-0.792214,-1.26048e-05,5.2954e-06,5.61433e-06,-1.93902e-05,-0.000265605,0.000349249,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,6.82902e-11,1.40423e-05,0.000247725,5.54575e-07,1.36976e-05,1.63088e-05,3.57932e-05,0.0598402,0.0598454,0.0324022,0.979105,0.979109,0.602226,1.18843e-11,1.18852e-11,1.80955e-11,2.4576e-07,1.80614e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.39936,0.776032,0.0333735,0.0626013,0.00770931,0.0633682,0.0,0.0,0.0,0.000209,32,0,0,831,0,0,0,0
299554396,0.995135,-0.0209201,-0.016482,-0.0948511,0.0913973,-0.117942,0.0478134,-10.9359,1.86803,-0.765674,-1.26118e-05,5.30709e-06,5.54951e-06,-1.94022e-05,-0.000265611,0.000344176,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.37554e-11,1.41751e-05,0.000252457,5.53211e-07,1.37077e-05,1.63188e-05,3.57688e-05,0.0600583,0.0600636,0.0337382,0.982894,0.982899,0.642839,1.18885e-11,1.18895e-11,1.80902e-11,2.4576e-07,1.80615e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.40207,0.801772,0.0170512,0.0605966,0.00670766,0.0633682,0.0,0.0,0.0,4.4e-05,32,0,0,831,0,0,0,0
299758657,0.995144,-0.0209484,-0.0164875,-0.0947489,0.103192,-0.123117,0.0549124,-10.9059,1.83742,-0.73546,-1.26004e-05,5.32151e-06,5.47805e-06,-1.93826e-05,-0.000265619,0.000338805,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.51419e-11,1.42925e-05,0.000257158,5.51929e-07,1.37281e-05,1.63391e-05,3.57643e-05,0.0604712,0.0604766,0.0351668,0.989874,0.98988,0.687981,1.18977e-11,1.18986e-11,1.80891e-11,2.45761e-07,1.80616e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.40704,0.829446,0.0114808,0.0629696,0.00731808,0.0633682,0.0,0.0,0.0,0.000269,32,0,0,831,0,0,0,0
299958455,0.995152,-0.0209675,-0.0165297,-0.0946564,0.116475,-0.130255,0.0498499,-10.8695,1.8026,-0.770341,-1.25855e-05,5.34513e-06,5.40032e-06,-1.93474e-05,-0.00026561,0.000341093,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.66232e-11,1.38902e-05,0.000252737,5.51404e-07,1.37457e-05,1.63567e-05,3.57971e-05,0.0608191,0.0608247,0.0331613,0.995084,0.99509,0.6235,1.19057e-11,1.19066e-11,1.80957e-11,2.45761e-07,1.80617e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.41074,0.78962,0.0351025,0.0616863,0.00782835,0.0378922,0.0,0.0,0.0,0.000101,32,0,0,831,0,0,0,0
300162453,0.995161,-0.0210439,-0.0164794,-0.0945533,0.121345,-0.138828,0.0563291,-10.856,1.75863,-0.741549,-1.25468e-05,5.32546e-06,5.32778e-06,-1.9289e-05,-0.000265668,0.000335973,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.20399e-11,1.37175e-05,0.000250963,5.4993e-07,1.37652e-05,1.63762e-05,3.57728e-05,0.0612058,0.0612115,0.034536,1.00096,1.00097,0.665799,1.19146e-11,1.19155e-11,1.80905e-11,2.45762e-07,1.80618e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.4149,0.815965,0.0165091,0.0627464,0.00616896,0.0378922,0.0,0.0,0.0,0.0001,32,0,0,831,0,0,0,0
300366347,0.995168,-0.0210477,-0.0164025,-0.0944924,0.118339,-0.139114,0.0601732,-10.8666,1.73777,-0.71731,-1.25465e-05,5.25315e-06,5.262e-06,-1.93109e-05,-0.000265784,0.000332556,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.25053e-11,1.41683e-05,0.000253878,5.48924e-07,1.38465e-05,1.64573e-05,3.57681e-05,0.0625767,0.0625827,0.0361227,1.01727,1.01727,0.714253,1.19539e-11,1.19548e-11,1.80894e-11,2.45762e-07,1.80619e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.42637,0.845135,0.031449,0.0666421,0.00219103,0.0378922,0.0,0.0,0.0,-5e-06,32,0,0,831,0,0,0,0
300570396,0.995178,-0.0210491,-0.0163334,-0.0943981,0.119593,-0.141495,0.0562908,-10.8663,1.7139,-0.73803,-1.25449e-05,5.20945e-06,5.19413e-06,-1.93156e-05,-0.000265854,0.000334949,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.32298e-11,1.41972e-05,0.000249107,5.48255e-07,1.39586e-05,1.65694e-05,3.58012e-05,0.0644526,0.064459,0.0342478,1.03849,1.0385,0.649208,1.20083e-11,1.20091e-11,1.80961e-11,2.45763e-07,1.8062e-07,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.44117,0.805735,0.0352391,0.0512153,0.00220766,0.0230206,0.0,0.0,0.0,1e-05,32,0,0,831,0,0,0,0
300770362,0.995181,-0.0210772,-0.0162866,-0.0943729,0.121871,-0.144379,0.0589088,-10.8628,1.68799,-0.721926,-1.25414e-05,5.17616e-06,5.15424e-06,-1.93188e-05,-0.000265909,0.000333565,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.03418e-11,1.39125e-05,0.000251167,5.46953e-07,1.40899e-05,1.67006e-05,3.57771e-05,0.0667416,0.0667486,0.0358875,1.06691,1.06692,0.696265,1.20711e-11,1.20719e-11,1.80911e-11,2.45763e-07,1.80621e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.46077,0.834425,0.0239303,0.0429287,0.00411086,0.0230206,0.0,0.0,0.0,1e-05,40,0,0,831,0,0,0,0
300974351,0.995186,-0.0210991,-0.0162828,-0.0943074,0.125061,-0.147933,0.0521846,-10.857,1.65953,-0.759057,-1.25391e-05,5.14797e-06,5.09483e-06,-1.93133e-05,-0.000265952,0.000338519,0.182416,-0.00237416,0.430962,-0.0763665,0.0301919,0.0441598,0.0,0.0,0.0,7.32269e-11,1.41265e-05,0.000250708,5.45904e-07,1.42432e-05,1.68538e-05,3.57723e-05,0.06958,0.0695877,0.0340781,1.10694,1.10696,0.634655,1.21428e-11,1.21435e-11,1.809e-11,2.45764e-07,1.80622e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,1.48792,0.796652,0.0307138,0.0376806,0.00704094,0.0311219,0.0,0.0,0.0,-1e-06,40,0,0,831,0,0,0,0
