timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
299095105,1559238965399532,408101681,-778706207,345682,311241,1.269,0.763484,4.632,6.953,0.85,1.21,101,6,0.464,0.389,-0.254,0.635,4.53921,0,3,1,11
299295104,1559238965599532,408101687,-778706212,345477,311037,1.258,0.763529,4.645,6.967,0.74,1.17,101,6,0.325,0.25,-0.207,0.646,4.53921,0,3,1,12
299493033,1559238965799532,408101689,-778706215,345239,310799,1.254,0.763574,4.662,6.985,0.86,1.15,101,6,0.157,0.114,-0.108,0.615,4.53921,0,3,1,11
299695246,1559238965999533,408101693,-778706220,345024,310584,1.264,0.763619,4.679,7.005,0.84,1.13,101,6,0.226,0.119,-0.191,0.649,4.53921,0,3,1,12
299893037,1559238966199532,408101697,-778706226,344832,310391,1.294,0.763666,4.699,7.027,0.85,1.21,101,6,0.285,0.171,-0.228,0.646,4.53921,0,3,1,11
300092033,1559238966399532,408101697,-778706233,344495,310055,1.308,0.763713,4.727,7.064,0.76,1.19,94,6,0.301,-0.036,-0.299,0.669,4.53921,0,3,1,11
300298911,1559238966599532,408101689,-778706233,344316,309876,1.642,0.763772,4.789,7.135,0.76,1.19,94,6,0.427,-0.423,-0.057,0.655,4.53921,0,3,1,11
300495383,1559238966799532,408101682,-778706235,344186,309745,2.139,0.763849,4.931,7.228,0.88,1.38,94,6,0.436,-0.425,-0.095,0.639,4.53921,0,3,1,9
300695125,1559238966999533,408101674,-778706238,344056,309616,2.575,0.763941,5.201,7.34,0.87,1.24,94,6,0.446,-0.428,-0.126,0.63,4.53921,0,3,1,10
300893097,1559238967199532,408101666,-778706241,343928,309488,2.954,0.764047,5.639,7.479,0.74,1.17,94,6,0.452,-0.429,-0.142,0.626,4.53921,0,3,1,12
301097058,1559238967399532,408101658,-778706244,343800,309360,3.296,0.764165,6.253,7.647,0.74,1.17,82,11,0.459,-0.431,-0.158,0.622,4.53921,0,3,1,12
301299707,1559238967599532,408101651,-778706243,343660,309220,3.455,0.764289,7.03,7.849,0.74,1.07,82,11,0.425,-0.421,-0.054,0.649,4.53921,0,3,1,13
301498142,1559238967799532,408101644,-778706234,343502,309062,3.307,0.764408,7.96,8.09,0.74,1.07,82,11,0.436,-0.4,0.175,0.707,4.53921,0,3,1,13
301698138,1559238967999533,408101635,-778706253,343408,308968,4.287,0.764562,9.024,8.37,0.74,1.07,82,11,0.572,-0.45,-0.353,0.578,4.53921,0,3,1,13
301909042,1559238968199532,408101626,-778706275,343318,308878,4.468,0.764722,10.21,8.693,0.74,1.07,82,11,0.827,-0.481,-0.673,0.502,4.53921,0,3,1,13
302101095,1559238968399532,408101619,-778706264,343158,308717,4.473,0.764882,11.514,9.059,0.74,1.07,76,4,0.434,-0.425,-0.089,0.642,4.53921,0,3,1,13
302291772,1559238968599532,408101613,-778706243,342977,308537,3.645,0.765013,12.919,9.469,0.74,1.07,76,4,0.536,-0.38,0.377,0.755,4.53921,0,3,1,13
302501158,1559238968799532,408101711,-778706330,342377,307937,3.587,0.765141,12.885,9.607,0.73,1.05,76,4,0.831,0.523,-0.645,0.998,4.53921,0,3,1,13
302701111,1559238968999533,408101766,-778706330,341891,307450,2.943,0.765247,13.431,9.879,0.73,1.05,76,4,0.989,0.989,-0.037,1.341,4.53921,0,3,1,13
302896637,1559238969199532,408101833,-778706304,342165,307725,1.999,0.765319,10.327,9.073,0.72,1.1,76,4,1.093,1.06,0.266,0.838,4.53921,0,3,1,13
303102110,1559238969399532,408101829,-778706326,341857,307417,2.159,0.765396,10.412,9.166,0.71,1.02,82,7,0.9,0.802,-0.409,0.95,4.53921,0,3,1,14
