timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
299146873,-0.0340273,-0.0268789,-0.189499,-0.150581,0.995259,-0.0182063,-0.0117674,-0.094813,0.0,-1.0,1,0,0,0,0,0,0
299250739,-0.034027,-0.0263607,-0.189459,-0.150581,0.995265,-0.0181814,-0.0115099,-0.094789,0.0,-1.0,1,0,0,0,0,0,0
299351981,-0.0350571,-0.0268771,-0.189337,-0.150581,0.995257,-0.0187177,-0.0117192,-0.0947386,0.0,-1.0,1,0,0,0,0,0,0
299450871,-0.0354956,-0.0268792,-0.189241,-0.150581,0.995258,-0.0189354,-0.0117004,-0.0946932,0.0,-1.0,1,0,0,0,0,0,0
299554910,-0.0309472,-0.0268798,-0.189203,-0.150581,0.9953,-0.0166718,-0.0119163,-0.0946478,0.0,-1.0,1,0,0,0,0,0,0
299654995,-0.0310683,-0.0268797,-0.189168,-0.150581,0.995301,-0.0167318,-0.0119109,-0.0946309,0.0,-1.0,1,0,0,0,0,0,0
299759420,-0.0315818,-0.0268796,-0.189087,-0.150581,0.9953,-0.0169869,-0.0118872,-0.0945935,0.0,-1.0,1,0,0,0,0,0,0
299863215,-0.031069,-0.0253221,-0.189,-0.150581,0.99532,-0.0166579,-0.0111371,-0.0945364,0.0,-1.0,1,0,0,0,0,0,0
299962758,-0.0325765,-0.0269098,-0.188847,-0.150581,0.995302,-0.0174819,-0.0118573,-0.0944803,0.0,-1.0,1,0,0,0,0,0,0
300066889,-0.0325493,-0.0268809,-0.188768,-0.150581,0.995307,-0.0174665,-0.0118448,-0.0944409,0.0,-1.0,1,0,0,0,0,0,0
300167133,-0.0325479,-0.0268793,-0.188676,-0.150581,0.995311,-0.0174652,-0.0118449,-0.0943951,0.0,-1.0,1,0,0,0,0,0,0
300266774,-0.0325479,-0.0268793,-0.188599,-0.150581,0.995315,-0.0174647,-0.0118456,-0.0943563,0.0,-1.0,1,0,0,0,0,0,0
300370750,-0.0325479,-0.0268793,-0.1885,-0.150581,0.995319,-0.0174641,-0.0118465,-0.0943071,0.0,-1.0,1,0,0,0,0,0,0
