timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
67912218,67912077,0.0169575,0.0163768,9.07377e-05,0.03,0.0,0.0,0.0,-1.0
68017004,68016872,0.0168276,0.0164796,8.1558e-05,0.03,0.0,0.0,0.0,-1.0
68117800,68117672,0.0169313,0.0165665,-6.45518e-06,0.03,0.0,0.0,0.0,-1.0
68218595,68218464,0.016909,0.0159691,-6.51002e-05,0.03,0.0,0.0,0.0,-1.0
68319400,68319273,0.0167077,0.0156482,0.00266547,0.03,0.0,0.0,0.0,-1.0
68421004,68420876,0.019603,0.0164817,0.0123395,0.03,0.0,0.0,0.0,-1.0
68521803,68521669,0.0179928,0.0153379,0.0163585,0.03,0.0,0.0,0.0,-1.0
68626610,68626471,0.0202911,0.0147226,0.00973989,0.03,0.0,0.0,0.0,-1.0
68727410,68727278,0.0199362,0.0169696,0.00416339,0.03,0.0,0.0,0.0,-1.0
68828207,68828072,0.0136981,0.0180629,0.00525283,0.03,0.0,0.0,0.0,-1.0
68928999,68928870,0.011784,0.00742508,-0.018768,0.03,0.0,0.0,0.0,-1.0
69029808,69029677,0.0200443,0.0342414,-0.0024739,0.03,0.0,0.0,0.0,-1.0
69130610,69130471,0.0229986,0.0110413,0.0185861,0.03,0.0,0.0,0.0,-1.0
69235400,69235272,0.0164355,0.022025,0.0169082,0.03,0.0,0.0,0.0,-1.0
69336200,69336064,0.00420333,0.0173482,-0.00813677,0.03,0.0,0.0,0.0,-1.0
69437796,69437670,0.00178561,0.0117392,0.0142354,0.03,0.0,0.0,0.0,-1.0
69538600,69538472,-0.00486424,0.0136413,0.0297259,0.03,0.0,0.0,0.0,-1.0
69639391,69639263,-0.00541608,0.0171862,-0.00984399,0.03,0.0,0.0,0.0,-1.0
69740207,69740073,0.0124868,0.0176036,-0.010552,0.03,0.0,0.0,0.0,-1.0
69840997,69840871,0.0227216,0.0286858,-0.00808471,0.03,0.0,0.0,0.0,-1.0
69945815,69945683,0.0112152,0.00665389,0.0226089,0.03,0.0,0.0,0.0,-1.0
70046615,70046489,0.018161,0.0134863,0.0152822,0.03,0.0,0.0,0.0,-1.0
70147401,70147276,0.0148251,0.0159945,-0.00693133,0.03,0.0,0.0,0.0,-1.0
70248206,70248073,0.0270919,0.0249464,-0.00742772,0.03,0.0,0.0,0.0,-1.0
70349007,70348874,0.00601107,0.00971168,0.00185031,0.03,0.0,0.0,0.0,-1.0
70450605,70450473,0.0201814,0.00543515,0.0216951,0.03,0.0,0.0,0.0,-1.0
70551390,70551263,0.00425505,0.00991704,0.00721253,0.03,0.0,0.0,0.0,-1.0
70656205,70656072,0.0337721,0.0254269,-0.0089252,0.03,0.0,0.0,0.0,-1.0
70757027,70756879,0.0146232,0.0182592,0.000312054,0.03,0.0,0.0,0.0,-1.0
70857798,70857669,0.0105111,0.000348294,0.0203522,0.03,0.0,0.0,0.0,-1.0
70958604,70958471,0.00624936,0.0105053,0.0100688,0.03,0.0,0.0,0.0,-1.0
71059392,71059264,0.0132118,0.0121759,-0.0103069,0.03,0.0,0.0,0.0,-1.0
71160204,71160073,0.0223548,0.0237098,-0.00457336,0.03,0.0,0.0,0.0,-1.0
71264998,71264867,0.0110216,0.00782706,0.0179893,0.03,0.0,0.0,0.0,-1.0
71365835,71365704,0.0155906,0.00810001,0.0124605,0.03,0.0,0.0,0.0,-1.0
71467382,71467256,0.0127863,0.0220459,-0.00806739,0.03,0.0,0.0,0.0,-1.0
