timestamp,roll,pitch,yaw,thrust
54937536,0.0356035,0.0208329,0.00135941,0.0
54969542,0.0356243,0.0209337,0.00136126,0.0
55001539,0.0355789,0.0208894,0.00136037,0.0
55033534,0.0355622,0.0208445,0.00135956,0.0
55065572,0.0355458,0.0209473,0.00136139,0.0
55093542,0.0355003,0.0208725,0.00135998,0.0
55125569,0.0355397,0.0207543,0.00135786,0.0
55157536,0.035491,0.0208601,0.00135972,0.0
55189563,0.0355243,0.0207604,0.00135798,0.0
55221548,0.0354809,0.0207372,0.00135748,0.0
55253536,0.0353994,0.0208508,0.00135948,0.0
55285636,0.0354836,0.0207423,0.0013576,0.0
55317545,0.0355304,0.0206817,0.00135654,0.0
55345566,0.0354608,0.0206057,0.00135509,0.0
55377536,0.0353947,0.0206266,0.00135542,0.0
55409534,0.0354532,0.0205648,0.00135433,0.0
55441534,0.0352845,0.0206703,0.00135607,0.0
55473544,0.0353179,0.0207106,0.00135687,0.0
55505534,0.0354226,0.0207115,0.00135697,0.0
55533543,0.0352303,0.0207619,0.00135769,0.0
55566336,0.0352163,0.0205774,0.00135432,0.0
55598336,0.0352849,0.0205039,0.00135305,0.0
55630341,0.0352359,0.0205213,0.00135331,0.0
55662336,0.0351865,0.0204688,0.0013523,0.0
55694342,0.0352578,0.0204643,0.00135232,0.0
55726369,0.0352949,0.0206079,0.00135494,0.0
55758344,0.0352951,0.0205336,0.0013536,0.0
55786340,0.0352864,0.0204704,0.00135247,0.0
55818336,0.0352656,0.0203627,0.0013505,0.0
55850339,0.0351503,0.0203949,0.00135096,0.0
55882341,0.0350968,0.0203153,0.00134943,0.0
55914350,0.0351686,0.0201998,0.00134738,0.0
55942342,0.0351504,0.0200944,0.00134546,0.0
55978343,0.0367946,0.0201283,0.00133546,0.0
56010345,0.040427,0.0202802,0.00131265,0.0
56042375,0.0430936,0.0202575,0.00129429,0.0
56070338,0.0433024,0.0203475,0.00129416,0.0
56102334,0.0428035,0.0203353,0.0012984,0.0
56134344,0.0412635,0.0204642,0.00131142,0.0
56166371,0.040285,0.0205302,0.00131954,0.0
56198381,0.0426141,0.0205822,0.00130405,0.0
56230336,0.043081,0.0206822,0.00130281,0.0
56262337,0.0429395,0.0208861,0.00130797,0.0
56290341,0.0412448,0.0209995,0.00132092,0.0
56322336,0.0350232,0.0211609,0.00136731,0.0
56354415,0.0348272,0.0211219,0.00136833,0.0
56386369,0.0354475,0.0211869,0.00136518,0.004231
56418335,0.0368975,0.0211694,0.00135401,0.0207274
56450339,0.0405511,0.0211384,0.00132811,0.0446609
56482338,0.0381968,0.0209448,0.00134132,0.0773332
56514336,0.0351401,0.0210761,0.00136474,0.0906137
56542372,0.0362631,0.0212054,0.00131953,0.104703
56574337,0.0394595,0.0212288,0.00120687,0.13626
56606340,0.0393541,0.0211678,0.00190196,0.140105
