timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1753451169,40.8102317578,-77.8706413371,341.92,-0.0,0.39852,-0.117176,0.0278689,0.204401,4.15995,5.04919,0.0,2,0,0,0
1753651207,40.8102331201,-77.8706399347,341.952,-0.0,0.41656,-0.0829088,0.0227048,0.204607,4.16418,5.05376,0.0,2,0,0,0
1753851258,40.8102339447,-77.8706389046,341.97,-0.0,0.422098,-0.0493124,0.0108987,0.204857,4.16451,5.05849,0.0,2,0,0,0
1754055483,40.8102347997,-77.8706380787,341.996,-0.0,0.422502,-0.0298749,0.00872129,0.204859,4.16996,5.05155,0.0,2,0,0,0
1754259162,40.8102357018,-77.8706377047,342.008,-0.0,0.428107,-0.0161791,0.00269079,0.206714,4.17322,5.05624,0.0,2,0,0,0
1754463174,40.8102363889,-77.8706375435,342.028,-0.0,0.430455,-0.00806862,0.00438028,0.206348,4.17278,5.04931,0.0,2,0,0,0
1754663170,40.8102369313,-77.8706371929,342.061,-0.0,0.424232,0.00464965,-0.0339919,0.205961,4.17442,5.0538,0.0,2,0,0,0
1754867157,40.8102372419,-77.870636674,342.114,-0.0,0.38698,0.0273008,-0.345635,0.205561,4.17555,5.05857,0.0,2,0,0,0
1755071173,40.8102373796,-77.8706372293,342.29,-0.0,0.338476,0.0306192,-0.959747,0.204959,4.14897,5.05116,0.0,2,0,0,0
1755271199,40.8102373506,-77.8706374599,342.552,-0.0,0.304639,0.0536477,-1.36928,0.205538,4.15232,5.05582,0.0,2,0,0,0
1755471218,40.8102369561,-77.8706380132,342.82,-0.0,0.277919,0.0380576,-1.39076,0.207487,4.15494,5.04889,0.0,2,0,0,0
1755675516,40.8102362573,-77.8706385666,343.054,-0.0,0.246131,0.0244619,-1.32352,0.207572,4.15778,5.05339,0.0,2,0,0,0
1755879377,40.8102362352,-77.8706384279,343.289,-0.0,0.245395,0.0272534,-1.30043,0.208015,4.1629,5.05843,0.0,2,0,0,0
1756083261,40.8102370571,-77.8706380038,343.549,-0.0,0.260587,0.0487082,-1.2616,0.208439,4.16608,5.05125,0.0,2,0,0,0
1756283178,40.8102384392,-77.8706371638,343.781,-0.0,0.314291,0.106808,-1.03287,0.207781,4.16987,5.05595,0.0,2,0,0,0
1756487168,40.8102398232,-77.8706359664,343.947,-0.0,0.359403,0.171658,-0.741137,0.208633,4.17283,5.04915,0.0,2,0,0,0
1756691157,40.8102407866,-77.8706351399,344.031,-0.0,0.374582,0.236552,-0.448144,0.207174,4.17413,5.05364,0.0,2,0,0,0
1756895173,40.8102412642,-77.870634669,344.084,-0.0,0.352336,0.246959,-0.208557,0.20683,4.17628,5.05863,0.0,2,0,0,0
1757095208,40.810241702,-77.8706342501,344.089,-0.0,0.32879,0.261518,-0.119508,0.205448,4.17242,5.05125,0.0,2,0,0,0
1757299195,40.8102419807,-77.870633733,344.098,-0.0,0.313686,0.238115,-0.141288,0.204272,4.17345,5.05588,0.0,2,0,0,0
1757503410,40.8102417229,-77.8706336492,344.132,-0.0,0.293287,0.240004,-0.00843334,0.204432,4.17468,5.04903,0.0,2,0,0,0
1757707206,40.8102409358,-77.8706336468,344.169,-0.0,0.274577,0.209908,0.123764,0.20411,4.17469,5.05348,0.0,2,0,0,0
1757907182,40.810239983,-77.8706340482,344.192,-0.0,0.23822,0.196935,0.112927,0.203601,4.17406,5.0582,0.0,2,0,0,0
1758111159,40.8102388907,-77.8706345775,344.218,-0.0,0.19301,0.160651,0.0696539,0.203104,4.17552,5.05121,0.0,2,0,0,0
1758315170,40.8102377973,-77.8706348899,344.243,-0.0,0.153045,0.143423,0.010865,0.203037,4.17546,5.05581,0.0,2,0,0,0
1758519171,40.8102366573,-77.8706348549,344.289,-0.0,0.0870154,0.154656,-0.0680069,0.202903,4.17458,5.04899,0.0,2,0,0,0
1758719251,40.8102353427,-77.8706345857,344.353,-0.0,0.0277729,0.220027,-0.137117,0.203313,4.17439,5.05344,0.0,2,0,0,0
