timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
795115277,0.0,0.0,0.0,-0.00359086,0.0136229,-0.0139465,0.0,0.0,0.0,0.00657775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257665,0.257665,4.06465,0.0,0.0,0.0,0.0901462,0.0,0.0,0.0,0.0,0.0,9.4599e-05,0.00213125,0.00615066,0.0,0.0,0.0,0.0,0.0,0.0
795320871,0.0,0.0,0.0,-0.0037048,0.013567,-0.0883789,0.0,0.0,0.0,0.0425141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257811,0.257811,4.0653,0.0,0.0,0.0,0.0901461,0.0,0.0,0.0,0.0,0.0,0.000293564,0.00346992,0.00953632,0.0,0.0,0.0,0.0,0.0,0.0
795522478,0.0,0.0,0.0,-0.00373739,0.0133119,-0.202118,0.0,0.0,0.0,0.029569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257888,0.257889,4.06569,0.0,0.0,0.0,0.0901463,0.0,0.0,0.0,0.0,0.0,0.000537521,0.00540212,0.0165367,0.0,0.0,0.0,0.0,0.0,0.0
795728079,0.0,0.0,0.0,-0.00364897,0.0129951,0.0278778,0.0,0.0,0.0,0.0202711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25793,0.257931,4.06591,0.0,0.0,0.0,0.0901467,0.0,0.0,0.0,0.0,0.0,0.000534765,0.00451047,0.0141953,0.0,0.0,0.0,0.0,0.0,0.0
795929670,0.0,0.0,0.0,-0.00344209,0.0126595,0.197998,0.0,0.0,0.0,0.0417325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257918,0.257918,4.06592,0.0,0.0,0.0,0.0901467,0.0,0.0,0.0,0.0,0.0,0.000588046,0.000826574,0.00325561,0.0,0.0,0.0,0.0,0.0,0.0
796131274,0.0,0.0,0.0,-0.00329885,0.0124133,0.256653,0.0,0.0,0.0,0.0267886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257791,0.257791,4.0654,0.0,0.0,0.0,0.0901466,0.0,0.0,0.0,0.0,0.0,0.000588773,0.00315636,0.00986777,0.0,0.0,0.0,0.0,0.0,0.0
796332877,0.0,0.0,0.0,-0.0037103,0.0117643,-0.134674,0.0,0.0,0.0,0.0131391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257621,0.257621,4.06461,0.0,0.0,0.0,0.0901464,0.0,0.0,0.0,0.0,0.0,0.000592994,0.000539142,0.00163055,0.0,0.0,0.0,0.0,0.0,0.0
796538471,0.0,0.0,0.0,-0.00333344,0.0110492,-0.0558472,0.0,0.0,0.0,0.0256689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257502,0.257502,4.06396,0.0,0.0,0.0,0.0901465,0.0,0.0,0.0,0.0,0.0,0.000618117,0.00246704,0.00756425,0.0,0.0,0.0,0.0,0.0,0.0
796740071,0.0,0.0,0.0,-0.00294838,0.011712,-0.145584,0.0,0.0,0.0,0.0151681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25772,0.25772,4.06484,0.0,0.0,0.0,0.0901465,0.0,0.0,0.0,0.0,0.0,0.000455944,0.00284552,0.00854499,0.0,0.0,0.0,0.0,0.0,0.0
796941677,0.0,0.0,0.0,-0.00232045,0.0111418,0.365997,0.0,0.0,0.0,0.0189881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257794,0.257794,4.06515,0.0,0.0,0.0,0.0901465,0.0,0.0,0.0,0.0,0.0,0.000531914,0.00498619,0.0154579,0.0,0.0,0.0,0.0,0.0,0.0
