timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
46890203,0.000704427,-0.000302365,0.00076206,0.0,0.0,0.0,0.0
46922171,-5.50613e-05,-0.000745245,0.000918011,0.0,0.0,0.0,0.0
46954178,0.000717522,0.00062684,0.000566518,0.0,0.0,0.0,0.0
46986181,0.000507446,-0.000227487,0.000878595,0.0,0.0,0.0,0.0
47018236,-0.000579454,0.000350602,0.000172519,0.0,0.0,0.0,0.0
47050185,5.36011e-05,0.000325742,0.00121429,0.0,0.0,0.0,0.0
47082278,0.000109671,-0.000454675,0.000440215,0.0,0.0,0.0,0.0
47110176,-0.000401753,-0.0011197,0.00133563,0.0,0.0,0.0,0.0
47142217,-0.000374633,-0.000524621,0.000240904,0.0,0.0,0.0,0.0
47174178,0.000219507,-0.000890751,0.000582078,0.0,0.0,0.0,0.0
47206176,-2.77183e-05,-0.000116028,0.000573595,0.0,0.0,0.0,0.0
47238217,-0.000436102,0.000155138,0.000673694,0.0,0.0,0.0,0.0
47270189,0.000336503,0.00011212,0.000542451,0.0,0.0,0.0,0.0
47302172,-5.70206e-05,-0.000401027,0.000108804,0.0,0.0,0.0,0.0
47334215,0.00102616,0.00102854,5.32126e-05,0.0,0.0,0.0,0.0
47362218,-0.000118596,-0.000689077,0.00123707,0.0,0.0,0.0,0.0
47394229,-0.000169517,0.000128922,0.00015019,0.0,0.0,0.0,0.0
47426182,0.00066052,-0.000117666,0.0016655,0.0,0.0,0.0,0.0
47458176,0.000165938,-0.000501982,-0.000310521,0.0,0.0,0.0,0.0
47490181,0.00083878,6.52039e-05,0.0003337,0.0,0.0,0.0,0.0
47522182,0.000841068,-6.69056e-05,0.000298458,0.0,0.0,0.0,0.0
47554179,-0.000200694,0.000123276,-0.000360798,0.0,0.0,0.0,0.0
47586178,0.000484233,-0.000235766,-0.000268731,0.0,0.0,0.0,0.0
47618224,-7.33972e-05,0.000258646,0.000314987,0.0,0.0,0.0,0.0
47650178,-0.000245557,0.000194642,0.000521552,0.0,0.0,0.0,0.0
47682184,-0.000516303,-0.000220233,0.000663346,0.0,0.0,0.0,0.0
47714180,0.000203334,-0.000340048,0.000475627,0.0,0.0,0.0,0.0
47746185,0.000568153,0.000112045,0.000471479,0.0,0.0,0.0,0.0
47778225,0.000345712,-0.000450563,0.000164981,0.0,0.0,0.0,0.0
47810183,-0.00026778,0.000537456,0.000998893,0.0,0.0,0.0,0.0
47842215,0.000340604,0.000266096,0.000156151,0.0,0.0,0.0,0.0
47870214,0.000260148,-0.000346309,3.99979e-05,0.0,0.0,0.0,0.0
47902181,4.03868e-06,0.000196053,0.00100217,0.0,0.0,0.0,0.0
