timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
541626474,32767,32767,32767,32767,-73,32767,32767
541630489,32767,32767,32767,32767,32767,32767,32767
541634474,32767,32767,32767,32767,-35,-48,32767
541638477,32767,32767,32767,32767,32767,32767,32767
541642464,32767,32767,32767,32767,32767,32767,32767
541646464,32767,32767,32767,32767,-45,32767,32767
541650473,32767,32767,32767,32767,32767,32767,32767
541654471,32767,32767,-68,32767,32767,32767,32767
541658473,32767,32767,32767,32767,32767,-69,32767
541662480,32767,32767,32767,32767,32767,32767,32767
541666476,32767,32767,32767,32767,32767,32767,32767
541670476,32767,32767,32767,32767,-70,32767,32767
541674464,32767,32767,32767,32767,32767,32767,32767
541678472,32767,32767,32767,32767,32767,32767,32767
541682471,32767,32767,32767,32767,-67,-88,32767
541686473,32767,32767,32767,32767,32767,32767,32767
541690473,32767,32767,32767,32767,-45,32767,32767
541694473,32767,32767,32767,32767,32767,32767,32767
541698478,32767,32767,32767,32767,32767,32767,32767
541702464,32767,32767,32767,32767,32767,-59,32767
541706473,32767,32767,32767,32767,32767,32767,32767
541710472,32767,32767,32767,32767,32767,32767,32767
541714471,32767,32767,32767,32767,-64,32767,32767
541718472,32767,32767,32767,32767,32767,32767,32767
541722474,32767,32767,32767,32767,32767,32767,32767
541726490,32767,32767,32767,32767,-64,-73,32767
541731276,32767,32767,32767,32767,32767,32767,32767
541735270,32767,32767,32767,32767,-44,32767,32767
541739265,32767,32767,32767,32767,32767,32767,32767
541743273,32767,32767,32767,32767,32767,32767,32767
541747286,32767,32767,32767,32767,32767,-56,32767
541751271,32767,32767,32767,32767,32767,32767,32767
541755269,32767,32767,32767,32767,32767,32767,32767
541759274,32767,32767,32767,32767,-63,32767,32767
541763276,32767,32767,32767,32767,32767,32767,32767
541767264,32767,32767,32767,32767,32767,32767,32767
541771271,32767,32767,32767,32767,-61,-70,32767
541775271,32767,32767,32767,32767,32767,32767,32767
541779271,32767,32767,32767,32767,32767,32767,32767
541783265,32767,32767,32767,32767,-67,32767,32767
541787271,32767,32767,32767,32767,32767,32767,32767
541791272,32767,32767,32767,32767,32767,-56,32767
541795264,32767,32767,32767,32767,32767,32767,32767
541799273,32767,32767,32767,32767,32767,32767,32767
541803271,32767,32767,32767,32767,-62,32767,32767
541807270,32767,32767,32767,32767,32767,32767,32767
541811273,32767,32767,32767,32767,32767,32767,32767
541815270,32767,32767,32767,32767,-64,-73,32767
