timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
795119589,0.217074,0.162097,0.00136863,0.0,0.0,-0.03
795155596,0.217076,0.162066,0.00136838,0.0,0.0,-0.03
795188584,0.217047,0.162127,0.00136861,0.0,0.0,-0.03
795216490,0.216955,0.162205,0.00136882,0.0,0.0,-0.03
795248565,0.216922,0.162132,0.00136797,0.0,0.0,-0.03
795280391,0.216947,0.16211,0.00136796,0.0,0.0,-0.03
795313276,0.216918,0.162087,0.0013675,0.0,0.0,-0.03
795345263,0.217041,0.161998,0.00136752,0.0,0.0,-0.03
795377290,0.216944,0.16218,0.00136851,0.0,0.0,-0.03
795405988,0.216943,0.16237,0.00137025,0.0,0.0,-0.03
795438061,0.21687,0.162067,0.001367,0.0,0.0,-0.03
795470071,0.216878,0.161909,0.00136588,0.0,0.0,-0.03
795502891,0.216944,0.162415,0.0013705,0.0,0.0,-0.03
795534882,0.216661,0.162144,0.00136634,0.0,0.0,-0.03
795562788,0.216438,0.161207,0.00135701,0.0,0.0,-0.03
795595589,0.217492,0.162353,0.00137339,0.0,0.0,-0.03
795627583,0.216007,0.162948,0.00136902,0.0,0.0,-0.03
795659583,0.216398,0.161578,0.00135991,0.0,0.0,-0.03
795691590,0.218166,0.16173,0.00137233,0.0,0.0,-0.03
795720467,0.215266,0.162109,0.00135726,0.0,0.0,-0.03
795752390,0.216129,0.161537,0.00135792,0.0,0.0,-0.03
795784397,0.218145,0.161572,0.00137092,0.0,0.0,-0.03
795817218,0.215503,0.163711,0.00137225,0.0,0.0,-0.03
795849297,0.215735,0.162349,0.00136224,0.0,0.0,-0.03
795881196,0.21681,0.159459,0.00134471,0.0,0.0,-0.03
795909998,0.216442,0.1597,0.00134441,0.0,0.0,-0.03
795941992,0.214499,0.159512,0.00133081,0.0,0.0,-0.03
795973975,0.216531,0.160023,0.0013478,0.0,0.0,-0.03
796006797,0.215851,0.163239,0.00137044,0.0,0.0,-0.03
796038795,0.214665,0.163641,0.00136633,0.0,0.0,-0.03
796066795,0.211876,0.159355,0.00131326,0.0,0.0,-0.03
796098871,0.215108,0.150032,0.00125527,0.0,0.0,-0.03
796131681,0.212933,0.141366,0.00117081,0.0,0.0,-0.03
796163593,0.21064,0.137992,0.00113045,0.0,0.0,-0.03
796195595,0.210978,0.137773,0.00113061,0.0,0.0,-0.03
796224478,0.213444,0.140137,0.00116325,0.0,0.0,-0.03
796256462,0.211973,0.143873,0.00118602,0.0,0.0,-0.03
796288553,0.211566,0.143641,0.0011819,0.0,0.0,-0.03
796321269,0.211776,0.138942,0.00114438,0.0,0.0,-0.03
796353268,0.210193,0.135634,0.00110883,0.0,0.0,-0.03
796385188,0.210807,0.138401,0.00113466,0.0,0.0,-0.03
796413270,0.211556,0.141302,0.00116267,0.0,0.0,-0.03
796446086,0.211468,0.14108,0.00116032,0.0,0.0,-0.03
796477997,0.209304,0.142876,0.00116307,0.0,0.0,-0.03
796510100,0.210126,0.146886,0.0012004,0.0,0.0,-0.03
796542781,0.209961,0.153658,0.00125484,0.0,0.0,-0.03
796570791,0.211464,0.160415,0.00131937,0.0,0.0,-0.03
796602775,0.211218,0.166107,0.00136464,0.0,0.0,-0.03
796635571,0.212389,0.16506,0.00136356,0.0,0.0,-0.03
796667689,0.216016,0.156206,0.00131243,0.0,0.0,-0.03
796699672,0.211004,0.150953,0.00123876,0.0,0.0,-0.03
796728559,0.216204,0.152321,0.00128094,0.0,0.0,-0.03
796760394,0.216437,0.157321,0.00132424,0.0,0.0,-0.03
796792473,0.214966,0.162641,0.0013598,0.0,0.0,-0.03
796824472,0.216182,0.159128,0.00133799,0.0,0.0,-0.03
796857263,0.214439,0.155766,0.00129918,0.0,0.0,-0.03
796889283,0.214491,0.151053,0.00126021,0.0,0.0,-0.03
796917277,0.215489,0.150852,0.0012643,0.0,0.0,-0.03
796950067,0.214706,0.157592,0.00131611,0.0,0.0,-0.03
796981978,0.215344,0.163011,0.00136525,0.0,0.0,-0.03
797013980,0.215798,0.163592,0.00137309,0.0,0.0,-0.03
797046868,0.215818,0.160851,0.00135019,0.0,0.0,-0.03
797074793,0.216813,0.158207,0.0013341,0.0,0.0,-0.03
797106789,0.214935,0.154667,0.00129295,0.0,0.0,-0.03
797139592,0.215574,0.154814,0.001298,0.0,0.0,-0.03
797171585,0.217348,0.160089,0.00135338,0.0,0.0,-0.03
797203586,0.216621,0.16399,0.00138159,0.0,0.0,-0.03
797235594,0.215214,0.163903,0.00137211,0.0,0.0,-0.03
797264397,0.217386,0.156962,0.00132709,0.0,0.0,-0.03
797296397,0.217604,0.152768,0.00129302,0.0,0.0,-0.03
797328530,0.215052,0.153796,0.00128633,0.0,0.0,-0.03
797361194,0.215176,0.158039,0.0013227,0.0,0.0,-0.03
797393285,0.216573,0.163094,0.00137401,0.0,0.0,-0.03
797421279,0.216553,0.163313,0.00137569,0.0,0.0,-0.03
797453984,0.215649,0.159683,0.00133932,0.0,0.0,-0.03
797485984,0.216125,0.156764,0.00131778,0.0,0.0,-0.03
797518062,0.21593,0.153738,0.00129111,0.0,0.0,-0.03
797550796,0.216007,0.154453,0.00129771,0.0,0.0,-0.03
797578796,0.216942,0.1597,0.00134759,0.0,0.0,-0.03
797610782,0.217475,0.164658,0.00139286,0.0,0.0,-0.03
797642788,0.215307,0.164488,0.00137745,0.0,0.0,-0.03
797675673,0.216798,0.15926,0.00134296,0.0,0.0,-0.03
797707597,0.217431,0.157038,0.00132811,0.0,0.0,-0.03
797739666,0.215722,0.156454,0.00131268,0.0,0.0,-0.03
797768533,0.216511,0.159108,0.0013399,0.0,0.0,-0.03
797800392,0.217274,0.162854,0.00137629,0.0,0.0,-0.03
797832468,0.217063,0.165692,0.00139897,0.0,0.0,-0.03
797865275,0.215572,0.163303,0.00136923,0.0,0.0,-0.03
797897279,0.217647,0.15976,0.0013524,0.0,0.0,-0.03
797925275,0.21693,0.155168,0.00130919,0.0,0.0,-0.03
797957197,0.2144,0.15424,0.00128621,0.0,0.0,-0.03
797989990,0.217566,0.158055,0.00133748,0.0,0.0,-0.03
798021980,0.217287,0.16279,0.00137584,0.0,0.0,-0.03
798053990,0.215619,0.163711,0.00137293,0.0,0.0,-0.03
798082786,0.217733,0.158976,0.00134618,0.0,0.0,-0.03
798114788,0.217533,0.155002,0.00131137,0.0,0.0,-0.03
798146781,0.216265,0.154029,0.0012956,0.0,0.0,-0.03
798179681,0.217691,0.15653,0.00132536,0.0,0.0,-0.03
798211584,0.216628,0.160312,0.0013508,0.0,0.0,-0.03
798243682,0.216482,0.162128,0.00136506,0.0,0.0,-0.03
798272469,0.218122,0.162122,0.0013754,0.0,0.0,-0.03
798304390,0.216769,0.161789,0.00136405,0.0,0.0,-0.03
799030072,0.217967,0.158268,0.00134176,0.0,0.0,-0.03
799062064,0.216923,0.159596,0.00134646,0.0,0.0,-0.03
799090866,0.218921,0.160092,0.00136312,0.0,0.0,-0.03
799122796,0.218327,0.161344,0.00137009,0.0,0.0,-0.03
799154785,0.217168,0.160805,0.0013583,0.0,0.0,-0.03
799187698,0.218316,0.157525,0.0013376,0.0,0.0,-0.03
799219595,0.219409,0.156506,0.00133561,0.0,0.0,-0.03
799251663,0.218381,0.157595,0.00133859,0.0,0.0,-0.03
799279667,0.218034,0.159818,0.00135538,0.0,0.0,-0.03
799312467,0.220694,0.163583,0.00140411,0.0,0.0,-0.03
799344388,0.219016,0.162505,0.00138427,0.0,0.0,-0.03
799376397,0.217556,0.159523,0.00134986,0.0,0.0,-0.03
799409277,0.21913,0.157566,0.00134293,0.0,0.0,-0.03
799437274,0.219006,0.157736,0.00134365,0.0,0.0,-0.03
799469190,0.218717,0.158734,0.00135033,0.0,0.0,-0.03
799501988,0.220255,0.158615,0.00135893,0.0,0.0,-0.03
799533990,0.219811,0.16132,0.00137925,0.0,0.0,-0.03
799566070,0.219549,0.16224,0.00138532,0.0,0.0,-0.03
799593992,0.218871,0.160653,0.00136765,0.0,0.0,-0.03
799626787,0.218454,0.157768,0.00134047,0.0,0.0,-0.03
799658800,0.219774,0.158269,0.00135294,0.0,0.0,-0.03
799690778,0.218638,0.158779,0.00135016,0.0,0.0,-0.03
799723591,0.220328,0.162122,0.00138926,0.0,0.0,-0.03
799755597,0.219166,0.161075,0.00137311,0.0,0.0,-0.03
799783676,0.217959,0.157713,0.00133703,0.0,0.0,-0.03
799816394,0.220925,0.156488,0.00134454,0.0,0.0,-0.03
799848544,0.220267,0.156873,0.00134393,0.0,0.0,-0.03
799880485,0.218196,0.159262,0.00135161,0.0,0.0,-0.03
799913195,0.220526,0.160657,0.00137801,0.0,0.0,-0.03
799941281,0.22083,0.161519,0.00138723,0.0,0.0,-0.03
799973183,0.220108,0.161122,0.00137936,0.0,0.0,-0.03
800005975,0.219897,0.160318,0.00137101,0.0,0.0,-0.03
800037993,0.219528,0.158771,0.00135565,0.0,0.0,-0.03
800070062,0.221397,0.157881,0.00135964,0.0,0.0,-0.03
800101985,0.221902,0.157222,0.00135696,0.0,0.0,-0.03
800130798,0.220243,0.158481,0.00135758,0.0,0.0,-0.03
