timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
54937742,0.00123658,-0.0030392,-0.000354599,0.99948,-0.0195173,-0.0144631,0.0212074,1.0,0.0,0.0,0.0,0
54969790,0.00266357,0.00106247,0.00100931,0.99948,-0.0195165,-0.0144645,0.0211894,1.0,0.0,0.0,0.0,0
55001778,-0.000285465,0.000276481,0.00234838,0.999481,-0.0195179,-0.0144611,0.0211658,1.0,0.0,0.0,0.0,0
55033741,-0.00253286,0.00147585,0.00161378,0.999481,-0.0195212,-0.0144538,0.021142,1.0,0.0,0.0,0.0,0
55065795,0.00258688,-0.00120123,0.00187667,0.999482,-0.0195094,-0.0144688,0.0211201,1.0,0.0,0.0,0.0,0
55093749,-0.00383611,-0.000305966,0.000838127,0.999482,-0.0195181,-0.0144594,0.021098,1.0,0.0,0.0,0.0,0
55125776,-0.00110112,0.000581997,-0.00029003,0.999483,-0.0195174,-0.0144451,0.0210614,1.0,0.0,0.0,0.0,0
55157764,0.00208424,-0.000587026,-0.000446683,0.999484,-0.0195063,-0.0144572,0.0210297,1.0,0.0,0.0,0.0,0
55189886,0.000217027,0.000747183,0.00104442,0.999485,-0.0195141,-0.0144441,0.0210022,1.0,0.0,0.0,0.0,0
55221752,-0.000645942,-0.000829822,0.000791668,0.999485,-0.0195119,-0.0144442,0.0209732,1.0,0.0,0.0,0.0,0
55254067,-0.00122946,0.000720237,-0.0011726,0.999486,-0.0195052,-0.0144517,0.0209322,1.0,0.0,0.0,0.0,0
55285932,0.00355573,0.0008147,-0.00101315,0.999487,-0.0195049,-0.0144399,0.0208903,1.0,0.0,0.0,0.0,0
55317751,-0.000603586,0.000929616,0.00199428,0.999488,-0.0195188,-0.0144327,0.0208494,1.0,0.0,0.0,0.0,0
55346132,0.000482095,0.000486877,-0.000615781,0.999489,-0.0195102,-0.0144253,0.0208112,1.0,0.0,0.0,0.0,0
55377749,0.00187802,-0.000165902,-0.000261704,0.99949,-0.0195015,-0.0144275,0.0207605,1.0,0.0,0.0,0.0,0
55409811,0.00170508,0.000963544,0.000952555,0.999491,-0.0195085,-0.0144184,0.020723,1.0,0.0,0.0,0.0,0
55441742,-0.00328838,-0.00021379,0.00129287,0.999492,-0.0195019,-0.0144304,0.0206858,1.0,0.0,0.0,0.0,0
55473768,-0.000135684,0.00291453,2.44926e-05,0.999492,-0.0194994,-0.0144276,0.0206535,1.0,0.0,0.0,0.0,0
55505779,0.0039188,0.000125266,0.000335915,0.999493,-0.019502,-0.0144327,0.0206271,1.0,0.0,0.0,0.0,0
55533750,-0.00181644,0.00247649,0.000279346,0.999493,-0.0194944,-0.0144327,0.0206149,1.0,0.0,0.0,0.0,0
55566585,0.00187762,-0.000803632,-0.000273535,0.999494,-0.0194861,-0.0144204,0.0206008,1.0,0.0,0.0,0.0,0
55598542,0.00144876,-0.000691535,-0.000144826,0.999494,-0.019494,-0.0144129,0.0205994,1.0,0.0,0.0,0.0,0
55630547,-0.00188939,-0.00182684,0.00172799,0.999494,-0.0194959,-0.0144167,0.0205927,1.0,0.0,0.0,0.0,0
55662567,-0.00181076,-0.000734375,0.000913913,0.999494,-0.0194908,-0.0144093,0.0205984,1.0,0.0,0.0,0.0,0
55694549,0.000817898,0.00270379,-1.62802e-05,0.999494,-0.0194928,-0.0144022,0.0206006,1.0,0.0,0.0,0.0,0
55726651,0.00294254,0.00100613,-0.000256907,0.999494,-0.0194918,-0.0144199,0.0206001,1.0,0.0,0.0,0.0,0
55758580,-0.00211355,-0.000321782,0.00177495,0.999494,-0.0195022,-0.0144152,0.0206007,1.0,0.0,0.0,0.0,0
55786565,0.0020111,-0.00136672,0.000534953,0.999494,-0.0194931,-0.0144109,0.0206015,1.0,0.0,0.0,0.0,0
55818572,0.00120472,-0.000452394,0.00196928,0.999494,-0.019493,-0.014398,0.020594,1.0,0.0,0.0,0.0,0
55850543,-0.00309901,-0.000400483,0.000614764,0.999495,-0.0194902,-0.0144009,0.0205808,1.0,0.0,0.0,0.0,0
55882538,-0.000854057,0.000872866,0.000574375,0.999495,-0.0194808,-0.0143898,0.0205644,1.0,0.0,0.0,0.0,0
55914591,0.00224755,0.00137975,0.00133934,0.999496,-0.0194823,-0.0143769,0.0205473,1.0,0.0,0.0,0.0,0
55942549,-0.00338716,0.000224081,0.00146335,0.999496,-0.0194922,-0.0143685,0.020529,1.0,0.0,0.0,0.0,0
55978541,-0.00147646,-0.00138536,0.00133479,0.999497,-0.0195005,-0.0143744,0.020487,1.0,0.0,0.0,0.0,0
56010562,-0.000444623,0.000457761,0.000399647,0.999497,-0.0195001,-0.0143849,0.0204399,1.0,0.0,0.0,0.0,0
56042571,0.00253259,-0.00251695,8.60077e-05,0.999498,-0.0195048,-0.0143877,0.0203975,1.0,0.0,0.0,0.0,0
56070565,-0.00313127,-0.000151839,-0.000385974,0.999499,-0.0195136,-0.0143913,0.0203516,1.0,0.0,0.0,0.0,0
56102530,0.00070345,0.000281054,-0.000706087,0.9995,-0.019518,-0.0143885,0.020311,1.0,0.0,0.0,0.0,0
56134554,0.002697,-0.000449015,-0.00122554,0.9995,-0.0195122,-0.0144022,0.0202755,1.0,0.0,0.0,0.0,0
56167074,1.15258e-05,0.000320542,0.00123923,0.999501,-0.0195183,-0.0144068,0.0202488,1.0,0.0,0.0,0.0,0
56198588,-0.00201243,-0.000107138,0.00118031,0.999501,-0.0195233,-0.0144123,0.020226,1.0,0.0,0.0,0.0,0
56230543,-0.000884896,-0.00165022,-0.000188704,0.999501,-0.0195242,-0.014425,0.0202029,1.0,0.0,0.0,0.0,0
56262582,0.0039883,-0.00303587,-0.000605547,0.999501,-0.0195206,-0.0144479,0.0201893,1.0,0.0,0.0,0.0,0
56290633,-0.00106809,-0.00167508,0.000563044,0.999501,-0.0195174,-0.0144563,0.0201827,1.0,0.0,0.0,0.0,0
56322571,0.00188361,-0.00058438,-0.000243464,0.999501,-0.0195031,-0.0144704,0.0201827,1.0,0.0,0.0,0.0,0
56354717,0.00117958,-0.00158192,0.00059114,0.999501,-0.0195089,-0.0144685,0.0201787,1.0,0.0,0.0,0.0,0
