timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
795113639,795113639,18,255,0,0,0,1511,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
795324522,795324522,18,255,0,0,0,1510,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
795523839,795523839,18,255,0,0,0,1511,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
795717765,795717765,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
795929638,795929638,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
796122898,796122898,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
796334624,796334624,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
796527107,796527107,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
796741626,796741626,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
796934711,796934711,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
797144648,797144648,18,255,0,0,0,1511,1512,1104,1521,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
797341857,797341857,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
797551143,797551143,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
797749635,797749635,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
797945541,797945541,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
798152550,798152550,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
799163744,799163744,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
799370597,799370597,18,255,0,0,0,1510,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
799566610,799566610,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
799776650,799776650,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
799975664,799975664,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
800167441,800167441,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
800381067,800381067,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
800573640,800573640,18,255,0,0,0,1510,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
800784971,800784971,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
800981636,800981636,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
801192595,801192595,18,255,0,0,0,1511,1512,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
801390585,801390585,18,255,0,0,0,1510,1509,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
801600618,801600618,18,255,0,0,0,1511,1511,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
801794530,801794530,18,255,0,0,0,1511,1511,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
802002907,802002907,18,255,0,0,0,1511,1511,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
802212596,802212596,18,255,0,0,0,1511,1511,1104,1522,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
802414459,802414459,18,255,0,0,0,1511,1511,1104,1521,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
802607594,802607594,18,255,0,0,0,1511,1511,1104,1521,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
802814918,802814918,18,255,0,0,0,1511,1511,1104,1521,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
803012591,803012591,18,255,0,0,0,1511,1511,1104,1521,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
803221798,803221798,18,255,0,0,0,1511,1511,1121,1518,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
803418108,803418108,18,255,0,0,0,1511,1511,1121,1518,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
803628954,803628954,18,255,0,0,0,1511,1511,1122,1519,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
803822596,803822596,18,255,0,0,0,1510,1511,1153,1519,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
804034580,804034580,18,255,0,0,0,1511,1511,1153,1518,964,2064,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
