timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
412437747,1608053270199679,408101978,-778705767,327877,293436,1.404,0.633376,5.392,11.596,1.06,2.04,93,13,0.405,0.38,0.141,0.441,3.20531,0,nan,0.0,3,1,8
412626762,1608053270399679,408101984,-778705766,328031,293590,1.286,0.633431,5.395,11.605,1.06,2.04,93,13,0.237,0.108,0.211,0.421,3.20531,0,nan,0.0,3,1,8
412824302,1608053270599679,408101977,-778705778,328463,294023,1.489,0.633496,5.395,11.603,1.06,2.04,93,13,0.657,-0.625,-0.202,0.183,3.20531,0,nan,0.0,3,1,8
413025771,1608053270799679,408101981,-778705775,328451,294010,1.049,0.633541,5.395,11.603,1.06,2.04,93,13,0.082,-0.017,-0.08,0.267,3.20531,0,nan,0.0,3,1,8
413228626,1608053270999680,408101979,-778705769,328219,293779,1.249,0.633595,5.392,11.595,1.06,2.04,93,11,0.267,-0.267,0.003,0.259,3.20531,0,nan,0.0,3,1,8
413428638,1608053271199679,408101980,-778705753,327835,293395,1.107,0.633643,5.391,11.588,1.06,2.04,93,11,0.355,-0.193,0.298,0.486,3.20531,0,nan,0.0,3,1,8
413622182,1608053271399679,408101981,-778705756,328135,293695,1.215,0.633696,5.389,11.578,1.06,2.04,93,11,0.245,-0.245,-0.001,0.333,3.20531,0,nan,0.0,3,1,8
413829865,1608053271599679,408101978,-778705767,328566,294126,1.334,0.633753,5.386,11.562,1.06,2.04,93,11,0.624,-0.594,-0.191,0.397,3.20531,0,nan,0.0,3,1,8
414029816,1608053271799679,408101973,-778705766,328531,294091,1.335,0.633811,5.381,11.542,1.06,2.04,93,11,0.592,-0.592,-0.011,0.271,3.20531,0,nan,0.0,3,1,8
414227743,1608053271999680,408101977,-778705759,328403,293963,1.155,0.633861,5.377,11.524,1.06,2.04,93,11,0.14,-0.126,0.062,0.337,3.20531,0,nan,0.0,3,1,8
414441001,1608053272199679,408101989,-778705750,328342,293902,1.325,0.633918,5.371,11.503,1.06,2.04,93,11,0.262,0.162,0.206,0.484,3.20531,0,nan,0.0,3,1,8
414630433,1608053272399679,408102001,-778705739,328207,293767,1.31,0.633975,5.359,11.458,1.06,2.04,93,11,0.338,0.21,0.265,0.568,3.20531,0,nan,0.0,3,1,8
414826796,1608053272599679,408102005,-778705741,328334,293894,1.106,0.634023,5.346,11.417,1.06,2.04,93,11,0.244,-0.224,-0.097,0.328,3.20531,0,nan,0.0,3,1,8
415029747,1608053272799679,408102010,-778705743,328497,294057,1.115,0.634071,5.333,11.379,1.06,2.04,93,11,0.252,-0.25,-0.03,0.375,3.20531,0,nan,0.0,3,1,8
415230664,1608053272999680,408102019,-778705742,328526,294086,0.967,0.634113,5.316,11.326,1.06,2.04,93,12,0.172,0.125,-0.118,0.238,3.20531,0,nan,0.0,3,1,8
415429734,1608053273199679,408102030,-778705740,328599,294159,1.15,0.634163,5.3,11.277,1.06,2.04,93,12,0.044,0.044,-0.005,0.327,3.20531,0,nan,0.0,3,1,8
415629796,1608053273399679,408102037,-778705742,328838,294398,1.064,0.634209,5.285,11.23,1.06,2.04,93,12,0.176,-0.175,0.02,0.281,3.20531,0,nan,0.0,3,1,8
415828633,1608053273599679,408102038,-778705749,329251,294810,1.174,0.634259,5.27,11.183,1.06,2.04,93,12,0.499,-0.484,-0.119,0.236,3.20531,0,nan,0.0,3,1,8
