timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
15405705,inf,1,0,0,0,0
16415758,inf,1,0,0,0,0
17428656,inf,1,0,0,0,0
18443710,inf,1,0,0,0,0
19444644,inf,1,0,0,0,0
20458638,inf,1,0,0,0,0
21468636,inf,1,0,0,0,0
22468644,inf,1,0,0,0,0
23482668,inf,1,0,0,0,0
24204641,inf,0,0,1,0,0
25220957,inf,0,0,1,0,0
26233697,inf,0,0,1,0,0
27248646,inf,0,0,1,0,0
28248654,inf,0,0,1,0,0
29262610,inf,0,0,1,0,0
29902644,inf,0,0,0,0,0
30913502,inf,0,0,0,0,0
31926635,inf,0,0,0,0,0
32932935,inf,0,0,0,0,0
33951446,inf,0,0,0,0,0
34963732,inf,0,0,0,0,0
35973690,inf,0,0,0,0,0
36981725,inf,0,0,0,0,0
37996215,inf,0,0,0,0,0
39013717,inf,0,0,0,0,0
40025763,inf,0,0,0,0,0
41041698,inf,0,0,0,0,0
42052646,inf,0,0,0,0,0
43066941,inf,0,0,0,0,0
45090635,inf,0,0,0,0,0
46104634,inf,0,0,0,0,0
47118635,inf,0,0,0,0,0
48137696,inf,0,0,0,0,0
49146525,inf,0,0,0,0,0
50161549,inf,0,0,0,0,0
51170655,inf,0,0,0,0,0
52184148,inf,0,0,0,0,0
53194272,inf,0,0,0,0,0
54206641,inf,0,0,0,0,0
55214654,inf,0,0,0,0,0
56229733,inf,0,0,0,0,0
57239060,inf,0,0,0,0,0
58248646,inf,0,0,0,0,0
59262641,inf,0,0,0,0,0
60280134,inf,0,0,0,0,0
61293712,inf,0,0,0,0,0
62299744,inf,0,0,0,0,0
63310178,inf,0,0,0,0,0
64329716,inf,0,0,0,0,0
65338639,inf,0,0,0,0,0
66350951,inf,0,0,0,0,0
67363750,inf,0,0,0,0,0
68379340,inf,0,0,0,0,0
69392644,inf,0,0,0,0,0
70408645,inf,0,0,0,0,0
71421715,inf,0,0,0,0,0
72436643,inf,0,0,0,0,0
73451718,inf,0,0,0,0,0
74470635,inf,0,0,0,0,0
75478642,inf,0,0,0,0,0
76494341,inf,0,0,0,0,0
77510714,inf,0,0,0,0,0
78520094,inf,0,0,0,0,0
79533714,inf,0,0,0,0,0
80544636,inf,0,0,0,0,0
81562308,inf,0,0,0,0,0
83302358,inf,0,0,1,0,0
83693253,inf,0,0,0,1,0
84024643,inf,1,0,0,0,0
85035468,inf,1,0,0,0,0
86046279,inf,1,0,0,0,0
