timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
412709673,0.9908,-0.0181962,-0.0318334,0.130271,-0.00903833,0.0177632,-0.00521482,-0.00655423,0.0131248,-3.72832,-5.99804e-05,-1.24965e-05,7.29561e-06,-1.98011e-06,0.000207563,0.000707272,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,1.3274e-10,5.84744e-06,0.00068972,7.67129e-07,5.48765e-05,5.0353e-05,3.56431e-05,0.0051698,0.00516738,0.0101831,0.00745725,0.0074562,0.0593453,1.00264e-11,1.00167e-11,1.82394e-11,1.20691e-06,1.23862e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.122121,0.243609,0.0016183,0.0,0.000266496,0.0045072,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
412911276,0.990808,-0.0182419,-0.0318425,0.130201,-0.00903391,0.0170053,-0.00979212,-0.00656888,0.0130786,-3.74112,-5.99501e-05,-1.24928e-05,7.33005e-06,-2.0296e-06,0.000207414,0.000710855,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,1.36852e-10,5.79017e-06,0.000714525,7.67643e-07,5.48694e-05,5.03465e-05,3.56788e-05,0.0051436,0.00514114,0.0101586,0.0074048,0.00740372,0.0591373,1.00242e-11,1.00144e-11,1.82488e-11,1.20691e-06,1.23862e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.12169,0.243182,0.0324643,0.0,0.000265543,0.0113728,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
413116870,0.990833,-0.018241,-0.0318384,0.130018,-0.00795818,0.0160068,-0.0110926,-0.0066862,0.0132285,-3.74414,-5.99201e-05,-1.24905e-05,7.40279e-06,-2.02941e-06,0.000207357,0.000711157,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,3.38687e-10,1.43971e-05,0.00125759,7.69338e-07,5.48799e-05,5.03571e-05,3.57881e-05,0.00522107,0.00521847,0.0102495,0.00760477,0.00760358,0.059948,1.00315e-11,1.00217e-11,1.82684e-11,1.20691e-06,1.23862e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.123322,0.244843,0.0286757,0.0,0.000267108,0.0109418,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
413314481,0.990874,-0.0182271,-0.0316904,0.129738,-0.00540386,0.0158162,-0.0125475,-0.00657606,0.0132059,-3.75194,-5.98888e-05,-1.24899e-05,7.50479e-06,-2.03855e-06,0.000207247,0.000712814,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,2.64039e-09,4.15824e-05,0.00243399,7.69142e-07,5.48858e-05,5.03627e-05,3.58215e-05,0.0052757,0.00527301,0.0103094,0.0077505,0.00774922,0.0605621,1.00377e-11,1.0028e-11,1.82751e-11,1.20691e-06,1.23862e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.124498,0.246094,0.0355843,0.0,0.000260405,0.0102726,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
413520089,0.990915,-0.0183813,-0.0317812,0.129382,-0.00735098,0.018055,-0.0146126,-0.00627582,0.0129743,-3.75934,-5.9856e-05,-1.2488e-05,7.58506e-06,-2.05553e-06,0.000207161,0.000714263,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,7.26786e-09,7.0431e-05,0.00346475,7.65751e-07,5.48796e-05,5.0353e-05,3.57578e-05,0.00524237,0.00523965,0.0102964,0.00769556,0.00769425,0.0604284,1.00315e-11,1.00218e-11,1.8258e-11,1.20691e-06,1.23862e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.124056,0.245822,0.0782024,0.0,0.000257452,0.0437746,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
413721666,0.990995,-0.018074,-0.0302619,0.129179,-0.003853,0.0134359,-0.0172382,-0.00617461,0.0125877,-3.76355,-5.98242e-05,-1.24851e-05,7.64313e-06,-2.09556e-06,0.000207141,0.000714691,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,7.97803e-09,7.09453e-05,0.00376303,7.63838e-07,5.48662e-05,5.0342e-05,3.57897e-05,0.00517101,0.00516832,0.0102458,0.00754959,0.0075483,0.0599519,1.00206e-11,1.0011e-11,1.82611e-11,1.20691e-06,1.23862e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.122873,0.244851,0.0446723,0.0,0.00025568,0.0433255,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
413923275,0.990964,-0.0177688,-0.0304847,0.129406,-0.00543741,0.0169866,-0.01756,-0.00588578,0.0127134,-3.76769,-5.97964e-05,-1.24827e-05,7.69003e-06,-2.13996e-06,0.000207165,0.000714979,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,3.77106e-08,0.00013147,0.00657597,7.68353e-07,5.48709e-05,5.03538e-05,3.57642e-05,0.00521521,0.00521246,0.0102937,0.00766749,0.00766614,0.0605128,1.00271e-11,1.00176e-11,1.82577e-11,1.20691e-06,1.23862e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.123829,0.245993,0.0048358,0.0,0.000258254,0.00421731,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
414124873,0.991134,-0.0156515,-0.0240421,0.129732,-0.0171677,-0.0216968,-0.0187568,-0.00599001,0.0130954,-3.79214,-5.97662e-05,-1.24821e-05,7.7477e-06,-2.33574e-06,0.000206978,0.000721441,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,9.00026e-08,0.000200614,0.0111953,7.72307e-07,5.48524e-05,5.03599e-05,3.57989e-05,0.00516665,0.00516373,0.0102471,0.00756022,0.00755889,0.0601647,1.0023e-11,1.00135e-11,1.82663e-11,1.20691e-06,1.23861e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.12296,0.245285,0.0222906,0.0,0.000265988,0.0319242,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
414330476,0.991221,-0.0136623,-0.0184611,0.130206,0.016733,0.0411047,-0.0201764,-0.00651589,0.0141018,-3.80059,-5.97334e-05,-1.24785e-05,7.80906e-06,-3.56529e-06,0.00020764,0.000722651,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,1.10374e-07,0.000259564,0.0141215,7.81499e-07,5.48413e-05,5.03714e-05,3.57939e-05,0.00517551,0.00517296,0.0102467,0.0075646,0.00756326,0.0601843,1.00262e-11,1.00167e-11,1.8267e-11,1.20688e-06,1.2386e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.122995,0.245325,0.0491927,0.0,0.000282035,0.0289905,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
414532073,0.991139,-0.0164462,-0.0249393,0.129425,-0.00722168,0.0386051,-0.0242994,-0.00387913,0.0144281,-3.8178,-5.97036e-05,-1.24805e-05,7.87343e-06,-3.90885e-06,0.000207523,0.000726457,0.230052,-0.0427209,0.408882,0.0,0.0,0.0,0.0,0.0,8.42102e-08,0.000263495,0.0146039,7.68872e-07,5.48716e-05,5.03743e-05,3.5764e-05,0.00520951,0.00520691,0.0102892,0.00765243,0.00765106,0.0605859,1.00286e-11,1.00191e-11,1.82581e-11,1.20688e-06,1.2386e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.123707,0.246142,0.013611,0.0,0.000287026,0.00773524,0.0,0.0,0.0,0.015998,232,0,0,165,24,0,0,0
