timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
68129673,-0.010997,-0.00318862,0.00329654,4010,0,-0.223526,0.299403,-9.7482,4010
68133689,-0.0167198,-0.00207168,0.00457553,4016,0,-0.135202,0.336119,-9.72938,4016
68137671,-0.0151537,-0.00318533,0.00318794,3982,0,-0.207841,0.237611,-9.6971,3982
68142495,-0.0102492,-4.52386e-06,-0.00510044,4824,0,-0.321909,0.292479,-9.60564,4824
68146471,-0.00723189,-0.00121677,-0.0082084,3976,0,-0.434028,0.114265,-9.81951,3976
68150471,-0.0133892,0.0036685,-0.00846157,4000,0,-0.371426,0.33278,-9.61429,4000
68154477,-0.0163415,-0.00243277,-0.0132044,4006,0,-0.25493,0.45547,-9.64114,4006
68158463,-0.0131079,0.00239612,-0.0118255,3986,0,-0.0643802,0.185353,-9.64514,3986
68162469,-0.00931708,-0.00346868,-0.00918097,4006,0,-0.00433269,0.159601,-9.89904,4006
68166480,-0.0147297,0.00570709,-0.00517539,4011,0,-0.162495,0.360331,-9.76845,4011
68170471,-0.0174454,0.00140609,4.14971e-05,3991,0,-0.365285,0.40275,-9.48602,3991
68174470,-0.0167852,-0.00264689,-0.00672182,3999,0,-0.628034,0.492758,-9.79824,3999
68178473,-0.0138887,-0.008004,0.0057427,4003,0,-0.448927,0.474669,-9.72114,4003
68182478,-0.0130368,-0.00436762,0.0162198,4005,0,-0.722145,0.1631,-9.53355,4005
68186464,-0.0110899,-0.00527624,0.0176401,3986,0,-0.298733,0.300499,-9.64902,3986
68190463,-0.0129332,-0.00873916,0.0123557,3999,0,0.0750427,-0.0811237,-9.99445,3999
68194471,-0.0184077,-0.00551727,0.0165467,4008,0,0.206234,0.655733,-9.46592,4008
68198491,-0.0112213,-0.00250428,0.0181842,4020,0,-0.177932,0.406661,-9.62907,4020
68202472,-0.00520088,0.00484352,0.0151701,3981,0,-0.277705,0.217423,-9.73834,3981
68206471,-0.00808631,-0.00193547,0.00256122,3999,0,-0.511388,0.166152,-10.0214,3999
68210477,-0.021102,0.000823743,0.00509892,4006,0,-0.408751,0.337083,-9.34598,4006
68214464,-0.0134412,0.000799605,-0.00143272,3987,0,-0.414102,0.257332,-9.53826,3987
