timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
67908232,4.90005,3.32739,1,0,3,0,1,0,0
68408240,5.01929,3.32256,1,0,3,0,1,0,0
68918223,4.89683,3.32578,1,0,3,0,1,0,0
69418220,5.04023,3.32578,1,0,3,0,1,0,0
69918220,4.90811,3.32256,1,0,3,0,1,0,0
70418220,4.99189,3.329,1,0,3,0,1,0,0
70928220,5.02573,3.32578,1,0,3,0,1,0,0
71428220,5.00801,3.32578,1,0,3,0,1,0,0
71928220,5.04023,3.32417,1,0,3,0,1,0,0
72428228,5.0354,3.32739,1,0,3,0,1,0,0
72928222,5.03701,3.33223,1,0,3,0,1,0,0
73428226,5.02251,3.32739,1,0,3,0,1,0,0
73928222,5.03057,3.32578,1,0,3,0,1,0,0
74428220,4.99189,3.32739,1,0,3,0,1,0,0
74938220,5.03057,3.32578,1,0,3,0,1,0,0
75438220,5.00317,3.32578,1,0,3,0,1,0,0
75938238,5.04023,3.32578,1,0,3,0,1,0,0
76438220,5.01929,3.32739,1,0,3,0,1,0,0
76938220,5.01445,3.32578,1,0,3,0,1,0,0
77438220,5.00317,3.32578,1,0,3,0,1,0,0
77938220,5.0209,3.32578,1,0,3,0,1,0,0
78438220,4.99028,3.329,1,0,3,0,1,0,0
78938220,5.02573,3.32739,1,0,3,0,1,0,0
79438223,5.0354,3.32578,1,0,3,0,1,0,0
79948238,5.01768,3.32739,1,0,3,0,1,0,0
80448233,5.02412,3.32739,1,0,3,0,1,0,0
80948220,5.01606,3.33223,1,0,3,0,1,0,0
81448220,5.02412,3.32578,1,0,3,0,1,0,0
81948225,5.02251,3.32256,1,0,3,0,1,0,0
82448220,5.0209,3.32578,1,0,3,0,1,0,0
82948220,5.01606,3.32739,1,0,3,0,1,0,0
83448220,5.04507,3.32417,1,0,3,0,1,0,0
83948220,5.03057,3.32739,1,0,3,0,1,0,0
84448220,4.98706,3.32739,1,0,3,0,1,0,0
84948220,4.98867,3.32417,1,0,3,0,1,0,0
85448220,5.03701,3.32578,1,0,3,0,1,0,0
85948258,5.04829,3.32578,1,0,3,0,1,0,0
86448226,5.02734,3.329,1,0,3,0,1,0,0
86948234,5.02251,3.32578,1,0,3,0,1,0,0
87448220,5.02573,3.329,1,0,3,0,1,0,0
87948220,5.02734,3.32578,1,0,3,0,1,0,0
88458251,5.02734,3.32578,1,0,3,0,1,0,0
88958220,5.03218,3.33384,1,0,3,0,1,0,0
89458220,4.98867,3.32578,1,0,3,0,1,0,0
89958220,5.04346,3.32578,1,0,3,0,1,0,0
90458220,5.03862,3.32739,1,0,3,0,1,0,0
90968220,5.03057,3.32739,1,0,3,0,1,0,0
91468225,5.03218,3.32578,1,0,3,0,1,0,0
91968222,5.03057,3.32739,1,0,3,0,1,0,0
92468222,5.04346,3.32739,1,0,3,0,1,0,0
92968220,5.01284,3.32256,1,0,3,0,1,0,0
93468237,5.03218,3.32578,1,0,3,0,1,0,0
93968220,5.02412,3.32578,1,0,3,0,1,0,0
94478224,5.00962,3.32578,1,0,3,0,1,0,0
94978220,4.99834,3.32578,1,0,3,0,1,0,0
95478220,5.0354,3.32256,1,0,3,0,1,0,0
95978220,5.04668,3.32417,1,0,3,0,1,0,0
96488220,5.04829,3.32578,1,0,3,0,1,0,0
96988220,5.04346,3.32578,1,0,3,0,1,0,0
97488261,4.98867,3.32739,1,0,3,0,1,0,0
97988225,5.02573,3.32578,1,0,3,0,1,0,0
98488220,5.04507,3.32578,1,0,3,0,1,0,0
98988221,5.02895,3.32578,1,0,3,0,1,0,0
99488232,5.05635,3.33223,1,0,3,0,1,0,0
99988228,5.02251,3.32578,1,0,3,0,1,0,0
100488225,5.00317,3.329,1,0,3,0,1,0,0
