timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
669359671,0.220114,0.164669,0.0014098,0.0,0.0,-0.03
669388557,0.220157,0.164669,0.00141003,0.0,0.0,-0.03
669420472,0.220072,0.16477,0.00141041,0.0,0.0,-0.03
669452471,0.220049,0.164639,0.00140905,0.0,0.0,-0.03
669485280,0.220097,0.164703,0.00140991,0.0,0.0,-0.03
669517262,0.22013,0.164682,0.00141005,0.0,0.0,-0.03
669545284,0.220227,0.164732,0.00141096,0.0,0.0,-0.03
669578081,0.220223,0.164899,0.00141237,0.0,0.0,-0.03
669609989,0.22015,0.164952,0.0014125,0.0,0.0,-0.03
669641979,0.219987,0.164776,0.00140999,0.0,0.0,-0.03
669674790,0.220373,0.165316,0.00141698,0.0,0.0,-0.03
669702868,0.219984,0.165202,0.00141345,0.0,0.0,-0.03
669734782,0.220041,0.16495,0.00141173,0.0,0.0,-0.03
669767595,0.220642,0.165494,0.00142032,0.0,0.0,-0.03
669799679,0.219218,0.165035,0.00140727,0.0,0.0,-0.03
669831597,0.219914,0.16384,0.00140138,0.0,0.0,-0.03
669860393,0.220669,0.164733,0.00141392,0.0,0.0,-0.03
669892376,0.219221,0.166385,0.00141877,0.0,0.0,-0.03
669924387,0.220059,0.165909,0.0014201,0.0,0.0,-0.03
669957197,0.220916,0.16591,0.00142557,0.0,0.0,-0.03
669989271,0.219478,0.165236,0.00141056,0.0,0.0,-0.03
670021281,0.220017,0.164589,0.00140851,0.0,0.0,-0.03
670049327,0.220864,0.16452,0.00141338,0.0,0.0,-0.03
670081992,0.219392,0.16574,0.00141431,0.0,0.0,-0.03
670113984,0.221164,0.167548,0.00144137,0.0,0.0,-0.03
670146080,0.220307,0.169022,0.00144832,0.0,0.0,-0.03
670178866,0.218823,0.169318,0.00144106,0.0,0.0,-0.03
670206869,0.221229,0.168176,0.00144714,0.0,0.0,-0.03
670238868,0.218899,0.165079,0.00140555,0.0,0.0,-0.03
670271614,0.219096,0.162641,0.00138601,0.0,0.0,-0.03
670303572,0.221488,0.165309,0.00142406,0.0,0.0,-0.03
670335583,0.218059,0.168148,0.00142618,0.0,0.0,-0.03
670364480,0.220181,0.167695,0.00143618,0.0,0.0,-0.03
670396386,0.22098,0.164988,0.00141807,0.0,0.0,-0.03
670428552,0.218055,0.163316,0.00138523,0.0,0.0,-0.03
670461267,0.22135,0.167459,0.00144168,0.0,0.0,-0.03
670493193,0.221413,0.172181,0.00148292,0.0,0.0,-0.03
670525290,0.220317,0.175295,0.00150222,0.0,0.0,-0.03
670553981,0.224688,0.179057,0.00156496,0.0,0.0,-0.03
670585984,0.22751,0.183503,0.00162391,0.0,0.0,-0.03
670617995,0.221394,0.186226,0.0016037,0.0,0.0,-0.03
670650864,0.226557,0.188777,0.00166356,0.0,0.0,-0.03
670682792,0.227244,0.195409,0.00172727,0.0,0.0,-0.03
670710867,0.224484,0.195463,0.00170679,0.0,0.0,-0.03
670742791,0.22427,0.196691,0.00171594,0.0,0.0,-0.03
670775590,0.229162,0.186145,0.00165924,0.0,0.0,-0.03
670807687,0.220411,0.167024,0.00143199,0.0,0.0,-0.03
670839573,0.217334,0.153188,0.00129493,0.0,0.0,-0.03
670868547,0.226138,0.152668,0.00134287,0.0,0.0,-0.03
670900380,0.220211,0.164233,0.00140673,0.0,0.0,-0.03
670932387,0.220655,0.173194,0.0014864,0.0,0.0,-0.03
670965295,0.225788,0.171936,0.00151006,0.0,0.0,-0.03
670997181,0.220634,0.164323,0.00141016,0.0,0.0,-0.03
671025191,0.221852,0.154401,0.00133224,0.0,0.0,-0.03
671057983,0.221927,0.150613,0.00130007,0.0,0.0,-0.03
671090071,0.222024,0.156904,0.00135497,0.0,0.0,-0.03
671122067,0.221015,0.164667,0.00141562,0.0,0.0,-0.03
671154784,0.221045,0.168831,0.0014516,0.0,0.0,-0.03
671186879,0.224607,0.165675,0.00144737,0.0,0.0,-0.03
671214794,0.220961,0.158429,0.00136162,0.0,0.0,-0.03
671247597,0.219337,0.152573,0.00130163,0.0,0.0,-0.03
671279596,0.224095,0.153465,0.00133766,0.0,0.0,-0.03
671311566,0.219374,0.160939,0.00137326,0.0,0.0,-0.03
671344493,0.219254,0.167095,0.0014249,0.0,0.0,-0.03
671372472,0.223576,0.164781,0.00143294,0.0,0.0,-0.03
671404477,0.221766,0.160649,0.00138562,0.0,0.0,-0.03
671437196,0.220169,0.156785,0.00134271,0.0,0.0,-0.03
671469298,0.220974,0.15747,0.00135345,0.0,0.0,-0.03
671501195,0.221945,0.158485,0.00136818,0.0,0.0,-0.03
671529981,0.221609,0.163765,0.00141169,0.0,0.0,-0.03
671561980,0.220565,0.168818,0.00144833,0.0,0.0,-0.03
671593992,0.221541,0.162884,0.00140353,0.0,0.0,-0.03
671626787,0.222397,0.158398,0.00137011,0.0,0.0,-0.03
671658781,0.22241,0.155422,0.00134442,0.0,0.0,-0.03
671690867,0.221892,0.15839,0.00136706,0.0,0.0,-0.03
671718867,0.222047,0.162296,0.00140162,0.0,0.0,-0.03
671751581,0.222969,0.166428,0.00144331,0.0,0.0,-0.03
671783584,0.223028,0.16566,0.00143708,0.0,0.0,-0.03
671815570,0.220946,0.162001,0.00139219,0.0,0.0,-0.03
671848566,0.22089,0.158067,0.00135805,0.0,0.0,-0.03
671876485,0.222787,0.155587,0.00134806,0.0,0.0,-0.03
671908536,0.221159,0.156533,0.00134653,0.0,0.0,-0.03
671941262,0.221695,0.161315,0.00139104,0.0,0.0,-0.03
671973292,0.221996,0.16513,0.00142571,0.0,0.0,-0.03
672005264,0.220874,0.16288,0.00139934,0.0,0.0,-0.03
672033987,0.2215,0.159297,0.00137241,0.0,0.0,-0.03
672065984,0.220784,0.155645,0.00133659,0.0,0.0,-0.03
672097969,0.22157,0.155021,0.00133595,0.0,0.0,-0.03
672130770,0.221395,0.162048,0.00139544,0.0,0.0,-0.03
672162791,0.220274,0.166561,0.0014271,0.0,0.0,-0.03
672194870,0.222709,0.165313,0.00143201,0.0,0.0,-0.03
672223671,0.223458,0.161122,0.00140052,0.0,0.0,-0.03
672255574,0.22016,0.157293,0.001347,0.0,0.0,-0.03
672287589,0.220905,0.158792,0.00136438,0.0,0.0,-0.03
672320392,0.220101,0.159288,0.00136361,0.0,0.0,-0.03
672352510,0.221501,0.162122,0.00139683,0.0,0.0,-0.03
672380481,0.221497,0.165441,0.00142538,0.0,0.0,-0.03
672412404,0.22026,0.162522,0.00139231,0.0,0.0,-0.03
672445289,0.220696,0.159802,0.00137183,0.0,0.0,-0.03
672477179,0.221427,0.157196,0.00135386,0.0,0.0,-0.03
672509197,0.220806,0.157388,0.00135167,0.0,0.0,-0.03
672537986,0.220868,0.16293,0.00139966,0.0,0.0,-0.03
672570086,0.220527,0.164748,0.00141317,0.0,0.0,-0.03
672601981,0.221548,0.16303,0.00140483,0.0,0.0,-0.03
672634782,0.221182,0.162621,0.00139894,0.0,0.0,-0.03
672666782,0.220108,0.161937,0.00138633,0.0,0.0,-0.03
672698863,0.221043,0.161259,0.00138646,0.0,0.0,-0.03
672731583,0.219905,0.159178,0.0013615,0.0,0.0,-0.03
672763582,0.21985,0.159171,0.00136117,0.0,0.0,-0.03
672795691,0.220065,0.160386,0.00137272,0.0,0.0,-0.03
672828545,0.218977,0.160781,0.0013695,0.0,0.0,-0.03
672860468,0.219438,0.162778,0.00138929,0.0,0.0,-0.03
672892466,0.219321,0.161068,0.00137403,0.0,0.0,-0.03
672925263,0.219398,0.159898,0.00136458,0.0,0.0,-0.03
672957193,0.221449,0.15994,0.00137758,0.0,0.0,-0.03
672989265,0.219258,0.163711,0.00139623,0.0,0.0,-0.03
673017978,0.218039,0.165677,0.00140507,0.0,0.0,-0.03
673049974,0.221119,0.163635,0.00140744,0.0,0.0,-0.03
673081974,0.220118,0.160682,0.00137573,0.0,0.0,-0.03
673114863,0.217447,0.157544,0.00133238,0.0,0.0,-0.03
673146797,0.220069,0.157241,0.00134591,0.0,0.0,-0.03
673174786,0.219364,0.158949,0.00135614,0.0,0.0,-0.03
673207572,0.217335,0.16096,0.00136057,0.0,0.0,-0.03
673239584,0.220702,0.16157,0.00138693,0.0,0.0,-0.03
673271572,0.219449,0.161048,0.00137447,0.0,0.0,-0.03
673304466,0.216499,0.158553,0.00133521,0.0,0.0,-0.03
673332483,0.219214,0.156148,0.00133147,0.0,0.0,-0.03
673364468,0.219731,0.160277,0.00136977,0.0,0.0,-0.03
673396395,0.217733,0.165189,0.00139901,0.0,0.0,-0.03
673429196,0.21826,0.164878,0.00139964,0.0,0.0,-0.03
673461262,0.214248,0.168154,-0.408749,0.0,0.0,0.0
673493294,0.213503,0.164686,-0.409925,0.0,0.0,0.0
673521989,0.212362,0.164654,-0.409497,0.0,0.0,0.0
673553985,0.214052,0.167569,-0.408333,0.0,0.0,0.0
673585994,0.213346,0.173065,-0.409637,0.0,0.0,0.0
673618784,0.210851,0.173498,-0.409096,0.0,0.0,0.0
673650797,0.213084,0.17025,-0.409032,0.0,0.0,0.0
673678795,0.212048,0.16648,-0.408963,0.0,0.0,0.0
673711589,0.211327,0.165783,-0.408876,0.0,0.0,0.0
673743593,0.211779,0.169858,-0.409843,0.0,0.0,0.0
673775689,0.211826,0.173634,-0.40787,0.0,0.0,0.0
673808570,0.212428,0.173955,-0.40946,0.0,0.0,0.0
673836511,0.211063,0.171484,-0.408219,0.0,0.0,0.0
673868568,0.212645,0.165915,-0.408886,0.0,0.0,0.0
673901194,0.210245,0.16484,-0.408329,0.0,0.0,0.0
673933296,0.212635,0.167392,-0.408169,0.0,0.0,0.0
673965267,0.210979,0.171939,-0.408105,0.0,0.0,0.0
673993271,0.211375,0.173062,-0.408078,0.0,0.0,0.0
674025976,0.210934,0.171265,-0.407807,0.0,0.0,0.0
674057984,0.211883,0.167449,-0.407923,0.0,0.0,0.0
674090862,0.209836,0.165505,-0.407425,0.0,0.0,0.0
674122790,0.211951,0.168104,-0.408035,0.0,0.0,0.0
674154786,0.209086,0.17179,-0.406592,0.0,0.0,0.0
674182785,0.21128,0.173234,-0.408419,0.0,0.0,0.0
674215588,0.209722,0.172208,-0.406028,0.0,0.0,0.0
674247584,0.211004,0.168669,-0.408194,0.0,0.0,0.0
674279685,0.210457,0.167775,-0.406295,0.0,0.0,0.0
674312464,0.209771,0.169019,-0.40753,0.0,0.0,0.0
674340472,0.212147,0.172179,-0.407528,0.0,0.0,0.0
674372387,0.207868,0.173871,-0.405721,0.0,0.0,0.0
674405184,0.212289,0.171584,-0.408432,0.0,0.0,0.0
