timestamp,load,ram_usage
541137840,0.325642,0.49677
542139279,0.489988,0.496869
543139934,0.466276,0.496869
544140830,0.456774,0.496869
545142143,0.473908,0.496869
546142731,0.467893,0.496869
547143698,0.464308,0.496869
548144674,0.461363,0.496869
549150621,0.463174,0.496869
550151760,0.457123,0.496869
551152298,0.468233,0.496869
552152878,0.467992,0.496869
553154786,0.466128,0.496869
554155734,0.464003,0.496869
555157087,0.456826,0.496869
556158598,0.46935,0.496869
557159249,0.463914,0.496869
558159812,0.456041,0.496869
559160941,0.453619,0.496869
560163848,0.465635,0.496869
561164634,0.461706,0.496869
562166462,0.548139,0.496869
563167698,0.452788,0.496869
564168633,0.460952,0.496869
565183450,0.626779,0.496869
566183698,0.498365,0.496869
567184638,0.470531,0.496869
568187135,0.463817,0.496869
569187739,0.461747,0.496869
570188634,0.465592,0.496869
571190696,0.460802,0.496869
572191754,0.463175,0.496869
573192706,0.468962,0.496869
574195447,0.479983,0.496869
575195822,0.457626,0.496869
576196825,0.468528,0.496869
577198173,0.462906,0.496869
578199006,0.476434,0.496869
579199869,0.454697,0.496869
580200833,0.468223,0.496869
582203837,0.550739,0.496869
583204835,0.478196,0.496869
584205888,0.466821,0.496869
585207868,0.474816,0.496869
586208634,0.453613,0.496869
587209780,0.46111,0.496869
588209783,0.462063,0.496869
589211871,0.456058,0.496869
590216034,0.473742,0.496869
591217051,0.471366,0.496869
592217740,0.468507,0.496869
593219930,0.463012,0.496869
594220751,0.47271,0.496869
595221947,0.476574,0.496869
596223893,0.479601,0.496869
597224755,0.478415,0.496869
598225858,0.460862,0.496869
599229475,0.466954,0.496869
600229762,0.459882,0.496869
601230643,0.461088,0.496869
602232023,0.467631,0.496869
603232750,0.467666,0.496869
604233838,0.471616,0.496869
605233803,0.470802,0.496869
606234634,0.457525,0.496869
607236988,0.46323,0.496869
608237029,0.469216,0.496869
609238339,0.464669,0.496869
610238672,0.464769,0.496869
611239750,0.469249,0.496869
612241349,0.480213,0.496869
613241797,0.649135,0.496869
614242738,0.466331,0.496869
615243746,0.45771,0.496869
616245155,0.461648,0.496869
617245908,0.46533,0.496869
618246684,0.470665,0.496869
619247701,0.461656,0.496869
620248656,0.461988,0.496869
621250450,0.476002,0.496869
622302682,0.503834,0.496869
623303736,0.661245,0.496869
624304825,0.470636,0.496869
625308217,0.465392,0.496869
626310781,0.466431,0.496869
627311697,0.465187,0.496869
628312634,0.461509,0.496869
629313735,0.463522,0.496869
630315894,0.449987,0.496869
631316681,0.463323,0.496869
632317736,0.461599,0.496869
633320845,0.463364,0.496869
634321866,0.479875,0.496869
635323839,0.474096,0.496869
636325800,0.464544,0.496869
637326710,0.443841,0.496869
638328175,0.463089,0.496869
639328633,0.461918,0.496869
640329853,0.459064,0.496869
641330634,0.471169,0.496869
642333452,0.470182,0.496869
643333970,0.481917,0.496869
644335215,0.448231,0.496869
645336863,0.470629,0.496869
646341338,0.474677,0.496869
647342302,0.456949,0.496869
648342687,0.467667,0.496869
649342634,0.470445,0.496869
650344519,0.466798,0.496869
651344634,0.586349,0.496869
652345798,0.503429,0.496869
653346634,0.46294,0.496869
654348700,0.475989,0.496869
655350695,0.470633,0.496869
656351788,0.463147,0.496869
657352673,0.501884,0.496869
