timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
669248636,1608053526999671,408103086,-778706140,338996,304555,1.263,0.385386,4.435,8.331,1.04,2.03,97,10,0.351,-0.228,-0.266,-0.053,3.39883,0,nan,0.0,3,1,8
669461806,1608053527199670,408103086,-778706148,338921,304481,1.007,0.385458,4.435,8.321,1.04,2.03,97,10,0.219,0.172,-0.136,-0.18,3.39883,0,nan,0.0,3,1,8
669648701,1608053527399670,408103081,-778706157,338934,304494,1.293,0.38555,4.434,8.31,1.04,2.03,97,10,0.186,-0.14,-0.122,-0.151,3.39883,0,nan,0.0,3,1,8
669849976,1608053527599670,408103078,-778706162,338889,304449,1.265,0.38564,4.432,8.297,1.04,2.03,97,10,0.083,-0.06,-0.058,-0.024,3.39883,0,nan,0.0,3,1,8
670050639,1608053527799670,408103075,-778706166,338845,304405,0.977,0.385709,4.431,8.286,1.04,2.03,97,10,0.074,-0.072,0.017,-0.083,3.39883,0,nan,0.0,3,1,8
670243702,1608053527999671,408103076,-778706173,338835,304394,1.027,0.385782,4.43,8.275,1.04,2.03,97,14,0.186,0.085,-0.165,-0.133,3.39883,0,nan,0.0,3,1,8
670455751,1608053528199670,408103078,-778706176,338722,304282,0.971,0.385851,4.427,8.264,0.99,1.92,97,14,0.124,0.075,-0.099,-0.113,3.39883,0,nan,0.0,3,1,9
670648640,1608053528399670,408103080,-778706176,338623,304183,1.025,0.385924,4.423,8.252,0.99,1.92,97,14,0.167,0.102,0.132,-0.012,3.39883,0,nan,0.0,3,1,9
670849766,1608053528599670,408103083,-778706173,338492,304052,1.04,0.385998,4.417,8.238,0.99,1.92,97,14,0.158,0.037,0.153,0.036,3.39883,0,nan,0.0,3,1,9
671043699,1608053528799670,408103082,-778706176,338478,304038,0.988,0.386068,4.412,8.223,0.99,1.92,97,14,0.131,-0.089,-0.097,0.029,3.39883,0,nan,0.0,3,1,9
671246674,1608053528999671,408103078,-778706184,338534,304094,1.076,0.386144,4.405,8.207,0.99,1.92,97,11,0.197,-0.186,-0.067,-0.033,3.39883,0,nan,0.0,3,1,9
671458197,1608053529199670,408103075,-778706192,338611,304171,1.162,0.386227,4.398,8.19,0.99,1.92,97,11,0.247,-0.186,-0.163,-0.106,3.39883,0,nan,0.0,3,1,9
671647698,1608053529399670,408103074,-778706199,338576,304136,1.172,0.38631,4.392,8.174,0.99,1.92,97,11,0.201,-0.084,-0.182,-0.169,3.39883,0,nan,0.0,3,1,9
671849760,1608053529599670,408103070,-778706209,338625,304184,1.191,0.386395,4.385,8.159,0.99,1.92,97,11,0.38,-0.246,-0.29,-0.261,3.39883,0,nan,0.0,3,1,9
672048673,1608053529799670,408103069,-778706215,338586,304145,1.17,0.386477,4.379,8.143,0.99,1.92,97,11,0.186,-0.099,-0.158,-0.244,3.39883,0,nan,0.0,3,1,9
672252758,1608053529999671,408103066,-778706221,338625,304184,1.134,0.386558,4.372,8.131,0.99,1.92,97,13,0.23,-0.207,-0.1,-0.312,3.39883,0,nan,0.0,3,1,9
672446897,1608053530199670,408103067,-778706222,338586,304146,0.9,0.386622,4.366,8.119,0.99,1.92,97,13,0.064,0.047,0.043,-0.284,3.39883,0,nan,0.0,3,1,9
672647743,1608053530399670,408103065,-778706226,338628,304188,1.182,0.386706,4.359,8.107,0.99,1.92,97,13,0.209,-0.17,-0.122,-0.194,3.39883,0,nan,0.0,3,1,9
672845284,1608053530599670,408103065,-778706229,338627,304187,0.908,0.38677,4.352,8.091,0.99,1.92,97,13,0.066,0.062,0.024,-0.246,3.39883,0,nan,0.0,3,1,9
673051689,1608053530799670,408103065,-778706232,338649,304209,0.921,0.386835,4.346,8.08,0.99,1.92,97,13,0.071,-0.058,0.042,-0.209,3.39883,0,nan,0.0,3,1,9
673248629,1608053530999671,408103067,-778706229,338577,304137,0.801,0.386892,4.339,8.065,0.99,1.92,96,13,0.243,0.064,0.234,-0.096,3.39883,0,nan,0.0,3,1,9
673450688,1608053531199670,408103070,-778706228,338492,304052,0.935,0.386958,4.333,8.053,0.99,1.92,96,13,0.06,0.059,-0.01,-0.154,3.39883,0,nan,0.0,3,1,9
673643838,1608053531399670,408103067,-778706235,338588,304148,1.107,0.387037,4.325,8.041,0.99,1.92,96,13,0.116,-0.106,-0.048,-0.186,3.39883,0,nan,0.0,3,1,9
673845757,1608053531599670,408103069,-778706235,338506,304065,0.785,0.387092,4.317,8.029,0.99,1.92,96,13,0.128,0.071,0.107,-0.154,3.39883,0,nan,0.0,3,1,9
674044679,1608053531799670,408103070,-778706234,338472,304031,0.714,0.387143,4.31,8.018,0.99,1.92,96,13,0.211,-0.011,0.211,-0.058,3.39883,0,nan,0.0,3,1,9
674245988,1608053531999671,408103069,-778706236,338478,304038,0.889,0.387206,4.303,8.008,0.99,1.92,96,11,0.036,0.026,0.024,-0.125,3.39883,0,nan,0.0,3,1,9
