timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
67221752,inf,1,0,0,0,0
68238637,inf,1,0,0,0,0
69254644,inf,1,0,0,0,0
70268642,inf,1,0,0,0,0
71269954,inf,1,0,0,0,0
72283000,inf,1,0,0,0,0
73297749,inf,1,0,0,0,0
74310641,inf,1,0,0,0,0
75321022,inf,1,0,0,0,0
76332644,inf,1,0,0,0,0
77339712,inf,1,0,0,0,0
78355165,inf,1,0,0,0,0
79364473,inf,1,0,0,0,0
80378639,inf,1,0,0,0,0
81391709,inf,1,0,0,0,0
82406094,inf,1,0,0,0,0
83420644,inf,1,0,0,0,0
84433738,inf,1,0,0,0,0
85448984,inf,1,0,0,0,0
86457791,inf,1,0,0,0,0
87469791,inf,1,0,0,0,0
88482939,inf,1,0,0,0,0
89495693,inf,1,0,0,0,0
90510643,inf,1,0,0,0,0
91522645,inf,1,0,0,0,0
92539706,inf,1,0,0,0,0
93550092,inf,1,0,0,0,0
94563698,inf,1,0,0,0,0
95583220,inf,1,0,0,0,0
96604648,inf,1,0,0,0,0
97613537,inf,1,0,0,0,0
98626652,inf,1,0,0,0,0
99640642,inf,1,0,0,0,0
100654695,inf,1,0,0,0,0
101667876,inf,1,0,0,0,0
102680650,inf,1,0,0,0,0
103697348,inf,1,0,0,0,0
104714638,inf,1,0,0,0,0
105718185,inf,1,0,0,0,0
106726640,inf,1,0,0,0,0
107743703,inf,1,0,0,0,0
108755509,inf,1,0,0,0,0
109769763,inf,1,0,0,0,0
110781775,inf,1,0,0,0,0
111798638,inf,1,0,0,0,0
112814089,inf,1,0,0,0,0
113623700,inf,0,0,1,0,0
114642641,inf,0,0,1,0,0
115654111,inf,0,0,1,0,0
116671908,inf,0,0,1,0,0
117687227,inf,0,0,1,0,0
118697181,inf,0,0,1,0,0
119711699,inf,0,0,1,0,0
120721771,inf,0,0,1,0,0
121726639,inf,0,0,1,0,0
122743009,inf,0,0,1,0,0
123752638,inf,0,0,1,0,0
124763708,inf,0,0,1,0,0
125774640,inf,0,0,1,0,0
126786641,inf,0,0,1,0,0
127076642,inf,0,0,0,0,0
128094643,inf,0,0,0,0,0
129104657,inf,0,0,0,0,0
130119705,inf,0,0,0,0,0
131128649,inf,0,0,0,0,0
132145819,inf,0,0,0,0,0
133151711,inf,0,0,0,0,0
134159706,inf,0,0,0,0,0
135175570,inf,0,0,0,0,0
136189772,inf,0,0,0,0,0
137195718,inf,0,0,0,0,0
138204637,inf,0,0,0,0,0
139215713,inf,0,0,0,0,0
140223700,inf,0,0,0,0,0
141235711,inf,0,0,0,0,0
142248638,inf,0,0,0,0,0
143265770,inf,0,0,0,0,0
144274656,inf,0,0,0,0,0
145289108,inf,0,0,0,0,0
146303707,inf,0,0,0,0,0
147314638,inf,0,0,0,0,0
148330089,inf,0,0,0,0,0
149336641,inf,0,0,0,0,0
150351361,inf,0,0,0,0,0
151364291,inf,0,0,0,0,0
152381127,inf,0,0,0,0,0
153385767,inf,0,0,0,0,0
154394637,inf,0,0,0,0,0
155406098,inf,0,0,0,0,0
156414636,inf,0,0,0,0,0
157425739,inf,0,0,0,0,0
158439728,inf,0,0,0,0,0
159449753,inf,0,0,0,0,0
160461775,inf,0,0,0,0,0
162487702,inf,0,0,0,0,0
163502694,inf,0,0,0,0,0
164514637,inf,0,0,0,0,0
165527703,inf,0,0,0,0,0
166540637,inf,0,0,0,0,0
167553765,inf,0,0,0,0,0
168566644,inf,0,0,0,0,0
169576748,inf,0,0,0,0,0
170586230,inf,0,0,0,0,0
171309769,inf,0,0,1,0,0
171596641,inf,0,0,0,1,0
171930638,inf,1,0,0,0,0
172940640,inf,1,0,0,0,0
173953775,inf,1,0,0,0,0
