timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
794942085,inf,1,0,0,0,0
795946079,inf,1,0,0,0,0
796958089,inf,1,0,0,0,0
797972641,inf,1,0,0,0,0
800004637,inf,1,0,0,0,0
801020645,inf,1,0,0,0,0
802031700,inf,1,0,0,0,0
803048645,inf,1,0,0,0,0
803691703,inf,0,0,1,0,0
804702641,inf,0,0,1,0,0
805714075,inf,0,0,1,0,0
806726090,inf,0,0,1,0,0
807740641,inf,0,0,1,0,0
808754715,inf,0,0,1,0,0
809772643,inf,0,0,1,0,0
810785778,inf,0,0,1,0,0
811793904,inf,0,0,1,0,0
812804638,inf,0,0,1,0,0
813221404,inf,0,0,0,0,0
814233519,inf,0,0,0,0,0
815251712,inf,0,0,0,0,0
816263698,inf,0,0,0,0,0
817277779,inf,0,0,0,0,0
818296643,inf,0,0,0,0,0
819308977,inf,0,0,0,0,0
820324961,inf,0,0,0,0,0
821340352,inf,0,0,0,0,0
822356637,inf,0,0,0,0,0
823368201,inf,0,0,0,0,0
824384643,inf,0,0,0,0,0
825392975,inf,0,0,0,0,0
826408637,inf,0,0,0,0,0
827411718,inf,0,0,0,0,0
828423160,inf,0,0,0,0,0
829437747,inf,0,0,0,0,0
830453749,inf,0,0,0,0,0
831467515,inf,0,0,0,0,0
832472648,inf,0,0,0,0,0
833485744,inf,0,0,0,0,0
834499892,inf,0,0,0,0,0
835515713,inf,0,0,0,0,0
836527702,inf,0,0,0,0,0
837542651,inf,0,0,0,0,0
838555702,inf,0,0,0,0,0
839566084,inf,0,0,0,0,0
840578637,inf,0,0,0,0,0
841592646,inf,0,0,0,0,0
842600638,inf,0,0,0,0,0
843610106,inf,0,0,0,0,0
844624638,inf,0,0,0,0,0
845638629,inf,0,0,0,0,0
846639015,inf,0,0,0,0,0
847650771,inf,0,0,0,0,0
848171065,inf,0,0,1,0,0
848457776,inf,0,0,0,1,0
848789746,inf,1,0,0,0,0
849804177,inf,1,0,0,0,0
